Expressao, Frequencia
"peso do prato", 0.014634464524962181
"restaurante e self-service", 0.017667593159481593
"croquetes e sobremesas", 0.09831443236698753
"prato", 0.10946656833670457
"opcoes de saladas", 0.11515533682161168
"restaurante", 0.13176064814541702
"self-service", 0.13176064814541702
"peso", 0.13176064814541702
"varias opcoes", 0.13523623261350304
"preco", 0.17801791359261052
"Tambem ha sumos", 0.19985152967720873
"sumos naturais", 0.19985152967720873
"quiches", 0.25223455792924965
"Vou muitas", 0.2653488999218304
"refeicoes", 0.29918877308864483
"saladas", 0.29918877308864483
"croquetes", 0.29918877308864483
"sobremesas", 0.29918877308864483
"relacao qualidade", 0.3174583972983435
"varias", 0.3451464493487638
"tinha bolacha Maria", 0.004502965193476456
"informaram quais eram", 0.0056429557136490165
"poderia comer dali", 0.00847349834993527
"cozinha informaram quais", 0.009794745639125486
"bolacha Maria", 0.014957412851401208
"servir nao tinha", 0.017820128088342393
"sobremesa tinha bolacha", 0.02253500978933147
"poderia comer", 0.022686430208645723
"vegetariana e celiaca", 0.02766900536892271
"pedi mediante", 0.02766900536892271
"dali que fosse", 0.03091844319900768
"fosse completamente", 0.03091844319900768
"informaram quais", 0.03091844319900768
"quais eram", 0.03091844319900768
"eram as opcoes", 0.03091844319900768
"prato principal", 0.03091844319900768
"comecei a sentir", 0.03091844319900768
"comecar a tirar", 0.03091844319900768
"tirar as natas", 0.03091844319900768
"tinha comido", 0.04515512414864445
"Amei a refeicao", 0.015478962885674661
"proprias conclusoes.", 0.02126162860697299
"quebrar os tabus", 0.029266857061202373
"tabus nos mesmos", 0.029266857061202373
"mesmos tirarmos", 0.029266857061202373
"Amei", 0.12346261294192541
"refeicao", 0.12346261294192541
"conclusoes.", 0.12346261294192541
"pois a higienizacao", 0.15709274484725655
"quebrar", 0.16862581006361538
"tabus", 0.16862581006361538
"mesmos", 0.16862581006361538
"tirarmos", 0.16862581006361538
"proprias", 0.16862581006361538
"higienizacao conta", 0.2074372840001993
"conta", 0.20784138145779532
"Super recomendo", 0.27773170305661776
"procurei", 0.32849422443996035
"aparencia", 0.32849422443996035
"pois", 0.32849422443996035
"leve", 0.06588837669267192
"Optimo opcao", 0.0934346755383478
"opcao ao almoco", 0.0934346755383478
"gorduras ou fritos", 0.0934346755383478
"Comida Vegan", 0.16193331521250073
"vegetariana e Saudavel", 0.16193331521250073
"Optimo", 0.2200560909321288
"almoco", 0.2200560909321288
"fritos", 0.2200560909321288
"Vegan", 0.2815891253011357
"Saudavel", 0.2815891253011357
"opcao", 0.38831292435681075
"gorduras", 0.38831292435681075
"Comida", 0.4949246952252326
"vegetariana", 0.4949246952252326
"Voltarei", 0.5880798524606783
"otimas opcoes", 0.016626316719119922
"muita variedade", 0.016626316719119922
"variedade de comida", 0.022988213374765323
"saladas para acompanhar", 0.09774310095967778
"opcoes", 0.10909815511827554
"muita", 0.10909815511827554
"Existem os pratos", 0.1278244235492756
"pratos principais", 0.1278244235492756
"Ate podemos desfrutar", 0.14492087003629855
"otimas", 0.149905405948569
"variedade", 0.149905405948569
"comida", 0.149905405948569
"salgados", 0.21395711372475543
"pasteis", 0.21395711372475543
"Ate podemos", 0.22010868773592726
"agradavel para almocar", 0.22010868773592726
"precos sao razoaveis", 0.23008711479454155
"podemos desfrutar", 0.2859226927845332
"deliciosa sobremesa", 0.2859226927845332
"espacoso e agradavel", 0.2859226927845332
"Restaurante vegetariano", 0.0371056572732552
"variedade de pratos", 0.0371056572732552
"vegetariano com variedade", 0.0604047846262897
"Restaurante", 0.149905405948569
"pratos", 0.149905405948569
"preco", 0.149905405948569
"Sobremesas e suco", 0.1685853064821579
"vegetariano", 0.2386710978348089
"variedade", 0.2386710978348089
"Paes", 0.28396041294839813
"Sobremesas", 0.3798215915560938
"suco", 0.3798215915560938
"Ambiente arejado", 0.44562203905683473
"fresquinho", 0.5223302035298336
"gostoso e fresquinho", 0.5265028536993026
"Ambiente", 0.5552083007126032
"arejado", 0.5552083007126032
"gostoso", 0.6603253488343742
"comida vegetariana deliciosa", 0.013856747772401198
"produtos frescos", 0.033894667362119324
"informal com comida", 0.05534498969087407
"comida vegetariana", 0.05534498969087407
"vegetariana deliciosa", 0.05534498969087407
"variada,sempre elaborada", 0.05534498969087407
"elaborada com produtos", 0.05534498969087407
"frescos", 0.14315718557674914
"Restaurante", 0.2223256047935795
"Restaurante muito informal", 0.22327551960729447
"informal", 0.2290033993608783
"comida", 0.2290033993608783
"vegetariana", 0.2290033993608783
"deliciosa", 0.2290033993608783
"variada,sempre", 0.2290033993608783
"elaborada", 0.2290033993608783
"produtos", 0.2290033993608783
"espaco familiar", 0.22918199544447107
"proprietarios e empregados", 0.34740455379459945
"empregados sao", 0.34740455379459945
"Ola", 0.12229125971027831
"Gostaria de saber", 0.16333823125531258
"restaurante no tripadvisor", 0.16333823125531258
"gerir a pagina", 0.22756345427865793
"pagina do restaurante", 0.22756345427865793
"Gostaria", 0.3261013256329346
"tripadvisor", 0.3261013256329346
"nenhum dos donos", 0.362910692993374
"minimo estranho", 0.37884047162054735
"passar", 0.4134948298564376
"saber", 0.43055564085338327
"gerir", 0.43055564085338327
"pagina", 0.43055564085338327
"restaurante", 0.43055564085338327
"Agradecia que respeitassem", 0.430888748329292
"Pois", 0.46351849497328923
"donos", 0.46351849497328923
"nao e nenhum", 0.492565508509908
"Agradecia", 0.49654285697663225
"trabalha", 0.49654285697663225
"comida vegetariana", 0.015099935621315529
"ambiente musical", 0.015099935621315529
"moderno e saudavel", 0.015099935621315529
"restaurante de comida", 0.02249651976012989
"espaco muito moderno", 0.02249651976012989
"Recomendo vivamente", 0.08446611338711053
"vegetariana", 0.10028582371075691
"agradavel", 0.10028582371075691
"musical", 0.10028582371075691
"saudavel", 0.10028582371075691
"restaurante", 0.14832923246533666
"comida", 0.14832923246533666
"ambiente", 0.14832923246533666
"espaco", 0.14832923246533666
"moderno", 0.14832923246533666
"Recomendo", 0.2790829227183407
"vivamente", 0.2790829227183407
"Sabores do Campo", 0.004580542712815261
"serve comida vegetariana", 0.008120818756643954
"comida vegetariana", 0.024157370056203043
"familiar que serve", 0.025821502081599678
"serve comida", 0.03526134116990544
"restaurante familiar", 0.04466913949104733
"Sabores", 0.06752523238856092
"Campo", 0.06752523238856092
"restaurante", 0.08983647731865674
"comida", 0.1073405909851534
"vegetariana", 0.1073405909851534
"familiar", 0.15865539774052523
"serve", 0.15865539774052523
"Passei muitas", 0.15897827947439383
"nao entrava", 0.18569606829394678
"entrava por pensar", 0.18569606829394678
"restaurante e nao", 0.19057546775524323
"vou comer fora", 0.19115687807671752
"experimentar", 0.20716785809004165
"restaurante e self-service", 0.25126198439184094
"Comida deliciosa", 0.016402633256544483
"confecionada e apresentada", 0.02250371691791777
"Comida", 0.12703514761696846
"deliciosa", 0.12703514761696846
"apresentada", 0.12703514761696846
"sobremesas sao surpreendentes", 0.14691324300495204
"aspecto e sabor", 0.1647088982952754
"confecionada", 0.17324689672461369
"surpreendentes pelo aspecto", 0.2157015040787361
"sao", 0.24260232853637698
"sobremesas sao", 0.2568811845901644
"sao surpreendentes", 0.2568811845901644
"sabor", 0.33572722373538927
"ambiente e informal", 0.3602782571353022
"Mae e filho", 0.3662290516611419
"filho sao", 0.37778040235435884
"sobremesas", 0.42122400172432795
"surpreendentes", 0.42122400172432795
"aspecto", 0.42122400172432795
"energias", 0.4240770480471867
"muita qualidade", 0.056884002321982756
"variedade e muita", 0.08459325002149778
"qualidade", 0.13908713173569395
"muita", 0.19348436409340639
"variedade", 0.2015547062251367
"Espaco luminoso", 0.20179006705903843
"muita simpatia", 0.2107337749387077
"deliciosos e muita", 0.27721449552837657
"Sabores deliciosos", 0.3374021677971095
"Espaco", 0.35942628417309763
"energias", 0.35942628417309763
"Sabores", 0.44978981696302306
"simpatia", 0.44978981696302306
"luminoso", 0.4671553656013124
"deliciosos", 0.5608881010751107
"restaurante self-service", 0.02736569254951045
"self-service a qualidade", 0.0892683572990635
"qualidade", 0.11691778392537136
"trate", 0.16320771791518143
"restaurante", 0.16320771791518143
"self-service", 0.16320771791518143
"produtos sao", 0.19486024821387124
"sao de qualidade", 0.2091679830686451
"nao so vegetarianos", 0.2145719016949429
"confeccionados", 0.3322966529740757
"muita variedade", 0.34689694633768725
"produtos", 0.4038341753599242
"sao", 0.4038341753599242
"Fruta fresca", 0.4124948307498903
"fresca e sobremesas", 0.4124948307498903
"Optimo", 0.420314923599695
"nao", 0.420314923599695
"vegetarianos", 0.420314923599695
"deliciosas", 0.43649880547588493
"variedade", 0.47050177911719243
"Adoramos a comida", 0.01911893411113409
"Adoramos", 0.13696809108329627
"comida", 0.13696809108329627
"nao fica caro", 0.15074418166153278
"fica caro", 0.21339268578732606
"peso mas nao", 0.32441639786848336
"nao fica", 0.32441639786848336
"eram sempre variados", 0.35487136790899465
"caro", 0.3553358554145339
"variados", 0.44538603402402266
"peso", 0.4949246952252326
"nao", 0.4949246952252326
"fica", 0.4949246952252326
"durante uma semana", 0.5286731219590494
"pratos eram", 0.5286731219590494
"almocar", 0.5880798524606783
"durante", 0.5880798524606783
"semana", 0.5880798524606783
"pratos", 0.5880798524606783
"eram", 0.5880798524606783
"Parque Gago Coutinho", 0.0003388921987831818
"Sacadura Cabral", 0.004048090422092809
"Parque Gago", 0.004839349385138586
"Gago Coutinho", 0.004839349385138586
"Coutinho e Sacadura", 0.004839349385138586
"Achamos este restaurante", 0.01956329907437088
"restaurante por acaso", 0.01956329907437088
"Cabral", 0.05809657342193832
"Parque", 0.06939771517155198
"Gago", 0.06939771517155198
"Coutinho", 0.06939771517155198
"Sacadura", 0.06939771517155198
"Achamos", 0.12347484978787777
"acaso", 0.12347484978787777
"sair", 0.12347484978787777
"comum em Portugal", 0.12953849645161916
"otima opcao", 0.14689711086866547
"restaurante", 0.15539942011405283
"nao tao comum", 0.1728293049978118
"vegetariana e otima", 0.1792514053428329
"pequeno restaurante self", 0.004442791905825024
"diversas opcoes saborosos", 0.012164019732225138
"pequeno restaurante", 0.03107735477427921
"restaurante self", 0.03107735477427921
"serving vegetariano", 0.03107735477427921
"vegetariano com diversas", 0.050888965170882816
"diversas opcoes", 0.050888965170882816
"opcoes saborosos", 0.050888965170882816
"saborosos que apelarao", 0.050888965170882816
"Nice", 0.06588837669267192
"quase", 0.06588837669267192
"pequeno", 0.13696809108329627
"self", 0.13696809108329627
"serving", 0.13696809108329627
"restaurante", 0.2200560909321288
"vegetariano", 0.2200560909321288
"diversas", 0.2200560909321288
"opcoes", 0.2200560909321288
"saborosos", 0.2200560909321288
"apelarao", 0.2200560909321288
"Alentejo nao", 0.008428564530809025
"hotel em Beja", 0.008428564530809025
"nao e exactamente", 0.0167935311323158
"exactamente o melhor", 0.0167935311323158
"Alentejo", 0.0650360045427417
"Portugal", 0.0650360045427417
"Beja", 0.0650360045427417
"pago pelo peso", 0.08078936803685473
"vegetarianos", 0.09775230943124207
