,Avaliações
0,"1. Chamada grosseira recebida no dia de check-in a avisar que se não chegássemos antes das 11 mais valia ficar noutro sitio e cancelar reserva quando fizemos questão de entrar em contacto a questionar isto mesmo  (2 semanas antes da reserva) e a avisar que poderíamos chegar tarde, caso houvesse um imprevisto. Contactam no proprio dia, já sem possibilidade de cancelamento e sem possibilidade de arranjar outro sitio visto que as opções ja eram quase nulas. 2. Cheiro insuportável a esgoto  3. Casas de banho higienizada mas sem qualquer tipo de comodidades (gel de banho, sabonete…)  Em geral, um hostel que não vale o preço.
"
1,"Viemos passar 3 dias a Beja e escolhemos o Hostel Beja para ficar, em família (2 adultos e 2 crianças). O espaço é limpo, a relação qualidade preço é muito boa e os funcionários são excelentes e super prestaveis ( a menina da receção é top). Trocaram-nos as toalhas todos os dias, fizeram a limpeza diária e foram super cuidosos em perceber se estava tudo ao nosso gosto. O Hostel está localizado numa zona central, com estacionamento fácil... andámos sempre a pé. A pequena anotação fica para os outros hóspedes que são pouco cuidadosos com o barulho das portas. Gostámos muito e recomendamos.
"
2,"Quarto pouco acolhedor e um bocadinho frio  Casa de banho com chuveiro que toda água caia no chão.  Caldeira que apenas dava para UMA pessoa fazer um duche de 5 min.  Pequeno almoço fraquíssimo com pouco variedade de produtos e zero de produtos regionais
"
3,"nao recomendo ao meu maior inimigo, pequeno almoço de mendigo, cama de sem abrigo, agua para esquecer, aquecimento século 18, a realçar o tendimento gostei. mas as instalações onde anda a asae? coitados dos hospedes que por aqui passam tem muito bom fotoshop
"
4,"Sem duvidas uma boa opção para quem quer conhecer Beja. Óptima localização e de fácil acesso. Os funcionários foram atenciosos de forma resolver o check-in uma vez que chegamos mais cedo que o previsto. Experiência a repetir.
"
5,"Bom serviço e ambiente acolhedor. Pequenos almoços abundantes e variados. Simpatia do serviço. Hostel muito centrico num largo com muita tranquilidade, sem barulhos a noite. Quartos com ar acondicionado.  Recomendo sem qualquer dúvida.
"
6,"O hostel apresenta uma decoração acolhedora e o quarto estava limpo/arrumado assim que chegamos. A cama de cima da beliche parecia não estar muito segura, pois assim que deitados nela ela abanava muito.  O pequeno-almoço tinha pouca variedade e se chegássemos mais tarde poderíamos já não ter algumas comidas. No entanto, para o preço que era estávamos bem servidos.   O Beja Hostel encontra-se perto das piscinas municipais de Beja, para quem quiser passar um dia de calor na piscina, preço também acessível. O hostel tem uma boa localização.
"
7,"O hostel está numa boa localização da cidade de Beja, e o quarto onde ficamos tinha uma boa vista e além disso uma varanda até bastante agradavel. A cama era péssima, o colchão não era nada bom e além disso ouvia-se as molas da cama, cada vez que me virava durante a noite acordava.
"
8,"Não gostámos, o Hostel estava em obras! O quarto onde ficámos estava inacabado, sujo e muito barulhento... Apesar do preço simpático, não correspondeu nada ao esperado. Se não há condições não se deve receber, é assim que as más classificações aparecem...
"
9,"Hostel com uma decoração muito simpática, econômico em termos de preço qualidade. Excelente atendimento do Sr. José, sempre atencioso e prestável. Recomendo a quem pretenda pernoitar em Beja. Pequeno almoço bem servido e variado.
"
10,"Está localizado perto do centro histórico e da famosa pastelaria conventual Luís da Rocha. O espaço é airoso e iluminado, com uma decoração alegre e convidativa. O quarto é limpinho e agradável. Zona calma e sem grande ruído. O senhor mais velho é uma simpatia de pessoa e muito educada, como o recepcionista que mostrou grande interesse na história de Beja. O pequeno-almoço foi bom, com um buffet variado.Um bom sítio para ficar sem  dúvida!
"
11,"Hostel bem decorado econômico em termos de preço qualidade. Excelente atendimento do Sr. José, sempre atencioso e prestável. Recomendo a quem pretenda pernoitar em  Beja. Pequeno almoço bem servido e variado.
"
12,"Bons quartos com WC privado, decoração moderna e de bom gosto... O sr foi muito atencioso chegámos depois da hora e o sr estava à espera... Sem stress é a calma do belo Alentejo...  A rua é sossegada boa para descansar...
"
13,"Aparentemente interessante... e com varios pontos positivos, mas o colchão de molas e um chuveiro mau, a falta de Ar Condicionado numa cidade que faz 37 graus no dia e 30 à noite nao doi fácil. Limpo com pequeno almoço... pão  normal quando existe pão alentejano fantástico... fraco... mas pelo preço nao se pode pedir muito mais.
"
14,"Apesar de simples,  a decoração é moderna com materiais reciclados. Área de convívio e cozinha comum.  Apesar de não ter pequeno almoço incluído, foi disponibilizado por quem nos recebeu alguns alimentos, tais como, fruta, cereais,  leite,  pão, queijo,  fiambre e outras coisas mais.
"
15,"O Hostel foi renovado recentemente. As instalacoes sao basicas, mas muito asseadas, e confortaveis. O hostel providencia toalhas, o que me parece excelente. Estivemos la em Fevereiro, e apesar de o hostel estar cheio, os hospedes foram muito respeitadores e silenciosos, permitindo que nos pudessemos descansar convenientemente. O Hostel esta muito bem localizado.
"
16,"Gostei Muito Desde o Atendimento muito bom, ficando mesmo surpreendido pela positiva. Limpeza, decoracao e a localizacao. Relacao preco / qualidade na qual recomendo. Em suma gostei imenso do conceito e de certo voltando novamente a Beja sera onde irei voltar a ficar
"
17,"O Hostel de Beja é muito limpo. A decoração é muito boa, feita de material reciclado, parte dela, feita com bom gosto. A recepção foi boa. Preço muito bom. Tem pequeno almoço incluído e com variedade. Situa se bem no centro da cidade de Beja. Não se houve muito ruído. Bom para passar umas noites.
"
18,"Basicamente, enganaram-me! Disseram-me que o pequeno-almoço estava incluído no preço e que era a partir das 8h...quando fui para tomar o pequeno-almoco, bati com o nariz na porta e esperei até às 8h20...conclusão: tive de ir tomar o pequeno-almoço noutro lado! Recomando a hospedaria dona maria!
"
