,Avaliações
0,"A experiencia foi simplesmente incrível. O espaço é maravilhoso, uma vista deslumbrante para qualquer local onde se olhe: seja a vista para a barragem, que parece um oásis no meio de toda a paisagem alentejana, seja para os jardins com árvores e flores mil. A água é quente e calma, tem canoas e paddles à disposição para passear pela barragem ou apenas apanhar sol ao gosto do movimento da água. As refeições são super variadas e apenas deliciosas! Feitas com ingredientes locais ou até cultivados lá, e atendem às restrições dietéticas dos hospedes. Quando a comida está pronta para ser servida, somos chamados pelo som de um bongo que se ouve em qualquer local da quinta.  Por fim, as pessoas. O atendimento é incrível, todos são super simpáticos e atenciosos, senti-me em casa - sem
"
1,"Fomos sem expetativa muito alta e acabámos deslumbrados.  Bem, não sei onde começar. É incrível!!! Tudo!!!! São árvores de todas as espécies para chamar todo o tipo de pássaros (paixão do Frank, o proprietário); são flores mil, quartos rústicos e especialmente pitorescos; é uma agua da barragem quentinha; é uma vista que só visto!!! E é uma simpatia de casal!!! Muito atenciosos, pacientes e ótima cozinheira!!! As refeições são feitas com muitos dos produtos que eles próprios cultivam. É giro que as refeições sejam feitas com todos os hóspedes que quiserem e tiverem marcado, ao mesmo tempo após o som do gongo. Isso mesmo, de um gongo.  Na barragem podemos utilizar uma SUP ou canoa e dar uma volta e mandar uns mergulhos e trambolhões.  Adorámos!!! É de voltar!!!
"
2,"A Quinta é incrível.  A vista da barragem é maravilhosa. A água é quente e a disponibilidade de paddle e canoas torna a experiência muito divertida.  O serviço é excelente e a comida é a melhor parte. Todos os dias servem refeições orgânicas e bastante variadas,é impossível não gostar.  A possibilidade de ter cães é outro ponto muito positivo para quem não quer deixar os seus companheiros em casa.  Por último, as pessoas. Todos os funcionários eram muito simpáticos e atenciosos, definitivamente tornaram a estadia muito agradável.  Merecem 5 estrelas.
"
3,"Este sítio é muito bonito a comida é fantástica e o facto de podermos ir nadar na barragem torna-o ainda melhor a vista é incrível e é um lugar muito relaxante, mas os colchões dos beliche não são nada confortáveis.
"
4,"Fica no meio de nada e próxima das aguas da barragem de Santa Clara  Lugar onde impera a paz e a calma, nem poderia ser de outra forma pois neste local a TV não existe, o telemóvel nem sempre tem rede, mas não estamos fora do mundo pois a rede de WI-FI e boa. Não vejo que seja uma desvantagem mas sim uma vantagem pois permite o relacionamento pessoal. Tem um pequeno ancoradouro com canoas, stand up paddle e barcos e possibilita uns mergulhos no rio, com uma agua quentinha Fizemos as refeições la, porque para sair são 4km de terra batida.A Comida é boa mas o preço cobrado é excessivo. A higiene é cuidada quer nos quartos quer no espaço de alimentação. Á noite as estrelas têm um brilho que só ali podemos ver.
"
5,"Há já três anos que não passo sem visitar este pequeno e viciante paraíso,  normalmente passo 2/3 noites neste local mas saio sempre completamente revitalizada e com a sensação que estive muito mais tempo neste local mágico. Aqui  sentimos-nos muito perto da natureza, Não temos televisão nem frigo-bar no quarto, mas temos umas instalações muito confortáveis e acolhedoras , um grande ""saber receber"" e uma bela ""piscina"" isto é a Barragem de Sta. Clara onde a água é mais quente do que no mar. Termos ao nosso dispor kayaks, prancha de stand up paddle e barcos para uso sem qualquer custo adicional é um ponto a favor. Imperdíveis são os jantares ás 20 h em ponto, a comida deliciosa feita na hora pela mão da Daniela, o facto de sentarmos-nos todos na mesma mesa (quase sempre com
"
6,"Um lugar maravilhoso com paisagem deslumbrante, o facto de não se ter rede de telefone torna-se um privilégio que permite um maior convívio entre os hospedes, com a natureza, óptimo para descansar e relaxar. A nível das refeições o preço/qualidade é mau, dado que não escolhe as refeições,o preço é caríssimo para o que servem, sendo que se quiser ir jantar fora o restaurante mais próximo fica a 20 km dos quais 4km em terra batida sem iluminação e com alguns pontos muito íngremes de estrada
"
7,"Um local único e mágico, onde nos sentimos únicos e especiais, a envolvencia do local, de quem nos recebe, todo o requinte das refeições faz com que queiramos voltar e voltar e voltar.... Acabamos por sentir que fazemos parte daquele local!  Adoramos Obrigada Mark, Dª Fatima, e Dª Dulce e Daniela, mesmo não estando durante a nossa estadia, foi ela que nos acolheu no primeiro contacto.  Voltaremos em breve Cláudia & Nuno - Junho 2015
"
8,"Ótimo espaço, vista deslumbrante, quartos acolhedores, hospitalidade de todos, incluindo dos animais, desportos aquáticos... Um verdadeiro paraíso! Perfeito para quem tem animais e gosta de andar à vela :)
"
9,"A Quinta do Barranco da Estrada é realmente um Paraíso em Portugal.  O Frank e a Daniela oferecem aos seus hóspedes um ambiente familiar e acolhedor.  Os jantares em grupo são uma óptima maneira de termos um serão animado. A Quinta do Barranco da Estrada é o sitio ideal para relaxar fora da confusão da cidade e da praia. Esperamos voltar em breve! :o) Elisabete e André
"
10,"Adorámos a nossa estadia, o Frank e a Daniela são muito simpáticos. Adorámos os jantares e almoços em conjunto, parece que estamos em familia, a comida é simplesmente maravilhosa, senti-me como um júri do concurso masterchef, os quartos são muito acolhedores também. Na barragem podemos usufruir de kayaks e gaivotas. Apesar de não haver televisão existe internet, mas não é muito rápida. O Frank e a Daniela disponibilizam vários livros, dos que vi nenhum em português, aconselho a levar algo para ler, seja livro ou revista, há vários sitios para os desfrutar, seja perto da água ou no jardim.
"
