,Avaliações
0,"Hotel muito bem decorado, com quartos temáticos... nunca sabemos o que nos vão atribuir :) Recepcionistas muito simpóticos, sempre prestáveis, Na chegada oferecem-nos um spray para desinfetarmos a nossa roupa e bagagem. Pequeno almoço muito bom, entregam uma pinça a cada pessoa para que possa retirar os seus alimentos, fiambre e queijo empratados. Os croissant são divinais. Já ficamos  vezes neste hotel, a repetir sem qualquer duvida.
"
1,"Desde o primeiro contacto até ao check-out sempre foram muito simpáticas! O pequeno-almoço estava muito bom! Em relação aos quartos, nada a apontar, muito limpos e com espaço para acolher um família de 3 adultos.
"
2,"Pura e simplesmente uma vergonha e um atentado á segurança. Quartos que são cubiculos, com paredes cheias de salgadiços e humidades. WC que para nada servem, de tão minusculos que são não cabemos dentro da cabina de duche. Quem quiser utilizar a sanita tem de ficar de lado porque não tem espaço. O pior de tudo é a segurança, uma escada em madeira com passadeiras a desfazerem-se é a única entrada ou saída até ao segundo andar. Resumindo, os quartos são interiores, com uma pequena janelinha para um saguão e ainda por cima quase no tecto. Saída de emergência não existe, se houver um incêndio no R/C que estiver para cima não tem hipóteses de fujir.
"
3,"Hotel pitoresco, bem situado, com bom pequeno-almoço e funcionários simpáticos. O edifício e o interior não são  novos mas o ambiente é acolhedor e sossegado. Ideal para quem quer descansar ou passar um fim-de-semana longe das multidões.
"
4,"Bom Hotel, bem localizado no centro da cidade de Beja, muito acolhedor e de uma simpatia excepcional. Muito bonito. Boa relação preço qualidade. Um Hotel acima das minhas expectativas. Bom para visitar a cidade.
"
5,"De enaltecer a simpatia de todos os funcionários, foram muito prestáveis!  Em contrário, há algumas coisas a melhorar. Os quartos estão a precisar de umas melhorias... Têm um cheiro esquisito tipo humidade e vê-se nas paredes; ouve-se tudo dos outros quartos e da rua (não há trânsito na rua do hotel mas os distribuidores das lojas fazem muito barulho de manhã); por fim o wc é muito apertado.  Em relação ao pequeno almoço, acho que podia haver mais variedade e ter atenção ao pão do dia,  infelizmente o que lá estava era bastante rijo e não deu para comer.
"
6,"Dou nota máxima para esta residencial bem no centro de Beja. Pessoal muito prestável e simpático com bom pequeno almoço.  Quartos decorados com originalidade e muito limpos.  Já estive em hotéis de quatro estrelas com menos condições que a residencial bejense e a pagar muito mais.
"
7,"Hotel/Residencial muito acolhedora, com atendimento excelente e uma óptima relação preço/qualidade. O quarto é acolhedor e sossegado. Casa de banho pequena, mas com tudo o que é necessário. Destaco o atendimento, a limpeza e o pequeno almoço, variado e muito bom. Ideal para uma viagem de negócios.
"
8,"Muito bem localizado no centro de Beja e num edifício que está em bom estado de conservação. Os quartos e casa de banho adequados para uma residencial deste nível assim como o pequeno almoço que surpreende pela variedade. Atendimento também adequado a uma residencial deste género. O problema está na higiene. Alcatifas velhas e rotas e com aspeto de não serem limpas há vários dias. Cheiros desagradáveis por todo o lado numa falta de atenção muito clara aos pormenores higiénicos. Vejam esta crítica como construtiva pois só elas vos fazem ser melhores.
"
9,"Staff simpático e prestável, bastante acolhedor. Sala comum para hóspedes com uma lareira. Quarto limpo e com condições para noites mais frias. Pequeno almoço com alguma variedade e largo período. Aconselho.
"
10,"Residencial no centro histórico, com óptima relação preço-qualidade. Bom pequeno almoço, com produtos frescos. Atendimento muito simpático. Quartos confortáveis, com ar condicionado. Não tem estacionamento próprio. No geral, recomendo.
"
11,"Prós: simpatia, conforto, sossego, bons pequenos almoços e boa localização do hotel.  O facto da recepção ajudar a levar as malas tornou o serviço ainda mais mais atencioso.  Contras: nada a apontar Recomendo vivamente!
"
12,"Bem localizado. Dentro da categoria, muito bom. Acolhedor e confortável. Bom atendimento, simpático e prestável. Pequeno-almoço agradável e variado. Um bom local para ficar, para quem quiser conhecer a cidade.
"
13,"Uma estadia agradável, bem localizado. Wi-fi. Quarto com televisão, pequeno frigorífico, ar condicionado, edredon extra, casa de banho, com imensas toalhas, poliban. Pequeno-almoço fantástico, desde pão, bolos caseiros, queijo regional incrível, sumos instantaneos ok, chás, fruta, iogurtes, cereais, ovos estrelados :D Simpatia sempre.  Great stay, centre. Wi-fi, tv, small fridge, extra blanket, toilette ok. Amazing breakfast. Nice people.
"
14,"Uma residencial sem grande coisa a realçar. Ainda para mais se tiverem o azar de ficar num quarto pessimamente decorado e com uma janela que da para um beco, que faz o quarto ser interior e sem luz nenhuma. O atendimento foi prestável e o pequeno almoço bastante bom até apesar de pouca variedade. Bom para quem está de passagem rápida pela cidade.
"
15,"Os quartos são bonitos e confortáveis , tem um bom pequeno almoço e um simpático e prestável atendimento. Para além disso também tem uma boa localização e tudo isto a um excelente preço. Recomendo sempre
"
16,"""A simpatia dos funcionários era notória, tendo-nos sido disponibilizado um quarto, teoricamente com melhores condições, uma vez que estava disponível. O quarto era muito acolhedor e a cama extremamente confortável. A televisão tinha óptima qualidade. Todos os espaços envolventes estavam extremamente cuidados e limpos. O pequeno almoço era delicioso, tendo muita variedade.""
"
17,"Num fim de semana passado em Beja escolhemos está residencial para passar a noite. Trata se de uma residência muito acolhedora e simpática com umas instalações muito confortáveis. A sala de estar é extremamente acolhedora, o Staff é muito simpático e o pequeno almoço muito bom. Quem estiver à procura de um local para passar a noite em Beja considere ir a está residencial que está numa zona central de Beja. Recomendo!
"
18,"Muito bem situada, excelente para uma visita à cidade ou para viagem de negócios. Familiar e com um bom pequeno almoço. Quartos bem decorados. Boa relação preço - qualidade. Estacionamento não muito fácil.
"
19,"Hotel muito bom, não so está localizado no centro de Beja, como todas as facilidades são fantásticas. Os quartos bastante bons com camas grandes e de optima qualidade. O pequeno-almoço apesar de não muito variado, com uma qualidade muito boa! Excelente relação qualidade-preço e irei regressar!
"
20,"Bem localizado, no centro. Cidade bonita e não sobrevalorizada. Atendimento super simpático. Confortável, limpo, bem cuidado. Portaria 24 horas. Bom pequeno almoço. Muito boa relação qualidade-preço. Não tem parque. Não testei o Wi-Fi.
"
21,"Construção antiga mas caprichosamente bem cuidada. Poderia se adequar ao Roteiro de Charme pelos detalhes de bom gosto e diferenciação. O quarto era confortável, ótima cama, porém pequeno. O banheiro também pequeno. Café da manhã muito bom. Muito simpáticas a dona e a funcionária da recepção. Escadas para acesso aos quartos.
"
22,"A localização do hotel é muito boa, passeia-se a pé facilmente, e apesar de não ter estacionamento, não é difícil encontrar lugar a uns 100 metros. O pequeno almoço tem pouca variedade, mas a qualidade dos produtos disponíveis é boa. A insonorização do quarto é muito má, não sei se todos são assim, ou foi azar com o que nos foi atribuído, mas ouvia-se TUDO. A Internet, apesar de nos ser indicado que tinham mudado o router recentemente, tem muitas falhas, e foi difícil trabalhar assim.
"
23,"Bem situada a Residencial, mesmo no coração de Beja. É uma Residencial familiar. Tem um terraço bastante amplo que serve de miradouro e ao mesmo tempo de lazer. A Residencial é um local acolhedor pois até tem lareira no Inverno.
"
24,"Muito bem situado, deu para passear pelas ruas à noite. O quarto era pequeno, mas limpo e agradável. Gostámos muito da decoração do hotel. O pequeno almoço não era farto, mas tinha o essencial. De destacar que, pode não estar à vista, mas têm bebida de soja para quem não queira leite. O pessoal foi todo muito simpático.
"
25,"Um hotel lindinho, acolhedor, bem decorado!  A rua estava interditada e a recepcionista foi ao nosso encontro, nos ajudou a encontrar o estacionamento público (que o hotel nos disponibilizou - custo 0). Madalena nos ajudou com a mala. Explicou lugares de tour na cidade. Ao lado está o Café Restaurante Luiz Da Rocha o restaurante mais antigo de Beja desde 1893. Ótimo!  A noite a rua tem movimento. Muito agradável. Amamos nossa estagia!  RECOMENDO!  Beja é uma cidade LINDA!
"
26,"Staff muito simpático, instalações muito bem decoradas. Quartos acolhedores e de salientar a higiene do espaço. Como fomos com a nossa filha de 3 anos, colocaram-nos no quarto com a cama maior e era mesmo ""gigante"". O pequeno almoço é muito bom. Aconselho para quem quer passar uma noite como se estivesse em casa.
"
27,"Os funcionários foram todos bastante simpáticos. Existe disponibilidade para fornecer pequeno almoço mais cedo do que o estipulado. Boa comodidade no quarto.  Bom sinal de internet. Recomendo na zona de Beja.
"
28,"A simpatia e atenção da equipe / staff foi excelente. A infraestrutura do hotel e também dos quartos são muito boas, com camas confortáveis, ótimo chuveiro. O café da manhã com várias opções, tudo disponível para você mesmo se servir. Muito bom. Recomendo.
"
29,"No centro de Beja oferece qualidade q.b. para quem está de passagem ou em viagem profissional.Cortesia e simpatia. Espaços comuns acolhedores. Pequeno-almoço variado. Apesar de não ter estacionamento privativo, o estacionamento publico fica a poucos metros.
"
30,"Uma residencial bem no centro de Beja, com uma decoração cuidada e onde não falta conforto! O pequeno-almoço era muito bom comparativamente a outras residenciais do género. Todos os produtos presentes eram de grande qualidade!
"
31,"Fico aqui regularmente, muito recomendável! Os quartos não são muito grandes mas é limpo, os funcionários são  simpáticos e atenciosos e tem um bom pequeno almoço! Localizado mesmo no centro de Beja, ao lado do famoso Luiz da Rocha. Óptimo preço!
"
