,Avaliações
0,"Estive hospedado neste hotel de 1 a 3 de julho. As instalações são bastante razoáveis, o pessoal é impecável de simpatia, o problema é a famigerada central de reservas. Não transmite ao hotel os pedidos que lhes são feitos,  e gera sempre uma grande confusão na hora do chek-in. Os quartos não são o que pagámos, nem respeitam os pedidos que fizemos. Depois não há possibilidade de troca porque supostamente está tudo cheio! Mas Tripadvisor e Booking têm os quartos que pretendíamos disponíveis. Uma confusão!!!
"
1,"O quarto tinha uma grande lomba no chão de madeira ... Por debaixo da cama e dos móveis o chão de madeira tinha uma cor esbranquiçada , não era sujidade , mas tinha um mau aspeto ... O quarto deve ter tido uma grande inundação , e não foi devidamente arranjado. A minha namorada por pouco não dava um grande trambolhão durante a noite , por ter tropeçado na grande lomba do chão .de madeira. Este é o ponto muito negativo . O pessoal que está no hotel é simpático , mas pouco interessado , porque  nunca teriam atribuído o quarto em que fiquei a um cliente . Uma falha muito grave . O turismo em Portugal , começa a ficar muito complicado ....
"
2,"Hotel muito bem localizado, charmoso, atendimento irrepreensível, o jantar com excelentes entradas (queijos e enchidos), comida divinal e bem servida. O serviço é competente, atencioso e simpático. Recomendo e pretendo repetir ❤️
"
3,"Estive entre os dias 5 a 7 de Setembro hospedado neste hotel, o qual deixou muito a desejar, tendo em conta a sua avaliação de 4 estrelas e o seu preço de casal por noite. O ponto mais positivo foi de fato a simpatia do funcionário da receção, os colchões são horríveis, uma pessoa acorda de manhã sem vontade de ir passear para ver a natureza tal são as dores nas costas quando se levanta, inadmissível para um hotel  com esta classificação. Os quartos deixam muito a desejar, precisam urgentemente de obras de modernização. Pedi 2 bebidas ( um mojito e uma caipirinha) a um funcionário numa das mesas onde esteva sentado junto á piscina por volta das 19:10, ao que o mesmo disse com uma certa arrogância que já não servia, pois iam começar a preparar a sala de jantar para a abertura ás
"
4,"O hotel é acolhedor com bonitos jardins, estando a piscina ladeada por um sobreiro e alfarrobeiras. O chão dos quartos devia ser reparado pois apresenta algum desgaste. O quarto virado para a piscina e jardim tinha uma grande varanda. O hotel oferece uma boa esplanada para almoços e jantares e a comida servida é boa. O pequeno almoço também é bom e farto Os colaboradores do hotel são muito simpáticos e prestativos. Também pode ser feita observação das estrelas mediante marcação o que vale a pena. Recomendo
"
5,"Edifício histórico com pormenores interessantes mas pouco cuidado, especialmente no mobiliário exterior e no pavimento em volta da piscina que está bastante danificado. O jardim é agradável. O quarto era bom, apesar da televisão não ser sequer um LCD. Muito estranho para um 4 estrelas. A comida é bastante boa, tanto o pequeno almoço como o buffet do jantar, com grande variedade de saladas e bem confeccionaras.  A localização é muito boa, é possível ir a pé facilmente para a praia da tapada grande e visitar as ruínas da mina, num espaço envolvente muito bonito. O staff é muito amável e disponível, apesar de se perceber alguma desorganização.
"
6,"Dirigi-me ao hotel numa segunda feira de Setembro para almoçar. Sou recebido com pouca simpatia. Perguntei se podiam almoçar 3 pessoas e disseram-me que não. Fiquei sem saber se têm restaurante ou não
"
7,"NEGATIVO: Áreas comuns do hotel sem ar condicionado, numa altura de temperaturas acima dos 40 não se compreende. TVs dos quartos ridículas, dos anos 90. Não existe qualquer controlo do uso das espreguiçadeiras na piscina, existem hóspedes a marcá-las ás 10h quando só as utilizam depois das 17h. Ausência de sinal Wi-Fi nos quartos (pelo menos do edifico novo).   POSITIVO: Simpatia do Staff. Localização. Piscina e espaços exteriores bem cuidados.   A MELHORAR/SUGESTÕES: Colocar A/C nas áreas comuns. Substituir TVs dos quartos. Uma piscina interior abriria outras oportunidades de visita em época baixa até porque as imensas caminhadas possíveis seriam bem mais agradáveis em tempo mais ameno.  Se aconselho? Sem duvida. Uma localização magnífica, super tranquilo mesmo em pleno agosto.
"
8,"Tem uma óptima localização para quem pretende ir á praia Fluvial e passear as Minas de São Domingos. Pode se fazer tudo a pé. O Hotel tem aéreas grandes e tem um observatório de estrelas, mas apenas aberto em dias de céu limpo. A televisão do quarto era muito antiga, ainda das quadradas e estava dentro de um armário. Na era do Led , o hotel tem demasiadas lâmpadas de halogéneo.
"
9,"Hotel com um ambiente extremamente agradável  inserido num local aprazível. Os quartos são confortáveis e limpos. Talvez renovar as televisões. O pequeno almoço e o jantar  agradáveis (embora considere que se deva melhorar um pouco a qualidade das saladas). Staff sempre atencioso e simpático. Incluir no pequeno almoço e jantar produtos alimentares sem glútem O ambiente exterior com um bonito jardim e piscina apetecível.
"
10,"Muitíssimo agradável, localização estratégica para quem passeia por estas bandas, renovado, bom serviço, limpíssimo, gostámos imenso. Buffet para o jantar de grupo variado e excelente. Muito bom! Wifi gratuito nos quartos, nas zonas comuns não há e mesmo rede de telemóvel dependendo dos operadores.
"
11,"Hotel agradável, com excelente ambiente exterior tanto no hotel como na envolvente - vila, praia fluvial e complexo mineiro. Excelente para repousar na época baixa e fazer uns passeios culturais e ambientais.
"
12,"Excelente pequeno almoço; a necessitar de algumas remodelações nos quartos junto à recepção (roupa de cama e tv desactualizada); grande diferença térmica entre as diversas salas; as lareiras no Inverno deveriam estar todas acessas; Staff muito atencioso e simpático!
"
13,"Hotel muito confortável, ambiente agradável, ideal para uns dias de repouso, fácil acesso e boas condições para estacionar, caso se desloque em viatura própria, apenas uma nota menos positiva, em caso de estadia em meia-pensão, o buffet é pouco variado!
"
14,"Espaço muito bonito, afabilidade dos funcionários, bom quarto e uma excelente piscina. Para quem goste de tranquilidade. Pontos negativos ou a melhorar: falta de funcionários para um espaço com tantos pontos de interesse, Tv antiquada nos quartos,
"
15,"Bom para descansar em família com várias atividades para os miúdos. Jardim e piscina muito agradável.  Excelente localização junto a Praia Fluvial Tapada Grande.  Bom restaurante. Óptimo para observação astronômica.
"
