,Avaliações
0,"Hotel localizado no ""meio"" do Alentejo, mais precisamente na herdade da Figueirinha em Santa Vitória, muito perto de Beja.  Local ótimo para uma escapadela de fim de semana em família, instalações muito bem cuidadas e staff muito prestável e atencioso.
"
1,"Ideal para uns excelentes momentos, descontrair e aproveitar o sossego em família. Nada à volta, ideal para o repouso. Aconselho as refeições incluídas. Staff muito simpático em geral. Pena a falta de atividades quando o clima não ajuda. A piscina interior por marcações de 45min e jacuzzi e sauna inativo, acaba por limitar as possibilidades em dias de chuva. Quartos a precisar de uma modernização. Piscina para crianças exterior, parque e quinta dos animais faz a delícia dos mais pequenos.
"
2,"Excelente local! A comida é fantástica! Os vinhos divinais! Montes de diversões p crianças e adultos. O staff 5 estrelas e sempre disponíveis! Uma herdade gigantesca! Aconselho a prova de vinhos!!! Ideal p passar um fim de semana em família!!
"
3,"Este hotel nunca falha , espaços para crianças sempre bem cuidado o staff e todo simpático e impecável , temos algumas restrições na alimentação e o restaurante e a sua equipa arranja solução para tudo . Parabéns ao Diretor Manuel e obrigado por esta maravilhosa semana que passei em familia .
"
4,"Éramos um casal com filhos gémeos de 12 anos e ficámos muito bem instalados no quarto 116, uma suite júnior muito espaçosa, em formato duplex e com vista para 2 frentes opostas: praça principal do resort e campo (quase) a perder de vista.  Já tínhamos ficado no ano anterior no então recém-estreado Vila Galé Alter Real em Alter do Chão, tendo este Clube de Campo – localizado “no meio do nada”, embora ainda assim não muito longe de Beja – cumprido as nossas (já elevadas) expectativas face à óptima experiência passada: sólido “customer service” (que tanta falta faz ainda em boa parte da concorrência mesmo neste segmento), boa piscina e instalações gerais, imensidão da herdade associada para longos passeios a pé e qualidade geral das refeições servidas. Ficámos alojados em regime de
"
5,"Numa estadia de 4 noites / 5 dias em familia - 3 adultos e 1 criança, a avaliação global é bastante positiva.  Para 4 pessoas o quarto revelou-se pequeno - cama de casal e 1 sofá cama que se converteu em duas camas. Ficava pouco espaço para nos movimentarmos dentro do quarto bem como para arrumar a oupa nos armários de realçar a vantagem da varanda diretamente para o jardim. Ficando em meia-pensão a alimentação - quer pequeno-almoço, quer jantar - revelou-se muito agradável, variada e com pratos tipiscos.O espaço bonito e com uma esplanada para o jardim da qual tivemos o privilégio de assistir aos fantásticos por-do-sol.  O espaço em si é excelente para crianças desde a quinta pedagógica, ao espaço envolvente, à adega e ao lagar. A piscina igualmente agradavel embora pequena
"
6,"Hotel incrível, para qualquer pessoa mas principalmente para crianças, staff do melhor, refeições óptimas, animação do melhor (Daniela.. Obrigado por tudo).. Apenas a precisar de uns toques de moderno nos quartos... Recomendo e a repetir logo que possível..
"
7,"Excelente opção de actividades para crianças. Desde piscinas com escorregas de água, animadores, parque infantil, animais e atividades tanto incluídas como extra ao pacote de alojamento, as crianças ficam realmente entretidas durante toda a estadia.  Staff muito simpático e atencioso no geral.  Quarto e casa de banho precisam remodelação, e aprimorar na limpeza… Encontramos insectos mortos aos cantos do quarto, e marcas de ferrugem ou silicones ressequidos na WC de fácil resolução para um quatro estrelas.  Fraco isolamento de som nos quartos - à hora da soneca dos miúdos, depois de almoço, ouve-se o barulho todo de uma festa que decorre diariamente a essa hora no exterior.  Não há opções vegan, e muito fracas opções vegetarianas ou mesmo de alternativa a carne (quase não há
"
8,"O Vila Galé Clube de Campo tem quase tudo, sobretudo para famílias com crianças: tem piscina de adultos e piscina de crianças exterior, esta última com escorregas; tem piscina interior e jacuzzi; tem imenso espaço envolvente, com jardim, vinhas, olivais, pomares; tem animação diversificada para os mais pequenos; tem animais; tem uma ótima parceria com empresa de atividades outdoor; tem pequenos almoços talvez com um pouco menos variedade do que outros Vila Galé, mas com qualidade e servidos por um pessoal atento e diligente. O que falta? Cadeiras e mesa nos terraços dos quartos, climatização nas piscinas exteriores, reforço do pessoal de limpeza (uma simpatia, mas aparentemente sobrecarregadas), fixação de pessoal (neste momento, vêem-se tantos ou mais jovens do que funcionários
"
9,"Hotel excepcional. Grande e repleto de atrações para toda a família. Para quem quer descanso e atividades, é a escolha certa. Quartos espaçosos com vista maravilhosa. Atendimento muito atencioso, excelente limpeza. Refeições de muita qualidade também. Certamente voltaria e recomendaria esse hotel. Viagem feita em fev/19
"
10,"Bom serviço , simpatia e boa disposição do staff... atenção e cuidado com a higiene sem perder na qualidade , o que nessa altura e fundamental!!! Este sítio proporcionou-nós o descanso que andávamos a procura !!! Obrigado
"
11,"Adore o hotei. O picnic e vinhos recomendado. Não gostei que vocês têm seus cabalos com 4 pessoas de 70 quilos cada uma em suas costas.Devem ver melhor. Para o jantar podem incluir opções vegetarianas ou veganas. Para pequeno almorço podem incluir leite de aveia, soja o amendois. Obrigada I like this hotel. I didn't like that they used the horses with many people, and I think they should to serve more food vegetarians or vegan. I recomended the wine and the picnic. I love Iris. Take her.  Me gusto mucho el hotel, el vino y picnic. No recomiendo los recorridos a caballos, mucho peso sobre la espalda de un pobre caballo que lleva a 3 o 4 personas de 70 kilos cada uno. Recomiendo opciones para la cena vegetatianas o veganas.  Mi ha piacuto questo hotel. Non mi piace che non avete
"
12,"Apesar de as instalações não serem novas, são muito bem mantidas e conservadas. Considero como um resort 4 estrelas com bastante atividades para crianças e adultos, mas mereceu a classificação de 5 pela atenção especial que recebemos e pelo tempo favorável que beneficiou nossa estada. Quarto - A mobília parece renovada, pois tem bom aspeto. Estava limpo e adequado para uma estadia sem problemas em razão de minha filha ser asmática. As almofadas e o colchão que são um pouco desconfortáveis, mas nada que prejudique uma estadia curta. Piscina Térmica - Excelente espaço que permite a entrada de crianças e a água estava mesmo com temperatura controlada. Uso obrigatório de touca, a qual o hotel vende por EUR 4,00. Importante notar que neste período de COVID existe marcação de uso
"
13,"Localizado na Herdade da Figueirinha Santa Vitória, este hotel proporciona uma experiência de contacto com a natureza e com os animais única, temos oportunidade de ver como é produzido o vinho e o azeite bem como visitar as vinhas e demais estruturas entre os quais pomares e olivais. Hotel vocacionado para turismo com crianças onde existem muitas actividades dirigidas ás mesmas, destacamos o passeio de tractor, a visita ao lagar e á adega, a alimentação dos animais, a caminhada noturna e diurna á capela, tudo isto incluído no preço da estadia. As animadoras destas actividades são uma simpatia e uma mais valia pois explicam tudo relacionado com a herdade. Pequeno almoço e jantar variado e com qualidade. Staff prestável e muito simpático apesar da grande azáfama diária.
"
14,"As zonas exteriores e as atividades têm muita variedade e são de muito boa qualidade.  Os quartos e a zona de refeições, não corresponde a um hotel de 4 estrelas,  fica aquém. Uma remodelação era bem vinda. As refeições eram fracas, pouca variedade no pequeno almoço e ao jantar. Jantar buffet com 2 pratos de opção, é muito pouco.
"
15,"Em primeiro lugar gostava de referir que a minha filha adorou o sítio e principalmente os animais que tivemos que alimentar todas as manhãs! Tem que se comprar uma bola de ração por 1€. Tenho conhecimento que antigamente era gratuito. Nós os adultos, achámos que este Vila Galé, está um pouco aquém em relação aos outros Vila Galé, não estando à altura de um Hotel de 4 estrelas, e os preços que são praticados parecem-me um pouco excessivos pelo que têm para oferecer. Nota-se que o hotel precisava de ser remodelado e a piscina é pequena para tanta gente, ainda por cima em tempo de pandemia! A herdade é enorme por isso terreno não faltava para ter feito uma piscina mais generosa. Quanto à piscina interior, também é mais pequena do que parece e ainda por cima é necessário utilizar
"
16,"Experiência surpreendentemente agradável. Hotel situado no meio do ""nada"" mas com tudo,onde não nos casamos de observar as belas paisagens envolventes.A possibilidade de fazer um safari é um experiência enriquecedora e magnífica,onde podemos verificar a imensidão da herdade e suas valências. Muito bom para crianças, pois não se aborrecem, têm actividades para elas, destacando-se a visita à quinta dos animais e a interação com eles. Staff simpático e eficiente. Destaco a proximidade do Diretor do hotel com o cliente (não é comum) e a sua preocupação com o nosso bem estar e satisfação. Foram 4 dias muito, muito bons...a família adorou. Obrigado!
"
17,"Passamos pela Herdade um fim de semana prolongado em agosto 2020 spós umas férias no Algarve. estava receosa devido ao isolamento do hotel e poruqe iamos com emia pensão e algumas criticas eram negativas. a minha experiencia foi super! os quartos grandes, limpos e com um puqueno terraço sobre a piscina imnterior e o spa não me pronuncio porque não os fui ver sequer.  a piscina exterior estava impecável, muito limpa. os empregados passavam constantemente a desinfetar as superfícies de contacto.  quanto ás refeições , tem que se marcar hora e pode ser um pouco complicado visto serem os funcionários a servirem, criando-se algumas filas...mas face á situação actual completamente compreensível  sumo natural, compotas caseiras pela manhã....quanto ao jantar muita variedade , alguns
"
18,"Quando uma família opta por um hotel com o selo Clean and Safe, espera que o hotel esteja no mínimo impecavelmente limpo. Isso talvez seja o caso na maioria dos hotéis em Portugal. Mas claramente não se aplica a este. A começar pela recepção onde as teias de aranha crescem e não são limpas(fotos em anexo) não há canto sem teias e durante a semana que lá estive nunca foram limpas. O mesmo se aplica por trás das cortinas nos quartos. Aí há teias e ninhos de aranhas, maravilhoso.... Nem tudo é mau no hotel, aliás tinha tudo para ser um hotel perfeito! Só falta mudar as chefias.  O staff é francamente simpático mas se fizer algum reparo às chefias, como eu fiz ao chefe de sala no restaurante acerca da fraca qualidade da comida.... esperem má cara. O mesmo se aplica quando não deixam
"
19,"Durante meses de incerteza e  algum receio do que se possa vir a tornar, a vida na Terra, a nossa família teve a ideia luminosa de eleger este encantador hotel, na expectativa de desfrutar de alguns dias de puro lazer.  Ficarão para sempre gravados na nossa memória, todos o encantos deste enorme espaço, acolhedor, também a partir das alturas, sobrevoando todo o complexo, o na viagem de balão aquecido, a que nos demos o previlegio e todo o ser humano deveria ter direito, uma vez na vida!  Revivendo esses dias mágicos jamais poderei esquecer o factor humana, tal a cortesia e boas maneiras das pessoas responsáveis para que tudo ali aconteça.  Que nostalgia, relembrar os encantadores fins do dia ali passados, a beleza do pôr - do-sol, que a ninguém deixava indiferente...  Toda a
"
20,"Hotel pensado para famílias, proporcionando espaços e actividades adequados às crianças. A salientar a Quinta  pedagógica e a possibilidade de contacto com a natureza em quase cada canto do hotel. Comida muito boa e saborosa. Staff super atencioso e bem formado, contribuindo para que a estadia seja inesquecível. Os únicos pontos menos positivos a referir são : - mobiliário dos quartos a precisar de renovação - ausência de cadeiras e estendal na varanda dos quartos - poucas mesas no exterior para as refeições e cadeiras algo desconfortáveis - quando o hotel está com a lotação completa, as espreguiçadeiras parecem não ser suficientes.
"
21,"Qualidade, profissionalismo, simpatia, enquadramento paisagístico e ecológico perfeitos. Os pormenores das actividades equestres e mesmo a interacção (em especial das crianças) com outros animais, mesmo com lamas, não são comuns noutras unidades hoteleiras.  Relevam os produtos da herdade/clube, de sublinhar os vinhos, a fruta e as compotas.  No restaurante degusta-se a típica cozinha alentejana preparada com cuidado. O director, Dr. Manuel Patrício, que de forma personalizada, interage com os hóspedes, denota extrema simpatia e um profissionalismo exemplares que são desmultiplicados em todo o pessoal por si coordenado. Parabéns.
"
22,"Hotel situado na herdade espetacular, com diversas plantações e produções desde o vinho ao azeite passando pela fruta.  Dispõe de quartos razoáveis, limpo, cuidado, pessoal esforçado contudo penso que poderiam dar mais e melhor formação aos empregados uma vez que são esforçados. Excelente para famílias com filhos, uma vez que tem muitos animais e diversas atividades para os mesmos. Menos positivo, apesar da situação do covid foi o pequeno almoço que achei muito fraquinho é o jantar à carta tb ficou muito aquem das expetativas, esperava muito melhor (qualidade). Pedimos uma tabua de queijos a qual tinha pouca qualidade e como pratos principais açorda de bacalhau com ovo escaldado ( a açorda estava salgada, posta de bacalhau  mediana o caldo estava salgado e o ovo estava cozido e
"
23,"O Hotel não é mal, mas também não é bom, por isso o título da minha avaliação: Hotel Razoável. Sou cliente dos Hotéis Vila Galé a vários anos, já estive em vários e voltei a marcar estas férias para um Hotel Vila Galé porquê fiquei sempre muito satisfeito com a qualidade do serviço, alimentação e instalações. Desta vez no Clube de Campo Vila Galé fiquei um pouco desiludido, porquê foi sem dúvida o pior Vila Galé que visitei. Sei que estão limitados por causa do covid 19, mas não é desculpa para tudo, o serviço dos funcionários do hotel está abaixo da qualidade de um Hotel Vila Galé, estou habituado a mais disponibilidade e simpatia, cheguei a estar mais de uma hora a espera de uma refeição na hora do almoço. Relativamente a alimentação, que foi um dos critérios fundamentais para
"
24,"Foi a escapadinha perfeita após o confinamento obrigatório devido ao Covid-19. O pessoal, a comida, a educação e compreensão de todos no distanciamento social...tudo muito bem adaptado à nova realidade. O espaço é lindo e o descanso é total.  Recomendo, especialmente para famílias. Tem imensas atividades para adultos e crianças.  Vou voltar mais vezes.
"
25,"Elevada simpatia desde o acolhimento até à saída. Excelente limpeza em todas as instalações.  Refeições de enorme qualidade.  Local prazeroso para escapada em família. Já agendada nova visita para Setembro com mais família.
"
26,"Mais um hotel do grupo Vila Galé que conhecemos, e não nos desapontou. Excelente semana de férias. Para quem conhece os hotéis não espere por um hotel moderno e contemporâneo, para mim fiquei um pouco desapontada quando entrei na suite, pois nada tem haver com os outros hotéis, mas que depois acaba por fazer todo o sentido dada envolvência do espaço.  Aspectos positivos: Simpatia dos funcionários, principalmente os do restaurante, que apesar de estarem a trabalhar sob stress, têm sempre uma palavra simpática e um sorriso. Chefe Flores obrigada! Localização, paisagem, envolvência, zona da piscina, a barragem, pomares,.... Excelente Qualidade da comida Quarto espaçoso  Aspectos negativos É notória a falta de funcionários no restaurante. Dá pena olhar para eles a trabalhar e a
"
27,"Inserida numa paisagem típica alentejana, com vistas maravilhosas sobre as suas planícies, vinhas e olivais.  Boa organização, simpatia dos seus funcionários e disponibilidade de serviços (piscina interior e exterior, ginásio, eventos equestres, quinta pedagógica, etc.) Adequado a famílias com filhos ou simplesmente disfrutar de ar puro.
"
28,"Uma excelente ocasião para aproveitar a planície alentejana, rodeado de vinhedos e de olival, numas instalações agradáveis com várias opções. A passagem do ano, num excelente pavilhão resultante do aproveitamento de antigos armazéns agrícolas, com um bom ambiente, um serviço impecável e uma ementa agradável. Recomenda-se a experiência! Oportunidade de ao regressar a casa poder levar os produtos de produção local que abastecem a cadeia hoteleira (vinhos,azeite)
"
29,"Hotel em íntimo contacto com a natureza com possibilidade de visitar os animais e fazer passeios pela herdade. Bom estado de conservação e manutenção. Boas áreas comuns. Muitas ofertas de passatempos para miúdos e graúdos. Simpatia dos funcionários. Boas refeições (tanto pequenos-almoços como os jantares, os quais aconselho que sejam no hotel dado este estar algo distante das cidades mais próximas - Beja e Castro Verde). Adoramos a estadia e voltaremos.
"
30,"Vila Gale Clube de Campo é uma excelente escolha para quem procura descanso. O local é isolado, no meio da natureza, mas era isso que procurávamos e foi uma excelente escolha. O Atendimento (desde a recepção, Spa e restaurante ) foram 5 * Mesmo no Inverno , termos a piscina interior aquecida, jacuzzi a as várias massagens a tratamentos, são uma mais valia As refeições no Restaurante no Hotel foram sempre muito boas e com um preço justo Para quem vai em familia, com crianças, é um optimo espaço, não só pelo parque infantil, como com os animais que se podem ver e alimentar com o acompanhamento de uma funcionária super simpática, os cavalos...  A visita guiada e a prova de vinhos na Casa Santa Vitoria, mesmo ali ao lado, é também uma actividade a não perder Queremos voltar em
"
