,Avaliações
0,"O Imani fica perto de Évora e ainda mais perto do fantástico Cromeleque dos Almendres. É uma propriedade rural cheia de laranjeiras e oliveiras, bem cuidada, bonita e super calma, para quem procura lugares assim, sem vizinhos à volta, excelente para recuperar energias e passar um tempo tranquilo. Bons quartos, limpos e bonitos, duas piscinas, bem tratadas, guarda sol e cadeiras. Regras atuais bem coordenadas. Bom wifi. Um excelente restaurante, tanto no espaço, muito agradável, como na qualidade da comida, seja do pequeno almoço, do snack todo o dia e do jantar. Os preços é que são um pouco altos embora, como disse, a qualidade fosse boa. A simpatia e eficiência dos colaboradores todos é fantástica e sentimo-nos em casa. Ali podemos apenas não fazer nada, sentir o barulho do
"
1,"Local magnífico para descansar em paz, num ambiente rural de grande tranquilidade. Hotel muito lindo.  Quartos espaçosos e bonitos, muito confortáveis. Destaco a simpatia e solicitude de todo o pessoal, sempre pronto para ajudar e incansável no apoio aos hóspedes. O único ponto menos positivo são as opções do arquiteto, na casa de banho, pois deu preferência a arranjos estéticos sofisticados mas muito pouco práticos e funcionais.
"
2,"Visita com amigos em tempo de pandemia e ainda com muitas restrições associadas. Limpeza e desinfeção exímias e com uma simpatia extrema das empregadas fizeram desta estadia um sucesso. O seu velhinho burrinho e uma das atrações principais e muito querida. Apesar de o restaurante estar fechado houve a possibilidade de o pequeno almoço e refeições serem disponibilizadas no quarto sempre com a máxima segurança. Tranquilidade, simpatia e segurança no tradicional Alentejo. Muitas atividades extra possíveis nas redondezas que o pessoal do hotel ajuda a organizar.
"
3,"Ideal para um momento a dois ou em família, em puro descanso e no meio do Alentejo, a Herdade foi recuperada e transformaram as cavalariças em quartos.   Com apenas 7 quartos e duas piscinas, um staff super simpático que nos recebe como se estivéssemos chegado não a um hotel mas sim a uma casa de família.   Decoração pensada ao pormenor, prima pela autenticidade. Dá para relaxar nas piscinas, jogar um snooker ou simplesmente passear pela Herdade e cumprimentar a burra que passeia pela Herdade.   Recomendo!
"
4,"Superou as minhas expectativas! foi um fim de semana supresa, e que otima supresa... recomendo e voltarei ...  Suite 7, qualquer coisa de extraordinário para quando se quer fazer uma supresa a sua cara metade
"
5,"Parabéns pelo bom gosto da simplicidade sendo eu Alentejano e a viver fora senti-me em casa pelos objetos ""espalhados"" na decoração parabéns e o obrigado pelos dias de sossego e calmaria... é um espaço que prima pelo bom gosto e pela ""sossega"" (sempre quero ver como o traslater vai traduzir) muita simpatia bem estar a suíte era fantástica e o despertar pelos pássaros fez me sentir menino outra vez pequeno almoço divino bons produtos jantar bem servido e muito bem confecionado, comida com sabor e tão alentejano parabéns por manterem  as tradições e os nossos manjares prato generoso o que também é bom, para não falar na excelente e variada carta de vinhos da vontade de os beber a todos.... único reparo mas de uma forma construtiva faltou-me uma carta de lanche ou snaks! Uma tabua
"
6,"Adorámos tudo! Sítio perfeito para viajar a dois ou em família. Temos uma filha de 2 anos, que amou. Imenso espaço para correr, brincar, dar mergulhos! E sem necessidade de estarmos preocupados para onde vai ou não vai. A comida, a simpatia, o espaço.. tudo muito bom!  Recomendamos e vamos voltar
"
7,"Por só ter 7 quartos é considerada casa e não hotel.. muito agradável. Quarto bem decorado e muito confortável. A banheira escavada no pavimento é engraçada mas não tão prática.. pequeno almoço muito bom com produtos de qualidade. Pode-se almoçar e jantar o que é confortável, embora Évora fique mesmo ao lado.. serviço simpático e profissional. Ambiente descontraído e com decoração sui generis.. consegue-se repousar com qualidade.. a repetir sempre.... o único ponto menos agradável é mesmo o transporte das bagagens...
"
8,"Eis um refúgio no verdadeiro sentido da palavra... Isolado, tranquilo, confortável e, ao mesmo tempo, perto de Évora o que permite~, a quem o desejar, percorrer as áreas circundantes.  Terreno amplo, quarto confortável e requintado, áreas comuns generosas e despretensiosas.   Existe, de facto, uma mistura curiosa de requinte e de rusticidade que podem parecer antagónicos no início mas que vão fazendo sentido.  Existe espaço para melhorar, sobretudo no acesso ao parque e no cuidado nas áreas de jardim mas a experiência global em nada é afectada por isso.  Pequeno almoço agradável.  Como sempre, as pessoas fazem a diferença e aqui a equipa mostrou-se sempre disponível, com simpatia genuína e grande profissionalismo.  É, por isso, um espaço  a recomendar a todos os que procuram
"
9,"Lugar fantástico para descansar. Afastado do mundo. Atendimento excelente,  quarto novo, iluminado, com uma decoração ótima. Café da manhã simples, mas delicioso. O banheiro é ótimo, com exceção do chuveiro, que era um pouco desregulado (ficamos no quarto 2). Local quieto, perfeito para desligar do mundo.
"
