,Avaliações
0,"O Hotel é muito acolhedor, o pequeno-almoço tem muita variedade e adoramos o bolo caseiro feito pela dona do hotel! Está localizado no centro da cidade, perto de pastelarias com doces regionais e a 15 min do castelo. Fim-de-semana muito bem passado e vamos voltar!
"
1,"Hotel muito familiar, bastante tranquilo, a equipa é super atenciosa e disponível, A limpeza e arrumação impera, o pequeno almoço é muito agradável, o hotel está muito bem localizado. Se necessitarem de alguma recomendação ou opinião não existem pois eles sabem bem o que indicar. Recomendo vivamente!
"
2,"Excelente hotel para a relação preço qualidade, staff muito atenciosa e sempre pronta a ajudar quartos muito limpos e numa zona central da cidade Beja com restaurantes e bares circundantes bom pequeno almoço um lugar a regressar.
"
3,"Pessoas muito cordiais na recepção,localizado no cento,em uma rua que não entra carro,mas a esquina é próxima e lá param,excelente café da manhã,elevador aos andares e quarto bom.Além de tudo,cobra pouco.
"
4,"Não é um quarto gigante, mas é muito confortável. O colchão é fantástico! Gostei de ter ficado num quarto com varanda, pois deu para relaxar e apanhar sol. A senhora da recepção foi muito simpática e deixou-nos guardar comida na cozinha do hotel. A localização é mesmo no meio da cidade e há um parque de estacionamento a 7 minutos do hotel sempre com lugares vagos. Recomendo a quem procura um local agradável para passar uns dias, fomos muito bem tratados por todos os empregados do hotel! Pequeno-almoço delicioso, com destaque para os croissants com doce de melão.
"
5,"Um excelente hotel localizado numa rua com pouco movimento e toda engalanada com as decorações de natal. Rececionistas e funcionárias simpáticas, os quartos muito acolhedores e bonitos com umas pequenas colchas.
"
6,"Hotel muito simples, nada a apontar à limpeza e muito bem localizado.  Pequeno almoço tem pouca variedade mas dentro do normal para a categoria.  - Wi-fi free - Serviço de TV muito bom (existem hotéis com o dobro das estrelas que não tem metade dos canais nem qualidade de imagem). - A/C bastante funcional  As instalações são bem tratadas em termos de manutenção, tudo muito apresentável mas sem luxos como é esperável na categoria.
"
7,"Check-in muito atabalhuado  mesmo com reserva a simpatia nao consta neste hotel,falta de estacionamento,o pequeno almoço gerente refila com os empregados á frente dos clientes,quartos simples bem localizado
"
8,"Ficámos alojados por uma noite neste ""hotel"". Para além das instalações serem fracas para o preço pedido, o atendimento é do pior que já presenciei nos últimos anos. Quando o recepcionista nem no check-in nem no check-out diz um simples ""bom dia"" ou ""boa tarde"" nem tem vontade nenhuma de atender o hóspede, acho que está tudo dito. A não repetir.
"
9,"Esta Pensão fica bem situada. Mesmo no centro da cidade. Também tem lareira no Inverno e é muito acolhedora! Pode-se também comprar comida (refeições) cá fora e comer nos quartos, o que também dá muito jeito.
"
