,Avaliações
0,"Ficámos  no hotel duas noites, na primeira noite jantámos no restaurante do hotel, como temos por hábito  fazer em cada estadia em hotel. A comida estava ao nível  de uma diária, não tinham carta de vinhos e o serviço foi péssimo. Ao longo da nossa estadia  cruzamo-nos várias vezes com o staff de housekeeping, nomeadamente uma senhora, que aparentava ser a responsável, que nunca estava fardada e sempre sem máscara; o que não considerámos  uma boa prática nestes tempos de Covid.  O pequeno-almoço é bom, mas básico no entanto o serviço  mais uma vez, péssimo, nomeadamente  o funcionário de colete/polo, fardado de forma diferente dos outros e que aparenta ser o responsável, não tem qualquer noção de atendimento ao cliente. Estamos num 4 estrelas e espera-se um mínimo de qualidade,
"
1,"No geral há uma imensa falta de atenção ao detalhe. Os quartos precisam ser reparados, há cortinas rasgadas e banheiras sem tampão por exemplo. No que toca à piscina, vários chapéus de sol estão em mau estado de conservação assim como as espreguiçadeiras. Ainda neste tema, não há qualquer controlo da piscina então as crianças (e alguns adultos) andam a mergulhar e molhar tudo em volta sem qualquer tipo de respeito pelas regras na entrada. Na primeira noite pedimos na recepção um frapé e copos, o funcionário que foi levar disse que não lhe tinham dito nada sobre copos… Comemos uma noite no restaurante e o serviço foi fraco, pouco atencioso, não tinham informação de que tínhamos uma refeição pré paga, não há carta de vinhos escrita e tivemos que pedir-mo vinho três vezes porque
"
2,"Recomendo este hotel, acusticamente irrepreensível e muito agradável. O pequeno almoço é regular, mas bem servido e a piscina importante quando estão quarenta graus centígrados. Localização relativamente próxima do centro de Beja!!
"
3,"Num fim de semana, com covid à  solta, optamos pela  idade tranquila de Beja. A escolha do Beja Parque foi positiva. Localização e parqueamento fáceis. Quarto satisfatório. Pequeno almoço suficiente para um 4*. Usufrui da piscina com satisfação.
"
4,"Excelentes férias em família. Hotel acolhedor, confortável e longe de multidões. Pequeno almoço bufet com boa variedade e funcionários super atenciosos. Numa altura em que procuravamos fugir a grandes aglomerados a escolha deste hotel tornou se uma excelente escolha. Sentimos nos super seguros, todos os presentes respeitam o espaço de cada um inclusive na piscina, grandes espaços verdes e expreguicadeiras sempre disponíveis. Aconselho a quem queira umas férias tranquilas em família
"
5,"Optámos por este hotel, porque o local onde ficamos habitualmente - Hotel Francis - está encerrado. O local é agradável, amplas áreas comuns e uma piscina com bastante espaço verde. O quarto é confortável, embora muito barulhento, pois o isolamento acústico da janela não é o mais indicado para esta localização - em cima de uma rua muito movimentada. Pequeno almoço muito variado em em regime de ""bufet"".
"
6,"Anteontem, ao contactar diretamente o hotel, informaram-me que o preço por noite, para um casal com pequeno almoço incluído seria de 80€/noite, para o fim de semana de 01 a 03 de Maio 2020 que coincide com o evento: Ovibeja. Confirmei o interesse pedindo que me enviassem um mail com os dados de pagamento. Como até hoje ainda não tinham dito nada, liguei. E para minha surpresa/indignação, pediram desculpa e informaram que o preço por noite seria 110,50€, uma vez que a reserva coincide com o evento: Ovibeja. Cancelei a reserva e informei que outro Hotel com localização mais próxima do evento, para o mesmo fim de semana com as mesmas condições e conscientes de que se trata do fim de semana do evento: Ovibeja, apenas cobram 75€/noite. Espero que o Gerente deste hotel, saiba mesmo, o
"
7,"Chegando ao hotel deparei-me com obras exteriores no mesmo sem ter sido avisado aquando da reserva, resultado : tive de deixar a minha viatura longe do mesmo! Fiz check in e quando chego à porta do quarto que me foi atribuído estava de porta Aberta ainda todo sujo e desarrumado sendo que a pessoa da recepção nem ao outro lado me mandou depois de tomar conhecimento do sucedido! Chamou a senhora das limpezas que fez o possível por despachar a limpeza. Para esquecer! Horrível experiência!
"
8,"Hotel bem localizado e simples para entrar e sair e com estacionamento. Salas de reunião e confortável. Boa simpatia dos funcionários e muito prestaveis. Hotel simpático. Precisa melhorar a sua apresentação e imagem exterior
"
9,"Estive em trabalho neste hotel .  Acolhedor , limpo e simpático.  Quartos e wc's bons , com lcd com canais por cabo, varanda espaçosa com cadeiras.  O hotel tem restaurante a funcional  Servico de bar bom  Tem piscina e jardim  Pequeno almoço muito variado , com muita coisa para comer .  Aconselho o hotel para qualquer tipo de situação.
"
10,"Fomos um grupo muito grande (60 quartos), as refeições foram muito bem servidas, atendimento muito simpático, o bufet de pequeno almoço variado e com qualidade. Zona davpiscina fantástica. A voltar garantidamente.
"
11,"Fomos a procura de descansar e relaxar sem as nossas crianças e conseguimos. O staff mto simpático, piscina e jardim ideal para relaxar. Jantamos no bar pk o rst do hotel tinha tido um casamento no dia anterior mas fomos mto bem servidos e atendidos. O quarto impecável e mto limpo com vista para o jardim e piscina e o colchão super confortável. Peq. Almoço bom com variedade e bolo caseiro, adorei as broas de Gila. Apenas a apontar k o hotel já precisava de algumas pequenas remodelaçoes. Quanto ao resto td bom
"
12,"Está tudo ótimo nos quartos mas de resto fica a desejar. Para 4 estrelas sem parque coberto para carros. Sala dos pequenos almocos muito fraco. Pouca sombra no jardim da piscina. Não voltaremos. Os preços estão ótimos
"
13,"As instalações são agradáveis e limpas. O buffet de jantar foi muito mau, a variedade muito reduzida e a qualidade bastante baixa. Tinha 2 pratos principais, um de carne e outro de peixe, ambos muito fracos. Para as crianças tinha pizza com aspeto congelada. Isto levou a que não repetíssemos. O pequeno-almoço oferece variedade e qualidade razoável, exceto a fruta da época que não correspondia da mesma forma, por vezes estava azeda. Quanto ao serviço de quartos, as toalhas eram extremamente rijas, inclusive uma delas estava rota. Este hotel não corresponde à qualidade oferecida normalmente por um 4 estrelas.
"
14,"O Hotel fica bem localizado, logo a entrada de Beja e oferece boas condições de estadia, a destacar a higiene e os pequenos almoços, muito variados. A tranquilidade é excelente. Infelizmente falta, como em quase todos os hotéis de 4 estrelas, um pouco mais de tipicidade, de calor e personalização na decoração, mas é agradável e recomendo.
"
15,"Hotel localizado a entrada de Beja com estacionamento no local. Quarto confortável com varanda. Boa wc. Check-in e check-out sem problemas e atendimento com simpatia. Pequeno-almoço pouco variado, mas de boa qualidade.
"
