,Avaliações
0,"Excelente vale bem a pena  Recomendo vivamente o Sérgio é uma pessoa muito simples simpático e muito acessível  Mesmo bom para descansar    É bom para familias com crianças as senhoras que nos servem o pequeno  almoço são muito simpáticas é mesmo muito bom
"
1,"Área da piscina excelente, regras Covid muito bem organizadas e definidas, bem como assim bem comunicadas e fiscalizadas durante a estadia. Limpeza do quarto a chegada excelente. Área comum da casa sempre limpa e bem cuidada. Decoração muito gira. Recomendo este espaço para descanso e tranquilidade.
"
2,"Junto a Monsaraz, na estrada para a praia fluvial de Monsaraz, este acolhedor espaço recebe confortavelmente os visitantes. Casa Tipica alentejana, quartos confortáveis e decorados a preceito, bom pequeno almoço alentejano, Inúmeras actividades ao ar livre. Serviço muito acolhedor, confortável! A repetir? Sem dúvida!
"
3,"A estadia no Monte Alerta por todas as razões foi de um tempo de descanso perfeito. Simpatia, ter sempre disponibilidade e fazer sentir que há tempo para cada cliente, pequeno almoço muito bom, limpeza impecável, bom gosto em toda a decoração. Na piscina muito bem organizada a distribuição de espaço, muito verde por todo o lado e sempre bem cuidado. As 2 senhoras que nos recebiam, no pequeno almoço,  sempre simpáticas prestáveis para qualquer coisa que fosse precisa. Resumindo, obrigatório voltar!!! Muito obrigado
"
4,"Que sítio fabuloso! Espaços muito agradáveis e diversificados. Recomendo vivamente. Excelente para passar uns dias de descanso longe da confusão. Ótimo para famílias! Donos extremamente acolhedores. Adorei! 💚
"
5,"Adoramos o espaço, acolhedor, cuidado, assim como a forma de como fomos recebidos. Atendimento cinco estrelas. Um espaço que nos permite sentir em casa. Zonas cuidadas e com muita privacidade. Obrigado
"
6,"Não podemos chamar ao Monte Alerta hotel nem alojamento. É sim uma grande casa onde somos recebidos pelo anfitrião Sérgio como se fôssemos da família. Ali temos a sensação de estar em nossa própria casa, onde podemos repousar e acalmar sem pressão de horários.  Na minha opinião, apenas um ponto menos positivo, em estadias longas os pequenos almoços não são muito variados.
"
7,"Quanto ao espaço em si é excelente, o anfitrião é excelente, a localização é excelente, a limpeza é excelente e as recomendações dadas foram excelentes. Vou voltar e já recomendei a todos os meus amigos! Obrigado Sérgio!
"
8,"Muito bom e extremamente acolhedor! Muito bem localizado a menos de 5m de carro de Monsaraz tem um espaço exterior cheio de recantos para namorar ou conversar e a que não falta uma nela piscina e jackuzi! O interior e de muito bom gosto e os quartos muito bem decorados! O proprietário ( Sérgio) é s hospitalidade em pessoa! Recomendo vivamente !
"
9,"Um local excelente para passar uns dias em perfeito relax.  Equipa muito simpática. O anfitrião, Sérgio, sempre simpático e disponível. Tudo perfeito. À noite, as estrelas não deixam espaço livre no céu!
"
10,"Turismo excelente! Com um anfitrião fantástico, uma casa linda, muito bom pequeno almoço e uma localização fabulosa. Perto de Monsaraz, onde a paz e a tranquilidade adoçaram o fim de semana . À vista das estrelas neste local é maravilhosa
"
11,"Casa muito bonita a escassos minutos da Freguesia de Monsaraz e da fabulosa Praia Fluvial, que adoptou o mesmo nome. O anfitrião Sr. Sérgio de uma simpatia e delicadeza extrema, deixou-me completamente à vontade, sentindo-me como se estivesse em casa. Quarto enorme, excelente colchão e muito boa almofada. Pequeno almoço divinal, com produtos caseiros, nomeadamente, bolinho feito na hora, diferentes sumos naturais e um excelente pão alentejano, entre muito outras coisas deliciosas,... Ao Sérgio, Um Forte Abraço e Muito Obrigado pela forma como me recebeu em sua casa. SEM DÚVIDA A REPETIR!!!
"
12,"Foram uns dias de puro descanso. O Sérgio(dono) e a restante equipa são pessoas super prestáveis, atenciosas e simpáticas. O Monte e toda a área envolvente de Monsaraz é o sítio indicado para quem precisa realmente de repor energias, sem horas e sem pressas. Fugir ao ritmo da cidade. Só tenho de agradecer todo o cuidado e atenção que tiveram connosco.  O Monte Alerta é um espaço com cerca de 180anos de história, passados de geração em geração, assim como, as mobílias, peças decorativas e salas. A Camila manda um beijinho especial para o Sérgio.
"
13,"Atendimento 5*. Simpatia, limpeza , sítio fantástico para passar uns dias em família ou até mesmo sozinho !  A 1 minuto do Observatório do Alqueva, e a 3 Minutos de Monsaraz , onde o nascer e o por do sol, são especiais !
"
14,"Adorámos todos a experiência de uma semana no Monte Alerta. Esta propriedade é um autêntico oásis no sopé de Monsaraz com espaços verdes de exuberância rara nestas paragens. É possível descansar verdadeiramente pelo espaço envolvente, mas também porque os quartos têm um excelente isolamento acústico. A piscina é o centro de um jardim maravilhoso convidativo ao descanso e a mergulhos revigorantes. A hospitalidade dos proprietários e do pessoal é assinalável, assim como o esforço no cumprimento das normas da DGS para o Covid-19, pela segurança de todos. Vamos fazer por regressar!
"
15,"Completamente rendidos à beleza da quinta e à simpatia do dono, da D. Maria e da Patricia, que nos fizeram sentir em casa. Ficámos num quarto muito bonito com todas as condições para que desejenos voltar. Ficar nesta quinta permitiu-nos aliar o bom descanso ao passeio por algumas das emblemáticas terrinhas do Alentejo. Já para nao falar que trouxemos o nosso filho de 5 meses que adorou este ar puro que aqui se respira. Desejamos sem duvida voltar!
"
16,"Hospedagem rural numa casa portuguesa secular, de decoração cuidadosa e hospitalidade ímpar. Ambiente bucólico e acolhedor que preza pelos detalhes. Para descansar em contato com a naturez a ou em frente à lareira ...
"
17,"Um espaço lindo, respira tranquilidade e simpatia. Os quartos sempre limpos. Excelente cuidado de todo o staff, desde o pequeno almoço, à limpeza sempre atempada dos quartos. Recomendo é lugar a repetir. O Sergio e restante equipa são de uma generosidade extrema, sempre à procura do melhor. Da minha parte e restante familia, o meu muito obrigado.
"
18,"Um espaço super confortável com uma decoração clássica e muito típica. Local para desfrutar de tranquilidade em boa companhia. Pequeno almoço bom e quartos amplos. Mesmo no inverno a estadia foi 5 estrelas e fomos muito bem recebidos.
"
19,"A estadia no monte alerta, não poderia ter sido melhor. Adoramos todos os pormenores, desde o acolhimento, a decoração, os diversos espaços comuns, que nos fizeram sentir em casa. O pequeno almoço, igualmente, excelente. Uma experiência a repetir.
"
20,"Bem localizado, tranquilo, limpo, recomendo vivamente a quem queria descansar e desfrutar da região pois há várias iniciativas locais a descobrir. A simpatia de todos neste alojamento é fantástica. O pequeno almoço é bastante bom.
"
21,"Estadia excelente. Estadia com tudo o que esperávamos. Com uma higiene espectacular, Uma decoração fabulosa, um pequeno almoço com produtos regionais e de grande qualidade e um anfitrião que mostra sempre a sua disponibilidade e simpatia.
"
22,"Provavelmente das melhores casas de campo do país. Pequeno almoço fantástico simpatia do Stags Paz e tranquilidade perfeito para um fim de semana de sonho. Aconselho vivamente é um agradecimento especial ao Sergio que foi um grande anfitrião.
"
23,"Espaço mágico, confortável e acolhedor. Uma experiência única de verão e outra completamente diferente de inverno.  Instalações e serviços ótimos Sérgio, a Ana e restante pessoal da casa são 10 estrelas. RECOMENDO
"
24,"A casa, na família do dono à 8 gerações, é maravilhosa. Linda, super bem decorada, com uma energia super calma e positiva. É o sítio perfeito para descansar da confusão da cidade. De referir a simpatia do Sérgio.  Um sítio, sem duvida, para repetir.
"
25,"Local muito bonito e bem cuidado, limpeza impecável.  Pequeno almoço simples mas com qualidade. Ideal para quem procura sossego e refúgio na natureza. Staff muito atencioso. Próximo da praia fluvial e do observatório lago Alqueva (recomendo).
"
26,"Muito bem recebidos, tudo estava impecável, a repetir. Pequeno Almoço muito bem servido, as pessoas muito atenciosas. Os quartos e casa banho tudo muito bem apresentado. Espaço exterior jardim bonito . A Piscina limpa . Geograficamente o Castelo a 2 e a Praia 1 minuto de carro.
"
27,"Venho destas férias totalmente encantada! O Monte Alerta foi sem dúvida a melhor escolha, até tivemos de reservar mais uma noite! Só posso agradecer ao Sérgio e a toda a sua equipa por nos terem acolhido tão bem! Voltaremos concerteza!
"
28,"Um local com muita calma, tranquilidade e hospitalidade! É optimo para quem vai de férias com crianças.  A sua localização é excelente para quem quer conhecer a região.  É sem dúvidas um local a repetir.   O Sérgio faz-nos sentir em  casa.  Recomendo sem dúvidas.
"
29,"Local de excelência para descansar e desfrutar da Natureza. Quartos muito confortáveis e com uma decoração aconchegante. A piscina é maravilhosa, em que o clima propicia uns maravilhosos mergulhos. O anfitrião é de uma simpatia sem igual. A Dona Maria é uma excelente funcionária, muito carinhosa e servem nos um pequeno almoço dos Deuses! Vamos voltar certamente!
"
30,"Uma casa encantada, onde a paz vive!!! O Sérgio é fantástico faz da sua casa a nossa casa. Recomendo vivamente,não há palavras para descrever mais, mas sim só estando neste lugar único. Obrigada ao Monte Real.  Lígia
"
31,"Já somos repetentes no Monte Alerta e voltaremos de certeza. No Monte sentimo-nos felizes e em paz  Somos sempre recebidos como se fôssemos da família. As obras realizadas este ano ainda o tornaram mais bonito e acolhedor. O Sérgio (nosso anfitrião) é maravilhoso, sempre com um sorriso e pronto a agradar a miúdos e graúdos. Obrigada Monte Alerta e até para o ano !!
"
32,"Férias com a esposa e a cadela, tudo impecável. A simpatia do Sérgio (proprietário) que desenvolve todos os esforços para dar o máximo conforto. A proximidade da praia fluvial e do castelo é mais um dos pontos positivos. Muito satisfeito.
"
33,"Monsaraz, uma escapadinha a repetir!!! Monte muito bem tratado, pessoal fantástico, quarto grande, toda a decoração bem pensada, pequeno almoço simples e delicioso, a piscina otima. E um deck para apreciar a paisagem e relaxar. A praia Fluvial mesmo ali ao lado, e um passeio no Castelo ao por do sol. Só não consegui ir ao observatório das estrelas ali ao lado.  Aconselho.
"
34,"A experiência foi optima! O Monte é lindo de morrer, super cuidado e os empregados muito atenciosos e profissionais.  Os quartos são espaçosos e confortáveis, o pequeno-almoço delicioso. O monte tem à nossa espera o burro Juvenal que faz as delicias das crianças.  A situação geográfica do Monte é também excelente, pois está muito proximo da praia fluvial e de Monsaraz.
"
35,"2dias de perfeito encantamento! Quarto espetacular, recepção do Sérgio 5*, serviços da casa muito bons e um pequeno almoço maravilhoso! A piscina e muito boa! De salientar nos arredores o castelo, a praia fluvial e o OLA. Espero repetir brevemente..
"
36,"Lugar incrível , agradável , acolhedor e com atendimento do Sérgio , o dono, espetacular ! Paisagem e hospedagem perfeitos ! Café da manhã delicioso e com instalações muito bonitas e super limpas ! Piscina deliciosa !
"
37,"Ambiente familiar e acolhedor. Sem dúvida para repetir. Provavelmente a melhor vista sobre o Castelo de Monsaraz e um espaço digno de um livro de encantar... Desde o atendimento dos colaboradores à prontidão de satisfazer todos os nossos desejos por parte dos donos, este turismo merece 10/10 em qualquer ponto.
"
38,"Tudo perfeito o Sérgio perfeito anfitrião levámos uma cadela e foi uma recepção fantástica.Pequeno almoço extraordinário o sumo de morango e o bolo de canela celestiais. O céu noturno .... Só resta voltar
"
39,"Espaço muito bonito tanto em construção como decoração, óptima simpatia de todos, calmo, arrumado e limpo. A piscina e o jardim são de encantar, tanto para passar o dia como para estar durante a noite observando as estrelas e a desfrutar de um bom gin. Não tenho nenhum ponto negativo, aconselho a todos. Obrigado à equipa. Abraço Sérgio e até breve.
"
40,"Para começar os Funcionários  são todas uma  maravilha, gente muito acolhedora, com muita  Simpatia. Um Monte Turismo Rural que nos transmite muita energia positiva. Tudo muito bonito.  Recomendas para todas as idade. Quem vai lá uma x, volta sempre !!!  We will be back soon. 🌺🌹🙏
"
41,"Um hotel que encanta pela sua arquitetura,   bom gosto na decoração e muitos pormenores. É como uma viagem repleta de histórias espelhadas nos objectos que encontramos pela casa. Todo o espaço está muito bem cuidado e limpo. Os quartos são grandes e o colchão óptimo! A salientar a simpatia do proprietário Sérgio que nos pôs à vontade  na companhia da nossa 4 patas Pinki. Um sítio sem dúvida para voltar com mais tempo. Até breve!
"
42,"O Monte Alerta para além de ser um ponto estratégico ao redor do qual há muito para conhecer, é também um lugar interessante com requinte e com história ou histórias. Passámos ali  4 noites para comemorar o aniversário da minha mãe. Só temos a agradecer ao Sérgio e aos seus funcionários pela simpatia, pelo profissionalismo e pela ótima hospitalidade. A casa é muito bonita, com piscina e jardins fantásticos que nos convidam à meditação. Um verdadeiro retiro ecológico em pleno Alentejo. O pequeno almoço é ótimo com produtos da região. Os quartos e salas são surpreendentes. Uma boa relação: qualidade/preço. Sim, vamos voltar e recomendamos! O Monte Alerta deixa saudades.
"
43,"Simplesmente fantástico, O Sérgio fez questão que nos sentíssemos verdadeiramente em casa.  Pequeno almoço soberbo de muita qualidade e diversidade.  Quartos todos de decoração distinta, tendo em comum uma decoração que nos transporta para um ambiente de relaxe e lembranças antigas.  Camas excelentes.  Envolvimento exterior com vários recantos em voltada piscina, proporcionando isolamento e permanência tranquila.  Por fim uma pequena barragem que proporcionou momentos de diversão que não esqueceremos.  MUITO OBRIGADO
"
44,"Monte com espaços muito acolhedores,  decorado com bom gosto, com peças que nos transportam ao passado. Sentimo-nos em casa, não só pelo local mas também pela simpatia e disponibilidade do Sérgio, que nos tratou como amigos. A estadia de inverno com lareira acesa e ambiente propício, foi muito boa.
"
