,Avaliações
0,"Excelente para uns dias de descanso em família. Adorámos o espaço e as pessoas, que nos acolheram com grande simpatia e sempre disponíveis para ajudar! Até a Bolota e a Giesta contribuiram para tornar a nossa estadia mais especial 😊
"
1,"Staff muito simpático e sempre preocupado com o nosso bem estar, para quem aprecia um sitio sossegado é o lugar ideal, boas acomodações na casa onde tivemos, pequeno almoço muito bom e variado. A única observação menos positiva foi a questão da agua quente, que tendo em conta que a casa onde ficamos  tinha termoacumulador não conseguimos tomar banho os 3 seguidos.
"
2,"O Monte do Giestal é o sítio perfeito para ir com crianças. Fácil de chegar (1h30 de Lisboa), casas com cozinha, possibilidade de encomendar refeições prontas nos quartos (almoço e jantar), parque infantil, trilhos para fazer com as crianças, animais  na quinta, piscina aquecida. Boa relação qualidade-preço. Além de todas as comodidades, todos os funcionários são super disponíveis e de uma simpatia extrema. Recomendo fortemente.
"
3,"Vivamente recomendado. Todos muito simpaticos e atenciosos. Pequeno almoço muito bom. A casa muito acolhedora. Optimo Spa. Daria 6 estrelas se fosse possível.  Muito obrigado a todos Rui, Catia e as Marias
"
4,"Espaço super agradável, ideal para uns dias de puro relaxamento e/ou convívio entre amigos e família. Funcionárias super atenciosas e preocupadas. Infelizmente o spa estava em manutenção devido ao tempo de encerramento motivado pela pandemia covid-19. Faltou apenas isso para ser uma experiência 5estrelas.   Mas sem dúvida que é para repetir!!
"
5,"Fiquei 2 noites no Monte, na Casa da Azinheira e só tenho pena que tenha passado tão rápido. Um espaço super acolhedor e bem equipado, pequeno almoço ainda em buffet assistido muito saboroso com produtos de qualidade e sempre com um bolinho caseiro à nossa espera. Encomendamos os jantares num restaurante sugerido (por opção, pois a casa está bem equipada para quem quiser cozinhar) pela menina da receção e não podíamos estar mais satisfeitos quer com a qualidade quer com os valores. Em ambos os dias foi-nos entregue em casa à hora combinada. Tivemos muita sorte com o tempo o que nos permitiu ainda usufruir do espaço exterior e piscina. Spa pequenino mas bem cuidado e muito acolhedor.  Recomendo sem dúvida.
"
6,"Se procura lugar perto de tudo onde pode descansar, o Monte do Giestal é o sítio ideal... Acrescentamos um atendimento 5 estrelas e estamos no sítio perfeito. Ao final do dia, o por do sol é lindo... Esperamos poder voltar!
"
7,"Uma óptima opção para uns dias de descanso em família, adequado para ir com crianças. Gostamos muito do pequeno almoço, simples mas de qualidade, e apreciamos a opção de podermos encomendar as refeições. O staff muito prestável e profissional.
"
8,"Equipa incrível, simpatia e serviço 5 estrelas. Serviços ótimos de refeições em casa, um jantar divinal e o pequeno almoço na cesta a lembrar um piquenique. Herdade com uma localização excelente a proporcionar o silêncio necessário para fazer uma pausa da correria do dia-a-dia.
"
9,"Adorámos e certamente vamos regressar! As instalações são excelentes, o Monte é lindo e todos os funcionários são sempre super prestáveis e simpáticos! Uma excelente escolha para relaxar e repôr energias! Com crianças, como foi o nosso caso, a proximidade com os animais ainda melhora mais a experiência!
"
