,Avaliações
0,"O hotel tem um preço bastante agradável e as instalações têm aspeto de terem sido renovadas há relativamente pouco tempo... Contudo (e sim, vêm os pontos negativos): - isolamento acustico dos quartos é para esquecer! ouve-se o barulho todo da rua... - o pequeno almoço: completamente para esquecer! Não havia pão suficiente para toda a gente... a oferta disponível é fraquissima... enfim... se reservarem neste hotel escusam de escolher estadia com pequeno almoço! não vale mesmo a pena...
"
1,"Bom hotel, bem localizado, renovado e bem decorado, quartos razoaveis. Limpeza exelente. Não tem piscina, é mesmo o que falta. O pequeno almoço fraquito. Preços acessiveis. Estacionamento em parque ou nas redondezas. Simpatia dos funcionarios.
"
2,"Quando se está em Beja uma ótima opção para sair da mesmice no período noturno é o bar desse hotel ...é um excelente local para tomar um panaché ou um café com amigos, os funcionários são formidáveis e o espaço bem agradável com mesa de sinuca para os amantes do jogo. Vale a pena conferir o espaço mesmo quem não deseja se hospedar no hotel. 😊
"
3,"Os quartos esteticamente são engraçados, mas se contam com descanso... neste hotel não o vão encontrar... O isolamento térmico e acústico do quarto para o exterior é praticamente inexistente... Quarto frio - o ar condicionado com dificuldades em manter o quarto minimamente confortável... Dentro do quarto, parecia a estrada... ouvem-se os carros a passar independentemente de que lado se fique (eu sei pois troquei de quarto) O pequeno almoço extremamente fraco. pouca variedade e bebidas quentes tiradas de uma máquina. Valeu a simpatia do recepcionista   Acho que como hotel tem potencial, mas tem de investir no isolamento térmico e acústico dos quartos e, num pequeno almoço aceitável
"
4,"Funcionários sempre disponíveis. Muito boas condições de higiene e sustentabilidade ambiental. Localizado em via de fácil acesso aos diversos destinos atrativos que Beja tem para oferecer. Pequeno Almoço agradável.
"
5,"Gostei bastante, ficou bastante melhor depois desta última renovação, ficou com mais acolhedor. Continua muito limpo e com o pessoal muito profissional e bastante simpático.Tem um bar muito acolhedor onde podemos desfrutar de uma bebida e de dois dedos de conversa, A verdadeira simpatia alentejana.
"
6,"Hotel remodelado recentemente (no mínimo, os quartos da frente), quartos com AC silencioso e WC espaçoso, bom pequeno-almoço, staff atencioso e óptimo bar. Lamento apenas o WC exageradamente quente...
"
7,"hotel com imagem renovada por dentro, apesar de estar a necessitar de pintura por fora (mas está a decorrer). Muito limpo, pequeno almoço com variedade. Excelente relação qualidade/preço. Recomendo mesmo.
"
8,"Bem localizado e atendimento razoavelmente simpático. a limpeza deixou a desejar, pois ainda tinha um copo de plástico usado debaixo das camas...  O quadro eléctrico faz muito barulho, o que é incomodativo durante a noite. O isolamento sonoro no quarto é fraco, deixando passar todo o ruído do exterior. Pequeno almoço agradável. Pouco estacionamento no exterior.
"
9,"Um bom hotel de 3 estrelas na cidade de Beja. O pequeno almoço não tem muita variedade mas não nos podemos esquecer que é um hotel de 3 estrelas.No entanto, o colchão da cama extra tem falta de ser mudado, pois tem as molas já estragadas.
"
