sentiment,review
positive,Dos melhores restaurantes a que ja fui! Comida otima e atendimento melhor ainda. E raro encontrar restaurantes com um ambiente e um atendimento tao bom.
positive,"Da vinda do Algarve foi preciso fazer uma pequena pausa para almocar antes de se seguir caminho para Evora. Fomos super bem atendidos pelos empregados que eram muito amaveis e prestaveis, que quando por engano nosso ainda nos deixaram trocar um pedido. As instalacoes para alem de serem bonitas tambem estou muito bem higienizadas. As mesas e as cadeiras sao higienizadas logo apos a utilizacao para evitar contagios da COVID. Muito obrigada pela atencao por parte de toda a equipa e continuacao de um excelente trabalho."
positive,"Hamburgueres muito bem confecionados, com sabor, substancia, carne legitima, uma experiencia nada a ver com cadeias de fast food, com muito mais qualidade e a um preco quase identico. Casa agradavel e equipa muito simpatica. Uma experiencia a repetir!"
positive,"Comida razoavel,  carne seca e molho de francesinha com cheiro de knorr. Atendimento pessimo,  neste caso em particular falo da senhora de oculos loira que nao responde a perguntas feitas por clientes e com atitude de superioridade para com os clientes. No final da refeicao foi pedido factura ao qual respondemos obrigada , como desde do inicio da refeicao sem resposta , atirou a mesma para cima da mesa e virou costas e com o tom arrogante disse 'adeus obrigada '. Nao aconselho a visitarem o restaurante,  pecam take away ou delivery, porque em termos de atendimento faz sentir que nao somos bem vindos. Os empregados nao estao identificados pelo qual nao posso dizer o nome da pessoa em questao Variedade e excelentes sabores. Ambiente espacoso e muito agradavel. De comer e chorar por mais.. De todos os locais onde ja fui jantar fora, este e de todos o meu favorito. Boa relacao preco qualidade, e a comida tem um sabor incrivel! Adorei"
positive,Restaurante onde queremos sempre voltar !! A qualidade e elevada e o servico eficiente e simpatico. Muito boa oferta de sumos naturais. Parabens e continuacao de bom trabalho.
positive,Muito bem servidos. Comida saborosa e muito bem confeccionada. Sem duvida uma experiencia muito boa. Recomendo.
negative,"O servico e rapido e a maioria dos ingredientes tem qualidade. No entanto, nao gostei da carne de vaca. Acho que o excelente bolo do caco e os restantes ingredientes, mereciam ser servidos com uma carne a altura. O restaurante podia ter um pouco mais de ambiente. Quanto ao preco, nota positiva."
positive,Tudo muito bom A decoracao simples mas atractiva Em destaque os hamburgueres (pedimos o bolo do caco e o de porco preto mas trocamos a carne de porco por frango) e os sumos naturais (o sumo de espinafres com maca e ananas era top) Iremos voltar com certeza
positive,Frequento com regularidade este local desde a sua abertura. Muito bom servico e excelente comida. Adoro e recomendo.
positive,"Atendimento pessimo! Super mal educadas... enquanto os clientes fazem o pedido estas encostam-se a mesa do lado como se tivessem contrariadas, tiram produtos especialmente molhos da mesa de uns clientes para os outros a descarada. Terrivel no entanto a comida e razoavel."
positive,"Nos meus 47 anos de vida so tinha enviado o meu prato para tras 1 vez, no estrangeiro,  por causa dum cabelo, ha 10 anos atras e note-se vou a restaurantes todas as semanas. Hoje fui a esta hamburgueria e so nao enviei o meu Uma desilusao. Dia 31, com a Hamburgueria completamente cheia, a senhora disse-me, depois de ter iniciado o seu almoco, que o hamburguer estava 'cor de rosa', medio passado. Disse-me que gostava de carne mal passada mas, no que respeita a carne moida, preferia bem passado. Visita rapida a Beja, quando foi altura de almocar escolhemos a hamburgueria da avenida. Atendimento muito simpatico. Espaco muito acolhedor e bem decorado. Comida boa e com muita variedade de escolha. Atendimento rapido. Boa escolha"
positive,"Sala cuidada, bom ambiente, staff atento, hamburguer artesal e muito saboroso, nao podia ter corrido melhor."
positive,"Vale a pena visitar este espaco. Profissionalismo aliado a produtos de qualidade e ainda com uma atencao ao detalhe e bom gosto assinalavel. Os proprietarios atras do balcao a comandar e bem a equipa e o servico rapido eficaz e profissional. A comida de qualidade Os hamburgueres sao muito bons, com muita variedade de ingredientes e com aquele sabor caseiro. Recomendo as batatas doce fritas."
positive,"Bom hamburguer e bom bolo do caco para entrada, rapidez e simpatia no atendimento. A unica coisa que nao estava muito bom era a limonada, nao sei o que estava mal ao certo mas a limonada nao sabia. Espaco bastante acolhedor e com uma boa Servico rapido num espaco agradavel. A carne era boa e bem confecionada. As batatas fritas nao sao o que eu considero  como batatas fritas tradicionais e nao gostei."
positive,"Hamburgueria situada no centro de Beja. Decoracao simples, moderna vem trazer um outro nivel ao que estamos habituados a ver em muitas outras hamburguerias algo que hoje em dia esta na moda. Casa com uma grande variedade de hamburguers desde vegetarianos a passar por algo Comida razoavel, espaco entre mesas muito apertado, sem um minimo de privacidade. Preco elevado para comida apresentada. Empregados e gerencia sem simpatia nenhuma."
positive,"Espaco engracado, mas a imitar as N hamburguerias e outras 'ias' que vao surgindo por todo o lado, com o tipico quadro negro com ementa a giz. O hamburguer de frango com molho de mostarda e mel estava comestivel. As batatas as rodelas nem tanto, Excelente hamburgueria no centro de Beja. Uma decoracao moderna e estilo acolhedor. Pela primeira vez numa hamburgueria, encontrei duas opcoes vegetarianas: batata doce e grao. Optei pela de grao e estava muito saboroso. Adorei! Para alem disso, sublinho a atenciosidade dos funcionarios, extremamente preocupados connosco Consiste num local agradavel como opcao para tomar uma refeicao nesta localidade. O local apresenta uma decoracao moderna e leve, com opcoes artsanais de qualidade e um servico adequado."
positive,"Boa comida, bons hamburgueres caseiros. Entrada saudavel neste caso palitos de cenoura. O meu hamburguer veio com molho tikka masala, mas pedi em pao bolo do caco, pedido possivel visto na carta haver essa opcao, tal como o tipo de batata. O hamburguer da minha Ambiente e decoracao muito agradavel, atendimento simpatico e comida muito boa. Recomendo a qualquer um."
positive,"Lugar girissimo, com uma decoracao muito agradavel, empregada muito simpatico, hamburgueres excelentes com umas batatas fantasticas, precos muito acessiveis"
positive,"Pessoal simpatico, comida variada e saborosa. Servico rapido. Boa localizacao. Estacionamento perto."
positive,"Espaco giro e moderno.  Arendimento rapido.  Desaconselho o hamburguer vegetariano de grao: sem sabor, desfaz-se todo."
positive,"Bons hamburgueres e boas batatas. Atendimento muito rapido. Staff muito simpatico e prestavel. Espaco acolhedor, agradavel e com decoracao moderna."
positive,"Bom servico, boa a refeicao. Ambiente agradavel. Bom para grupos. Acesso facil. Precos acessiveis. A repetir."
positive,"Hamburgueria muito simpatica, jovem limpa e com boa decoracao. A comida e de qualidade e as sobremesas sao muito boas. Parabens a equipa que tambem e bastante simpatica"
positive,"Almoco de amigas mas nao sabiamos ao certo onde. A minha amiga disse que eu precisava experimentar estes hamburgueres, no inicio confesso que estava com receio da carne ser seca ou algo parecido... A verdade e que foi tudo perfeito o servico rapido e simpatico, Positivo: Espaco bem decorado e confortavel. Atendimento muito simpatico, atencioso e extremamente rapido. O menu de hamburgueres sofreu uma melhoria bastante positiva, uma vez que tinha la ido pouco depois da inauguracao e nao ter gostado. Hoje esta bastante melhor. Negativo: Nada a registar."
positive,"Espaco moderno e acolhedor. Ementa variada, para todos os gostos.. Os Hamburgueres fantasticos. Servico de pedido para fora eficiente!"
negative,"local muito agradavel, espaco divertido, os hamburguer de muito qualidade  e excelencia, hamburgueres  diferente e muito saborosos."
