sentiment,review
negative,"Decoração bonita, senhora da receção foi extremamente simpática e solicita."
positive,localização
positive,Nada a apontar
positive,Ambiente muito agradável e acolhedor
positive,Da simpatia das funcionárias.
negative,Um pouco de barulho durante a noite.
positive,"Localização, pequeno almoço e preço qualidade."
positive,Muito bom. Das melhores Guest House em que fiquei. Excelente relação preço-qualidade. Bom pequeno almoço (incluído no preço). Muita simpatia das recepcionistas.
positive,"Funcionários muito simpáticos, quartos bem decorados e bastante acolhedores."
positive,"Atendimento nota 10. Quarto espaçoso, moderno, temático e novo. Bom café da manhã."
negative,Escadas um pouco íngremes e roupa da cama muito quentes sem possibilidade de retirar camadas.
positive,Simpatia e atenção
positive,Necessita melhorar o conforto dos colchões das camas.
negative,Pequeno almoço agradável com a quantidade e diversidade de produtos adequada.
positive,Esqueceram-se de nos informar que tínhamos que ir buscar o pequeno almoço à salinha do lado.
positive,De uma forma geral nota 10. Pequeno almoço muitíssimo bom!!!! Muita variedade de tudo. Recomenda-se vivamente.
positive,Todo
positive,Tudo estava perfeito!
positive,Por vezes vinha mau cheiro das canalizações da casa de banho.
positive,A localização e a simpatia dos funcionários. Pequeno almoço apesar de pouca variedade tem muita qualidade.
positive,De subir uma escadaria.. Mas culpa minha por ser gorda 
positive,"Tudo!! bom espaço, bem localizado, bonita decoração (acolhedora) , quarto espaçoso, pequeno almoço variado e mto bom e staff 20* para recomendar e voltar quando for necessário"
positive,A falta de parqueamento para o automóvel e as escadas de acesso aos quartos: degraus pequenos e muito íngremes.
positive,"A localização é muito boa, no centro de Beja, perto de tudo. As funcionárias foram muito prestáveis. O quarto é muito agradável. Boa relação qualidade-preço."
positive,"Foi maravilhoso, desde a simpatia dos funcionários até ao quarto decorado ao detalhe, e o pequeno almoço simplesmente divinal!! Obrigada por toda a atenção e desejamos todo o sucesso sempre."
positive,"O acesso ao 1o andar coloca algumas dificuldades a pessoas com problemas de mobilidade, tendo sido assinalada esta questão com elementos da Guest House."
positive,"É um espaço inovador em termos de conceito e de decoração, estando de parabéns neste aspeto, sendo os quartos muito agradáveis. A localização é muito boa e central. O pequeno almoço tem muito boa qualidade  e variedade."
positive,estacionamento
positive,cama
positive,"O ambientador foi péssimo e deve ser tóxico. Por favor tirem isso dos quartos, o cheiro é fortíssimo. As escadas para os quartos são bastante íngremes"
negative,Quarto pequeno simpático no centro de Beja. O staff é atencioso.
positive,O pequeno almoço era variado.
negative,nada
negative,pequeno almoço e quarto
positive,Das escadas lol
positive,Pequeno almoço com pouca variedade
negative,Simpatia dos funcionários ; localização
