sentiment,review
negative,"Bom pequeno almoço, funcionários simpáticos."
positive,Não ter estacionamento
positive,Da zona histórica onde está inserido
positive,Limpeza e localização.
positive,Quarto muito pequeno e a precisar de reparações e melhoramentos. Pequeno almoço muito básico.
positive,Pequeno almoço fraco
positive,Boa localização
positive,Excelente relação qualidade preço. Localização ótima
positive,"Um bom pequeno almoço, de escolha variada e boa qualidade dos produtos."
negative,Desrespeito de hóspedes pelas regras sanitárias
positive,Acolhimento e quarto
negative,"Tudo excelente,  o único handicap é encontrar estacionamento nas imediações do hotel"
negative,Ar condicionado de alguns quartos bastante fraco. Insuficiente para satisfazer a necessidade devido ao calor que se faz sentir no Alentejo
negative,"Funcionários simpáticos e atenciosos. Ótima localização , pequeno almoço bom , quartos limpos com boas áreas"
negative,"Não ter varanda, e o pequeno almoço um pouco confuso"
negative,"Localização, simpatia, a limpeza dos quartos e a disponibilidade para os hóspedes."
positive,Funcionários muitos simpáticos e prestativos. A higiene muito boa
negative,Não há estacionamento no hotel
positive,Simpatia de todos os funcionários
positive,Debaixo da cama muita sujidade.
negative,"Tudo, menos limpeza"
positive,Almofadas um pouco baixas
positive,"Simpatia e disponibilidade dos funcionários. Localização, TV, Ar condicionado"
positive,Não tem estacionamento.
negative,Do que vi gostei do resto sala de descanso e refeitório
negative,Essencialmente a limpeza
positive,A cama era confortável e o pequeno almoço foi excelente.
positive,"Nada a apontar, havia um comício político à porta, mas terá sido pontual, pelo que nada a referir"
positive,"Bom pequeno almoço, boa localização, simpatia e bom conhecimento local na receção. Uma buganvília linda na entrada"
positive,pequeno almoço com pouca variedade. Sala muito pequena principalmente em tempos de pandemia.
positive,Boa localização e simpatia dos funcionários principalmente da funcionária Patrícia.
positive,O espaço entre o lavatório e a sanita era muito pequeno.
negative,"Embora o quarto não fosse muito grande, a cama era enorme e confortável. A limpeza era impecável e os funcionários muito simpáticos e prestáveis."
negative,"localização optima, funcionários excelentes, limpo, agradável."
positive,"Infelizmente o estacionamento é difícil no centro de Beja, mas consegui lugar perto do largo da igreja."
positive,"O espaço é acolhedor, e os funcionários foram impecáveis comigo. Gostei muito do hotel. Já estive la no passado e espero voltar no futuro."
positive,Nada a assinalar
negative,"Localização, limpeza, o berço já se encontrava no quarto."
positive,"Localização  boa , pq almoço  muito bom"
