sentiment,review
positive,Muito fraco
positive,"Tem tudo para ser um local de excelencia, contudo encontra se muito degradado apesar de estarem a ser feitas supostas obras no local. Da maneira como estao, rapidamente se estragarao. Os mosaicos nao  estao protegidos nem identificados (tiraram o caminho por causa das ditas obras) , sendo muito facil alguem os pisar sem dar conta que o esta a fazer. Chao bastante acidentado, tendo presenciado a queda de uma pessoa."
positive,Sao pagos 3 euros a entrada no qual nao nos dao um bilhete bem como um comprovativo de pagamento para efeitos de faturacao.
positive,As letras dos mapas estao sumidas o que nao permite uma leitura do que estamos a ver.
positive,Garantidamente e um local que precisa de uma rapida acao de remodelacao. Tem tudo para ser espetacular!
positive,Fechado
positive,Estivemos la hoje e apesar de termos confirmado se estaria aberto chegamos la e o portao estava fechado.
positive,Boa visita
positive,Visita muito interessante. O local merecia uma melhor sinalizacao e melhores acessos. Ficamos a saber que passara por um restauro em breve e voltaremos apos a mesma
positive,Tesouro esquecido
positive,Estas ruinas romanas precisavam de uma grande intervencao urgente. Estao ao abandono e a sua preservacao e documentacao sao inexistentes. Tem tudo para uma boa atraccao turistica. Mais patrimonio esquecido. Excelente para fotografar
positive,UM REGRESSO AO PASSADO LONGINQUO
positive,"19/10/2019.A D. Conceicao ,Senhora  que informalmente da explicacoes sobre as ruinas, e de uma disponibilidade total e conhecedora da historia destas ruinas.Aguarda-se que a Universidade de Evora, proprietaria da herdade onde se encontram as ruinas, contiunue o processo de recuperacao"
positive,A visitar!
positive,Umas termas romanas com um hipocausto em excelentes condicoes!
negative,Alguns mosaicos limpos dao a ideia da cor original.
positive,"A D. Conceicao, que nos recebe e guia com gosto, e uma excelente anfitria."
positive,"E importante conhecer o nosso patrimonio, para o podermos valorizar."
positive,"Nao e muito facil descobrir o caminho, mas vale a pena!"
positive,Uma perola a precisar de ser preservada
positive,"Estas ruinas de uma casa romana precisavam de uma grande intervencao de musealizacao. Estao a ceu aberto, sem proteccao alguma das intemperies. Deveriam ser construidos passadicos por cima das mesmas, a exemplo do que foi feito em Conimbriga. O acesso as ruinas e facultado pelos bons servicos de uma senhora que mora perto do local e que desse trabalho a unica retribuicao que tem e o obrigado dos visitantes. Assim vai o patrimonio deste pais..."
positive,Merecia outro tipo de tratamento...
negative,"Lamentavel que as entidades e instituicoes deste pais nao tenham sido capazes de, passados 50 anos das escavacoes, proporcionar condicoes dignas ao local, nao so para a sua preservacao (basta visitar a Casa del Mitreo em Merida para se ver a diferenca abissal) mas tambem para dar condicoes a quem pretende visitar o local."
positive,"Faltam acessibilidades, faltam funcionarios, falta quase tudo."
negative,"Apesar do horario de funcionamento a entrada no espaco esta dependente da presenca da sra que vive nas imediacoes do local e que zela pelo espaco, mesmo nao sendo funcionaria da Universidade de Evora, proprietaria da herdade."
