sentiment,review
positive,"A localização é excelente assim como as condições do espaço. Local muito bem cuidado e apelativo. Fomos muito bem recebidos. A casa estava muito bem equipada. Muito obrigada, Catarina."
positive,Nada digno de registo.
positive,"A simpatia da Sra Catarina foi fantástica. A casa e as acomodações corresponderam às expetivas e relação qualidade preço é perfeita. A localização é óptima, apesar de algum barulho das viaturas que passam junto às janelas dos quartos. Beja é uma cidade fantástica e voltaremos concerteza. Recomendo."
positive,"Localização excelente, apartamento espaçoso, e totalmente equipado. O facto de ser uma construção antiga, cria um ambiente muito peculiar, além de que a expessura das paredes ajuda na questão da temperatura (estivémos no verão, portanto a casa não era quente apesar dos 30 e tal graus na rua). O resultado global é um apartamento acolhedor em plena zona histórica da cidade, a 100m do castelo e 150m da Praça da Republica."
negative,A localização é impecável mesmo no centro histórico de Beja. Casa Limpa e organizada. Dona super prestável e e simpática.
positive,De noite ouve-se o barulho da rua com muita facilidade.
positive,A casa está muito perto do castelo e está muito bem decorada e limpa. Muito agradável!
positive,O dono não tem culpa mas a zona não é muito bem frequentada à noite
positive,A casa é muito gira e funcional!
positive,Casa muito agradável e bem situada.  Os anfitriões são simpáticos e disponíveis. Cozinha muito bem equipada e casa de banho excelente.
positive,"Da localização, da relação preço/qualidade que entendo adequada."
negative,Localização no centro histórico tem vantagens (centralidade) e desvantagens (dificuldades de estacionamento).
positive,"Localização, decoração, conforto, organização do espaço e o gosto cuidado na decoração."
positive,Não tinha microondas.
positive,"Localização, estacionamento perto, a decoração do alojamento, ter máquina de lavar roupa deu muito geito."
positive,"Sendo um rés do chão, virado para duas ruas públicas isso condiciona a entrada de luz e de ventilação em casa pela noção de segurança; Existem algumas infiltrações junto ao pavimento nalgumas divisões, fruto da data de construção e ser uma casa térrea; Haver imenso equipamento de cozinha, de limpeza, de menage, mas não haver uma pastilha para a máquina de lavar roupa (mero detalhe)."
positive,"A casa em si é antiga e possui algumas divisões de formatos, alturas, níveis de pavimento e arcadas distintas, o que lhe dão um ar muito original; Está bem conservada/renovada, com uma cozinha bastante equipada (incluindo lavagem e limpeza), onde é possível de confeccionar, conservar e lavar. A localização na zona histórica de Beja, no meio do casario."
positive,Poderia ter um microondas.
positive,"Muito bem localizado, anfitriões muito simpáticos. Muito interessante a manutenção de casa típica alentejana. Gostamos todos muito"
positive,Gostei de tudo. Não tenho do q reclamar.
positive,"O apartamento é uma graça. Super completo, amplo, decorado com muito bom gosto e jovial! Adorei!!!!!"
positive,Serviço conforto e localização.
negative,A limpeza poderia ser mais cuidada. Não dar para ligar a chaleira eléctrica porque o quadro não aguentava. O fogão estar rachado não ofereceu muita confiança para cozinhar.
positive,"Da receção, da decoração, da temperatura da casa, o ser uma casa acolhedora situada no coração do centro histórico."
negative,Falta de microondas. A limpeza poderia ser mais aperfeiçoada.
positive,"Casa bem situada, com o essencial para disfrutar de um fim de semana"
positive,Não ter sido disponibilizado contacto do proprietário após o pagamento!
positive,Nada a assinalar.
positive,"De tudo. Um lugar ótimo para uma família passar uns dias, a casa está bem situada e as pessoas muito simpáticas. Um lugar a repetir."
