,Avaliações
0,"Arte moderna
"
1,"Museu com impacto na cidade, não só pelas peças que tem em exposição e pelas várias peças em exposição temporárias mas pelo contraste do moderno com o antigo
"
2,"Surreal
"
3,"Um espaço a visitar um espaço onde o surreal se apodera de nós e nos leva num passeio mágico. VGolto lá sempre que posso.
"
4,"Peças muito interessantes
"
5,"Espaço pequeno mas muito bem organizado.
"
6,"
"
7,"Peças muito interessantes.
"
8,"Atendimento simpático. 
"
9,"A visitar.
"
10,"Pequeno, mas grande em valor!
"
11,"Espaço no centro da cidade, de pequena dimensão, mas de grande valor artístico e cultural, pelas obras expostas do escultor Jorge Vieira!
"
12,"Jorge Vieira
"
13,"Um museu pequeno mas cheio de história.
"
14,"Para quem quiser conhecer mais um pouco de Jorge Vieira e o porquê de um museu seu na cidade de Beja, é o local ideal!!!
"
15,"Espaço de referência
"
16,"De entrada gratuita, o Museu Jorge Vieira apresenta algumas peças do próprio Jorge Vieira - um dos maiores nomes da escultura portuguesa - em duas pequenas salas no segundo andar da Casa das Artes.
"
17,"A visitar
"
18,"O ambiente é agradável
"
19,"Talvez não seja protraio numa visita breve a Beja
"
20,"Depende das exposições que se efectuam
"
21,"Surpreendente
"
22,"Aqui pode-se apreciar a obra do artista plástico fabuloso que foi Jorge Vieira. Para além desta coleção costuma haver exposições temporárias de outros artistas, o que dinamiza a parte cultural da cidade. Tem entrada gratuita.
"
23,"Importante papel de dinamização cultural na cidade
"
24,"Excelente
"
25,"Este charmoso museu é bem pequeno, mas interessante, dedicado à obra do famoso escultor português, Jorge Vieira. A entrada é grátis!
"
26,"Para apreciadores de arte
"
27,"Para quem gosta de arte não deve perder. Situa-se na zona velha da cidade entre o museu e a praça da republica. Possui obras lindíssimas e o próprio edifício é uma obra de arte por dentro.
"
28,"Antigamente funcionava também como bar/disco, e estava sempre cheio, foi uma pena ter acabado.
"
29,"Uma pequena jóia, escondida nas ruas secundárias.
"
30,"Isso foi um pouco confuso para encontrar, mas ficamos contentes que perseveramos.
"
31,"As boas-vindas à chegada foram genuinamente entusiasmadas, como se agradecidas pelo nosso interesse. A senhora encantadora na área de recepção nos deu mapas e folhetos para ajudar nossa visita, então nos falou o Museu Jorge Vieira estava livre.
"
32,"Lá em cima fomos para duas pequenas salas que abrigavam toda a coleção. E que coleção, talvez vinte peças, cada uma valendo inspeção? Nós amamos e, dependendo do gosto, você pode não, mas verifique-se. Um grande artista que abrange o final do século 20 até o início da rua 21.
"
