,Avaliações
0,"Muito fraco 
"
1,"Tem tudo para ser um local de excelência, contudo encontra se muito degradado apesar de estarem a ser feitas supostas obras no local. Da maneira como estão, rapidamente se estragarão. Os mosaicos não  estão protegidos nem identificados (tiraram o caminho por causa das ditas obras) , sendo muito fácil alguém os pisar sem dar conta que o está a fazer. Chão bastante acidentado, tendo presenciado a queda de uma pessoa.
"
2,"
"
3,"São pagos 3 euros à entrada no qual não nos dão um bilhete bem como um comprovativo de pagamento para efeitos de faturação.
"
4,"As letras dos mapas estão sumidas o que não permite uma leitura do que estamos a ver.
"
5,"Garantidamente é um local que precisa de uma rápida ação de remodelação. Tem tudo para ser espetacular! 
"
6,"Fechado
"
7,"Estivemos lá hoje e apesar de termos confirmado se estaria aberto chegámos lá e o portão estava fechado.
"
8,"Boa visita
"
9,"Visita muito interessante. O local merecia uma melhor sinalização e melhores acessos. Ficamos a saber que passará por um restauro em breve e voltaremos após a mesma
"
10,"Tesouro esquecido
"
11,"Estas ruínas romanas precisavam de uma grande intervenção urgente. Estão ao abandono e a sua preservação e documentação são inexistentes. Tem tudo para uma boa atracção turística. Mais património esquecido. Excelente para fotografar
"
12,"UM REGRESSO AO PASSADO LONGÍNQUO
"
13,"19/10/2019.A D. Conceição ,Senhora  que informalmente dá explicações sobre as ruínas, é de uma disponibilidade total e conhecedora da história destas ruínas.Aguarda-se que a Universidade de Évora, proprietária da herdade onde se encontram as ruínas, contiunue o processo de recuperação
"
14,"A visitar!
"
15,"Umas termas romanas com um hipocausto em excelentes condições! 
"
16,"Alguns mosaicos limpos dão a ideia da cor original.
"
17,"A D. Conceição, que nos recebe e guia com gosto, é uma excelente anfitriã.
"
18,"É importante conhecer o nosso património, para o podermos valorizar.
"
19,"Não é muito fácil descobrir o caminho, mas vale a pena!
"
20,"Uma pérola a precisar de ser preservada
"
21,"Estas ruínas de uma casa romana precisavam de uma grande intervenção de musealização. Estão a céu aberto, sem protecção alguma das intempéries. Deveriam ser construídos passadiços por cima das mesmas, a exemplo do que foi feito em Conímbriga. O acesso às ruínas é facultado pelos bons serviços de uma senhora que mora perto do local e que desse trabalho a única retribuição que tem é o obrigado dos visitantes. Assim vai o património deste país...
"
22,"Merecia outro tipo de tratamento...
"
23,"Lamentável que as entidades e instituições deste país não tenham sido capazes de, passados 50 anos das escavações, proporcionar condições dignas ao local, não só para a sua preservação (basta visitar a Casa del Mitreo em Mérida para se ver a diferença abissal) mas também para dar condições a quem pretende visitar o local.
"
24,"Faltam acessibilidades, faltam funcionários, falta quase tudo. 
"
25,"Apesar do horário de funcionamento a entrada no espaço está dependente da presença da sra que vive nas imediações do local e que zela pelo espaço, mesmo não sendo funcionária da Universidade de Évora, proprietária da herdade. 
"
26,"Pisões merecia mais. Quiçá se estivesse mais perto de Lisboa ou do Porto e o tratamento seria outro. Fica a provocação...
"
27,"Visita em Férias
"
28,"Acesso em terra batida,...mas vale apenas para amantes de historia e património, um pouco ao abandono o espaço em geral,, mas o mosaico está top vale a viagem.
"
29,"Muito bem conservado
"
30,"Péssimo acesso se seguirem pelo indicado nas placas. Acesso de alcatrão embora estreito se forem por Santa Vitória.
"
31,"Chegados lá nem se dá pelo sítio senão estiverem com atenção.
"
32,"No entanto vale muito a pena!
"
33,"Ruínas bem conservadas e generosamente protegidas pela natureza.
"
34,"Tem um centro interpretativo que conta com a disponibilidade da senhora que mora na casa ao lado para abrir o local e dar as explicações e servir de guia.
"
35,"Muito simpática e disponível. 5 estrelas.
"
36,"Viagem Portugal 
"
37,"Muitas Avaliações indicam como Ruim ou Péssimo, e acho que não levam em consideração o fato de tratar-se de um Sítio Arqueológico, o que portanto, é aconselhável para quem curte e aprecia essa parte Histórica de um roteiro turístico. Mas bao vá acreditando que irá encontrar ruinas preservadas em áreas como as que se vê em outros locais (Itália e etc & tals), não aqui estão algumas bastante antigas mas preservadas em suas características e condições originais, e entendi que isso é o ""belo"". A Sra Conceição (zeladora do sítio), gentilmente nos atendeu e nos apresentou o lugar, com uma belíssima aula de História. De novo eu digo que vale a pena se você está saindo de Évora em direção à Região de Lagos, e mais ainda se já parou no Castelo de Beja, pois é muito próximo. A estradinha não é nada de mais, e dá pra ir xom segurança e sem susto mesmo com carro baixo e simples.
"
38,"Informem-se no gabinete do Turismo antes de ir, para não apanharem um banho de pó.
"
39,"Importante
"
40,"Não consegui visitar. Pelo que fui informada, este importante núcleo está ""aos caídos"". É absolutamente escandaloso que o Estado não cuide do seu património. O pouco que vi foi mesmo no Museu.
"
41,"Ao Abandono
"
42,"Praticamente ao abandono, sem condições para a visita, É urgente que se criem condições para que não se perca este importante patimónio.
"
43,"É um local histórico!
"
44,"As Ruínas de Pizões são duma Arqueologia soberba. Para as visitar tem que se ir com tempo, pois têm muito que ver!
"
45,"Fechado. Sem sinalização como deve de ser !!
"
46,"Péssimo, uma vergonha, anda-se kms e e chega-se ao local encontra-se fechado!!!
"
47,"Gostaria que houvesse sinalização  e informação adequada.
"
48,"Muito bom.Bem conservado.
"
49,"Patrimonio muito bem conservado.Extenso e representativo da construção para a nobreza romana .Além disso o entorno´é magnífico,sobretudo na primavera ou outono.
"
50,"Ruínas Romanas
"
51,"Para quem aprecia história e arqueologia as ruínas de Pisoes merecem sem dúvida uma visita.
"
52,"Não são espectaculares talvez pelo aspecto abandonado das mesmas e da falta de informação mas assim mesmo merece a pena.
"
53,"SOS
"
54,"Ruínas fabulosas pela estrutura que têm  mas praticamente abandonadas por quem de direito deveria levar a cultura do país a sério!
"
55,"Para todos os gostam de história, estas ruínas são um fantástico vestígio arqueológico da passagem dos Romanos pela Península Ibérica, nos tempos áureos do seu grandioso Império. A não perder!
"
56,"Memórias
"
57,"Bem perto da cidade de Beja e da aldeia de Penedo Gordo estas ruínas ainda mostram bem a importància que os romanos tiveram na nossa civilização.Dá para observar a decoração dos pavimentos com os mosaicos usados naquela época.As termas e as piscinas dão-nos um entendimento como era a vida besta ""vila""...
"
58,"desilusão
"
59,"Foi com total desilusão e tristeza que depois de uma sérue de quilometros por terra batida em muito mau estado que nos deparamos com o portão fechado em horário que segundo o posto de turismo de Beja estaria aberto. Com aspeto do exterior de total abandono e pouco investimento no espaço. Avaliação negativa à gerencia. :(
"
60,"Visita pela história
"
61,"as ruínas de Pisões são das melhores ruínas romanas para visitar na região. Bem preservadas e no meio do campo. Há mosaicos, termas e várias divisões bem preservadas.
"
62,"Conhecer Portugal 
"
63,"Ruinas Bonitas que se enquadrao no trajeto feito em Beja e aredores interresante de preferencia ver antes quando sao os horarios. .
"
64,"Um monumento Romano ao total Abandono
"
65,"Tive o prazer de conhecer a habitante da casa de Pisões, a D. Conceição... Acontece que o espaço está fechado há mais de 4 anos e ao pedir-mos uma visita, esta foi-nos concedida e foi das melhores visitas que alguém poderia ter neste magnifico espaço.
"
66,"É um espaço que necessita de restaurado e dinamizado e voltar de imediato a ser reaberto ao público.
"
67,"Poderia ser excelente
"
68,"Excelente, a dimensão da Villa Romana ; a qualidade e quantidade de registos ; o sítio envolvente e acesso fácil.
"
69,"Muito lamentável, vergonhoso até, o modo como se trata o Património. Incalculável,o retorno que aquele enorme espaço daria, com uma projecção turística, adequada.
"
70,"Não tem absolutamente apoio nenhum ao visitante, na verdade estavam até, invisitáveis. A nossa visita dependeu da  ""guardiã"" que habita no próprio património. 
"
71,"Que pena  !!!
"
72,"Interessante
"
73,"Estas ruínas romanas, encontradas por acaso em 1967,  se localizam a 10 km da cidade de Beja e o acesso é apenas de carro. Dica: não abre de segunda-feira.
"
74,"Agosto 3 da tarde fechado
"
75,"Fiz uma série de km por estradas não pavimentadas para ver as ditas ruinas, por fim lá cheguei e claro em Agosto 3 da tarde e fechadas sem qualquer tipo de explicação adicional apenas. Estão temporáriamente fechadas.
"
76,"AS ruínas romanas um lugar cheio de história
"
77,"As ruínas romanas são um  lugar cheio de história de Portugal, as ruinas romanas são muito divertidas e históricas.
"
78,"Encerradas sem qualquer aviso
"
79,"Não faço ideia se estão bem ou mal conservadas e se são ou não interessantes porque estão encerradas.
"
80,"O aspeto do espaço junto ao portão de entrada é lastimável.
"
81,"Local abandonado sem que haja qualquer aviso de que se encontra encerrado!
"
82,"Apesar das placas indicativas na estrada N18, entre Santa Vitória e Beja ...
"
83,"história em estado puro!
"
84,"monumento abandonado
"
85,"Não tem informações nenhumas para visitantes e as condições de preservação são lastimáveis
"
86,"Perda de tempo
"
87,"O lugar está fechado e subsequentemente descobrimos que você só pode entrar se um dos fazendeiros locais vir você lá. Se for de Beja, NÃO siga os sinais de trânsito, a menos que tenha um veículo off-road genuíno.
"
88,"Grande Villa Romana
"
89,"As ruínas parcialmente escavadas de uma Villa Romana apenas a 10 km a sudoeste de Beja são bem vale uma visita. O Villa teve mais de 40 quartos. A estufa hypocaust e mosaicos são bem preservado. Verifique no Gabinete de Informação turística para verificar o horário.
"
90,"Atualmente fechado
"
91,"De fotos e material impresso espalhadas sobre outros sites em Beja, ficamos a ideia de que esse site pode, de facto, ser um óptimo lugar para se visitar. Neste momento eles estão fechados.
"
92,"Um excelente lugar na zona rural, uma caminhada agradável
"
93,"Ruínas, rochas, e em um lugar bonito. Não demasiado tempo e fácil de encontrar
"
