,Avaliações
0,"Surpresa maravilhosa : a Igreja e a guia
"
1,"Monumento de enorme valor artístico (talhas douradas, azulejos, pinturas).
"
2,"
"
3,"Surpreendente até pelo contraste da simplicidade exterior com a riqueza interior.
"
4,"Mas a visita não seria a mesma sem a valiosa viagem guiada pela Susana aos Prazeres e Mistérios de Maria. 
"
5,"Portanto, se passarem por Beja visitem esta preciosa obra de Arte... mas exijam a presença da Susana, sem a qual vão perder 90% da leitura e interpretação artística e esotérica.
"
6,"Sei quem vai dormir bem hoje... boa noite Susana !!!
"
7,"Marco episcopal da cidade
"
8,"Junto ao arco dos prazeres apresenta um magnífico altar, os frescos, pequena de dimensão mas grande na história que tem para contar.
"
9,"Surpreendente
"
10,"Mais uma vez se aplica: ""Quem vê caras não vê corações"".
"
11,"Está igreja é de uma beleza tal, que quem por Beja passar tem de a visitar obrigatoriamente. Efectivamente vista por fora não gera grandes expectativas, mas ao entrar é de facto difícil não se ficar de boca aberta. Deve-se também dar atenção à história e às histórias por que já passaram aquelas talhas douradas.
"
12,"Imperdível. 
"
13,"Frescos e azulejos magniíficos
"
14,"Visita muito interessante não só pelos frescos pintados e azulejos sobre Jesus Cristo mas pela história da sua edificação
"
15,"Muito simples por fora e riquíssima por dentro
"
16,"Quem passa por fora não dá nenhum valor a esta riquíssima igreja. A simplicidade do exterior engana as pessoas. Só quem entra pode dar valor a esta igreja.Os paineis da igeja de sfrancisco passaram para esta igreja. É barroca por dentro e por fora não parece. As colunas em mármore merecem atenção especial.
"
17,"Uma entrada surpreendente na ""Igreja de Ouro""
"
18,"A talha dourada e o tecto são surpreendentes. 
"
19,"A incluir num roteiro de visita por Beja. Recomendo vivamente
"
20,"Bonita
"
21,"É uma igreja com uma fachada modesta mas o seu interior é de uma riqueza artistica. Toda revestida a talha dourada, com azulejos do séc. XVIII e lindas pinturas no tecto.
"
22,"Igreja do sec. XVII
"
23,"O corpo da igreja encontra-se revestido por talha barroca e azulejos do século XVIII, muito bonitos.
"
24,"Linda
"
25,"Igreja muito bonita. Altar de particular beleza 
"
26,"Bem localizada, com fácil acesso.
"
27,"Simpatia do pessoal 
"
28,"A visitar.
"
29,"Magnífico tecto
"
30,"Excelente ponto turístico, com uma história magnífica, retratada em dislumbrantes gravuras e um tecto lindíssimo. Tudo explicado por um excelente profissional entendido na matéria. Passagem obrigatória.
"
31,"Vir a Beja e não visitar este edifício único da arquitectura e arte portuguesa é um crime
"
32,"O melhor atendimento de Beja, sempre aberto, sempre disponível.
"
33,"Que tesouro aqui encontrei.
"
34,"Este local devia ser a estrela que guia o património de Beja, em todos os sentidos.
"
35,"Parabéns ao rapaz que acolhe, é um erudito, fal várias línguas é um encanto.
"
36,"Soberba
"
37,"Fazendo parte do património histórico da cidade, esta igreja possui uma riqueza azulejar e dourada de inegualável valor.Atrevo-me a dizer que as peças de arte sacra de maior valor se encontram no seu interior.Por vezes são emprestadas para exposições para dentro e fora do país...
"
38,"Igreja barroca
"
39,"Local muito interessante para observar pintura e azulejaria do século XVII, de dois pintores consagrados. Frescos do teto fora de série. Talha dourada relevante.
"
40,"Teto lindíssimo
"
41,"Recomendado pela simpática senhora do castelo, teto lindissimo cheio de pinturas, pena não se poder tirar fotos, nem sem flash...
"
42,"Igreja belíssima
"
43,"A igreja é simplesmente linda e vale a pena a visita. Infelizmente, o Museu estava fechado, mas ficará para uma próxima.
"
44,"Pinturas deslumbrantes
"
45,"Igreja pequena mas com uma magia tremenda por dentro.quadros e frescos no teto de grande qualidade.tivemos o prazer de ouvir a história associada a cada pintura, do senhor que nos recebeu.
"
46,"Lindo
"
47,"Para quem está visitando a cidade de Beja, esta deslumbrante igreja nåo deve ficar de fora. O museu vai agradar os amantes da arte sacra. A entrada custa apenas 2 euros. Recomendo!
"
