,Avaliações
0,"Igreja
"
1,"Bonita igreja. Um altar muito bonito. Tem muita história nessa igreja. Vale uma visita sem sombra de dúvidas.
"
2,"Antiguidade e simplicidade
"
3,"Uma igreja antiga, simples, mas repleta de história e valor arqueológico. Pena estar fechada a maioria das vezes.
"
4,"Interessante
"
5,"Um museu simples mas muito bem cuidado. É muito interessante pois tem várias peças diferentes. um bom aproveitamento da igreja.
"
6,"Para visitar
"
7,"Museu que graças aos exemplares que detém deve ser visitado. Um espólio importante a preservar, para admirar em dias de férias em que o tempo abunda. 
"
8,"A Melhorar
"
9,"Igreja com alguma história da região, mas muito diferente das fotos possiveis de ver na internet. Realidade não está de acordo.
"
10,"Séculos de história!
"
11,"Os escritos e vestígios antigos de visigóticos e romanos. A importância de outras eras no momento atual.
"
12,"Bater com o nariz na porta
"
13,"Dois dias seguidos para o visitar e embora a informação na net dissesse que estava aberto no horário em que lá fui, ESTAVA SEMPRE FECHADO! Sem qualquer informação.
"
14,"Excelente
"
15,"Museu muito bem conseguido, funcionária 5 estrelas, atenciosa com os visitantes. Vale a pena conhecer toda a cultura depositada no seu interior
"
16,"Pouca informação 
"
17,"A entrada custa dois euros e dá acesso ao Museu D. Leonor. O espaço encontra-se um pouco por baixo e as explicações são algo parcas na minha opinião.
"
18,"
"
19,"De interesse sobretudo para quem se interessa por este período histórico e percebe algo do assunto, caso contrário não passam de ""pedras"". 
"
20,"Alentejo
"
21,"Atendimento pouco simpático
"
22,"Pouco interessante. 
"
23,"Com muito pouco para mostrar e atendimento pouco simpático.  A visitar se não tiver mais nada para fazer ...
"
24,"Colecção Visigótica!
"
25,"Desconhecia que em Beja existia o maior espólio de peças desta arte! A visita é um momento para aprender sobre a história da cidade e do País!
"
26,"Junto ao castelo
"
27,"Funciona em parceria com o museu regional, com bilhete único, muito interessante e bem documentado. Vale a visita
"
28,"Espaço bem documentado e de elevado interesse
"
29,"Espaço bem documentado e de elevado interesse este núcleo museológico visigótico complementando todo o historial também documentado no museu Regional de Beja - Rainha D. Leonor.
"
30,"Máquina do tempo
"
31,"Este núcleo museológico é ímpar pela coleção única que tem de vestígios visigóticos na Zona sul de Portugal.
"
32,"Obrigatório conhecer
"
33,"Bem pertinho do Castelo este museu possui peças e recolhas únicas .Encontradas e catalogadas por antropólogos que atestam a existência de outras culturas e a importância na vida de gentes que aqui habitaram...
"
34,"MAGNÍFICO
"
