,Avaliações
0,"Museu
"
1,"Bom. Um excelente local que conta parte da história da cidade. Em minha opinião, merecia uma melhora no visual externo. Mas vale uma visita sem sobra de dúvidas.
"
2,"Baixo Alentejo
"
3,"História muito interessante, especialmente da Mariana Alcoforado 
"
4,"
"
5,"Só os Domingo não pagamos entrada. 
"
6,"Sem dúvida que carece de actualização.
"
7,"ponto obrigatório
"
8,"Um dos locais mais bonitos e históricos da cidade. Uma envolvente interessante, perto da zona histórica. Ideal para um passeio a pé
"
9,"A VISITAR APESAR DA PÉSSIMA ORGANIZAÇÃO E FALTA DE INFORMAÇÃO
"
10,"19 /10 / 2019.Tem um espólio muito considerável, no entanto a organização, a iluminação  e a falta de informação é enorme
"
11,"Bom
"
12,"Muito a mostrar,mas não sei porque encontra-se tanta desordem e falta de informação.Poderiam explorar melhor a história da cidade.Fecha para almoço,confira o horário antes de ir visitar.
"
13,"Conteúdo inestimável a precisar de melhor apresentação
"
14,"A riqueza do património que existe neste museu é elevadíssima, mas o espaço precisava de uma intervenção compatível com esse mesmo valor. Acaba por ser um mero depósito daquelas peças e não um moderno museu como deveria ser.
"
15,"Obrigatório 
"
16,"Para quem visitar Beja este museu é um dos melhores edifícios a visitar. É absolutamente fantástico o seu interior. Quem não conhece fica abismado.
"
17,"Imperdível. 
"
18,"História
"
19,"Permite conhecer a história de toda a região próxima de Beja. Incluindo também uma boa galeria com a história de Mariana Almoforado.
"
20,"Lindo. Azulejos e a janela valem por si. Obrigatorio
"
21,"Imperdível , a historia mais romantica e bonita da cidade esta ali. Janela de Mariana , as cartas , os azulejos. Lindo
"
22,"MUSEU LINDO E HISTÓRICO
"
23,"Antigo convento, com histórias excelentes para conhecer a cidade e a região, sobretudo durante a ocupação romana. Espólio de grande riqueza que merece ser apreciado (pelo menos) e interpretado. Excelente a igreja.
"
24,"Imperdível!
"
25,"A identidade de uma cidade, de uma região e de um povo num museu único, pela história e pelo espólio que guarda!
"
26,"Lindo
"
27,"Este museu é lindo!
"
28,"Antigo convento, a sua história é encantadora. Os funcionários terão todo o gosto em guiá-lo e contar a história que se esconde por detrás da arquitetura.
"
29,"Excelente visita guiada sobre ocupação romana
"
30,"No ambito do evento Beja romana podemos usufruir duma visita guiada ao museu, focada essencialmente sobre a ocupação romana. O funcionário que nos acompanhou mostrou ser conhecedor do assunto e teve sempre uma resposta  para as nossas questões, foi 5 estrelas.
"
31,"Um lugar de riqueza histórica e beleza inconfundível!
"
32,"Entramos por curiosidade e ficámos deslumbrados com a riqueza histórica deste Convento!
"
33,"Iremos certamente voltar.
"
34,"Visita surprendente
"
35,"Não conhecia este Museu e fiquei francamente surpreendido, vou tentar voltar com visita guiada para melhor conhecer esta preciosidade.
"
36,"Visitar o museu e a janela da Mariana Alcoforado
"
37,"Se for a Beja, visite este museu e desfrute da coleção de ajuleijos, e da magnitude dos altares da capela. Não deixe de ver a janela da soror Mariana Alcoforado de onde escreveu as cartas de amor.
"
38,"Lindo por fora e por dentro
"
39,"Este museu instalado no Convento de Nossa Senhora da Conceição em que a igreja é revestida a talha dourada, tem um lindo claustro e guarda colecções de arqueologia, azulejaria, pintura e arte sacra.
"
40,"Historia
"
41,"Em conjunto com o Castelo, o Museu faz parte das visitas obrigatórias na cidade de Beja. Tanto por fora como por dentro, é um edifício cheio de história. 
"
42,"Muito agradável - Portugal no seu melhor
"
43,"PORTUGAL É UM PAÍS “ENORME”..... orgulho de ser português . 
"
44,"Conhecer Beja
"
45,"Visita agradável, muito bem arranjado e limpo, sitio onde se encontra peças de arte sacra com muita história.
"
46,"Acervo cultural enorme!
"
