,Avaliações
0,"Construção Romana
"
1,"Um portal construído pelos romanos. Parte interessante e muito constante nas construções antigas da cidade.
"
2,"Arco romano
"
3,"Muito bom. Alias, a maioria das construções antigas são da época romana. Aconselho uma visita. Compensa.
"
4,"Antiga porta de Évora, dava acesso ao interior das muralhas a quem vinha no Norte.
"
5,"
"
6,"Junto tem uma antiga casa-da-guarda onde seria feito o controlo dos passantes. Colado à muralha do castelo interior.
"
7,"Simples mas bonito
"
8,"Muito bonito e simples. Enquanto passeia à volta das muralhas do castelo, passe por lá. Vale a pena!
"
9,"Porta interessante
"
10,"Porta semi destruída mas com vestígios interessantes e que merece um olhar, embora não esteja muito bem cuidada.
"
11,"Bonita
"
12,"A Porta é bonita, mas já precisava de algum trabalho de limpeza e recuperação!
"
13,"a relva dos jardins precisava de ser cortada...
"
14,"História e atualidade
"
15,"Muito bem preservado e enquadrado. Com enquadramento muito acolhedor e aprazível. Bom para fotos e para apreciar
"
16,"Arco Romano no caminho
"
17,"Rodando o centro histórico de Beja você fatalmente passará por este Arco Romano. Um privilégio para poucos.
"
18,"Arco romano anexado ao Castelo de Beja de um lado
"
19,"Se estiver na zona do Castelo de Beja, encontrará facilmente este arco romano no lado antigo da cidade (alto) do castelo. Tem acesso 24/7 através de uma calçada pública irrestrita, entre o castelo e a estrada. É um bom local para tirar uma foto. Eu não vi nenhuma informação postada nas proximidades, o posto de turismo nos terrenos do castelo pode dizer-lhe mais.
"
