,Avaliações
0,"Perda de tempo 
"
1,"Era domingo e verificamos se estariam abertos antes de sair do hotel. Ao chegar ao local encontramos na porta um aviso de “volto já” tivemos cerca de 45 minutos a espera e ninguém apareceu. Fomos buscar o carro e quando passamos a porta novamente (já após a hora de encerramento) o papel que dizia “volto já” havia desaparecido. O que fez parecer que a pessoa responsável sabia que estávamos à espera e aguardou que nós retirássemos para encerrar efectivamente o espaço. Estamos no Alentejo e as pessoas deixam se levar, mas o respeito ao visitante era o mínimo que poderíamos esperar. 
"
2,"Com os pés no chão onde habitou vida, preste atenção em cada detalhe!
"
3,"O núcleo museológico de Beja, tem uma ideia bastante original e interessante de se ver. Todo o piso é revestido em vidro que nos permitem apreciar cada detalhe que se encontra embaixo dos nossos pés. As estruturas arqueológicas são bastante interessantes, fora isso o núcleo integra uma exposição de permanente com os achados das escavações, objetos , cerâmicas, ossos e outros materiais.É possível,  observar algumas estruturas que caracterizavam o período romano. Fora,que não se paga absolutamente nada para a entrar e o conhecimento adquirido durante o passeio, não tem preço! Vale muito a pena!
"
4,"História debaixo dos nosso pés
"
5,"Visite vestígios que povos antigos, de várias épocas deixaram na cidade. É quase possível imaginar como era a vida naquele local.
"
6,"Muito boa intervenção arqueológica
"
7,"Este local resulta da descoberta de ruínas de passados distantes do local que é hoje a cidade de Beja e que foram colocadas à vista de todos através de uma intervenção muito bem feita, que as preserva e ao mesmo tempo dá a conhecer. A não perder numa visita a Beja.
"
8,"Raro em Portugal
"
9,"Rico museu de arqueologia que nos mostra de modo espetacular a vivência do povo na época romana. Excelente explicação escrita dos objetos e da casa romana.
"
10,"Milhares de anos de história!
"
11,"Beja uma cidade muito antiga... vestígios deslumbrantes de eras passadas! Literalmente permite andar por épocas muito distantes...
"
12,"Um nome que esconde a sua riqueza
"
13,"o nome núcleo museológico é pouco elucidativo para este museu. A nova concepção de museu é de facto uma forma ideal para mostrar a riqueza destas escavações valiosas da época romana que aqui foram encontradas por acaso, e agora muito bem preservadas pela CMB e a forma como está exposta ao público. Aconselha-se uma visita guiada, embora existam dísticos explicativos. 
"
14,"Surpreendente
"
15,"Em Portugal nunca tinha visto algo assim. Um museu em cima de uma escavação, devidamente preservada e na qual podemos ver os pormenores por cima, através de uma plataforma de vidro e vigas de aço. Além disso podemos também observar outros objectos, admiráveis e valiosos, que, pessoalmente, deixam-me sem palavras.
"
16,"Vale a visita.
"
17,"Museu muito bem organizado mas um pouco sujo em seu interior devido à dejectos de pombos. Um imenso painel explica o que está sobre seus pés, perfeitamente visível através do piso de vidro. 
"
18,"Um espaço com história
"
19,"Um espaço que merece a visita, um local cheio de história e muitas estórias. Um espaço agradável e para um passeio em família.
"
20,"Vale a visita
"
21,"Um museu com uma única sala onde se anda em cima duma estrutura de vidro, podendo observar umas ruínas romanas por debaixo.
"
22,"
"
23,"Estando em Beja não deve deixar de visitar
"
24,"Os Romanos
"
25,"Excelente centro, onde foi possível passear por cima das ruínas romanos devido à estrutura em vidro lá presente. Vale mesmo a pena passar por lá. A funcionária Fernanda foi excelente pois explicou com detalhe o que ali estava. Muito bom. 
"
26,"Uma manhã por beja
"
27,"Uma manhã por beja divertida em familia. As pequenas adoraram, 5 e 10 anos. Fica perto do restaurante vovo Joaquina onde pode degustar um dos deliciosos pratos e passear pelo centro de beja
"
28,"Muito bom
"
29,"Uma visita super interessante, muito bem concebido e pensado, mas deveriam haver mais explicações, pelo menos numerar as áreas referidas de forma a ser mais fácil localizar na planta disponível.
"
30,"Beja Romana
"
31,"Uma visita à cidade romana sob os pés dos visitantes que vala a pena conhecer para sentir a História.
"
32,"Interessante
"
33,"Muito interessada,  sobre termas romanas. Bem organizado.  Atendimento muito simpático e profissional. Recomendo 
"
34,"Magnífico Museo.
"
35,"Um excelente espaço e muito interessante que nos conta os nossos antepassados, magníficos vestígios romanos , magníficas peças arqueológicas da idade do ferro, que nos fazem reviver a história desta interessante cidade. Bem conservado e as escavações encontram-se de baixo de um imenso vidro que nos deixa  contemplar as ruinas romanas, vale a pena ver...
"
36,"Bem concebido
"
37,"Foi uma agradável surpresa andar ""literalmente"" sobre a nossa história. Localização excelente. Gratuito.
"
38,"Caminhar sobre ruinas
"
39,"Espaço bem pensado e até com alguma vertigem, onde se caminha sobre as ruínas de uma Beja da idade do ferro, ou do império romano. Nas paredes a história e o contexto acompanhados de artefactos e utensílios antigos. Aprende-se muito.
"
40,"Recolha museológica muito interessante implantada em local onde foram encontrados e escavados vestigios romanos e outros.
"
41,"O material exposto está muito bem datado e explicado, mesmo para um não perito.
"
42,"Vale bem a pena fazer uma visita.
"
43,"Tesouro escondido!
"
44,"Localizado na Rua do Sembrano, o espaço está bem idealizado, para se poder observar o que foi descoberto aquando da escavação para a construção duma habitação particular! Que outros tesouros estarão escondidos pela cidade!
"
45,"Uma surpresa inesperada ao passear pela cidade
"
46,"Espaço museológico pequeno mas agradável. Reúne vestígios de Beja em séculos passados vistos de cima para baixo através do piso em vidro. Entrada gratuita. No Verão o espaço será bom para fugir à temperatura elevada. Falta de artigos (recordações) para venda.
"
47,"PAx Julia
"
48,"Com este museu, podemos ter um pequeno vislumbre do que foi a cidade=)
"
49,"A entrada é gratuita e podemos caminhar por cima das ruinas! Espectacular
"
50,"Um pouco de história...
"
51,"Visitámos esta atração em família durante a visita á Cidade de Beja. Foi realmente uma agradável surpresa podermos visitar com as nossas crianças esta linda exposição e de forma gratuita!!! Muito enriquecedor!
"
52,"Vestígios arqueológicos daquilo que foi a cidade de Beja
"
53,"Como o próprio nome indica, este é um espaço museológico que reúne alguns vestígios daquilo que foi a cidade de Beja na antiguidade. A maior parte da exposição está por baixo dos nossos pés, visível através de um passadiço de vidro – é necessário colocar uma proteção no calçado. O espaço é pequeno e a visita não demora mais de 15 minutos. A entrada é gratuita.
"
54,"O que fizeram aqui foi muito bem feito. Um chao todo ele em vidro onde podemos andar e apreciar tudo o que ali está e que merece ser visitado. Tem expositores com os achados das escavações. Nota positiva para a obra, o valor histórico e o facto de nao se pagar. Menos positivo, não haver uma pessoa que faça no minimo uma breve apresentação ou nos entregue um folheto qualquer com um resumo do que ali está. Estava só um senhor sentado que a muito custo nos comprimentou, parecia rodeado de informação e conhecimento mas nao estava para partilhar,  não lhe apeteceu, era sábado. A unica coisa que disse foi ""vao ter que calçar isto"", uns sacos com uns elasticos para andar sobre o vidro. Estava de tao ma vontade que tive a sensação que se pudesse tinha dito ""calcem esta m...."" da maneira que nos deu os sacos. 
"
55,"Muito interssante
"
56,"O acolhimento foi muito bom, tem praticamente toda a informação necessária, falta apenas informação no chão sobre as zonas das ruínas que estamos a ""pisar"".
"
57,"Elemento arquitetónico importante para a visualização de infra-estruturas de civilizações anteriores
"
58,"Elemento arquitectónico importante para a visualização de infra-estruturas de civilizações anteriores. O espólio de artefactos encontrados em Alqueva merecem o destaque.
"
59,"Museu a visitar
"
60,"A criança adorou
"
61,"É um espaço que infelizmente passa bastante despercebido mas que é muito interessante. As ruínas são vistas de uma perspectiva completamente diferente que a criança adorou!!! 
"
62,"Viagem no tempo
"
63,"Não passes sem entrar...
"
64,"Neste núcleo museológico ou museu do sítio, é interessante ver as ruinas de construções romanas que nos levam a imaginar como viviam os povos desse tempo.Com a recolha de utensílios de utilidade variada encontrados em diversos pontos da cidade dão a este espaço um valor incalculável no nosso património arquitectónico..
"
65," 
"
66,"Núcleo museológico do Sembrano
"
67,"Interessantíssimo. Vale a pena visitar. Andamos sobre ruínas...num espesso vidro que deixa ver um legado, que felizmente foi conservado.
"
68,"Muito interessante.
"
69,"Bom local para conhecer a história de Beja e suas ocupações. É possível caminha sobre vidros que deixam expostos as ruínas de um templo Romano.
"
70,"Ruínas romanas vista sob o chão de vidro
"
71,"Vale a pena visitar este local, muito próximo ao Museu Regional D. Leonor. Trata-se das ruínas de uma terma romana, que seria a princípio particular e mais tarde foi tornada pública. Tudo é visto sob o piso de vidro, com boas explicações e plantas-baixas que permitem entender como funcionava.
"
72,"O Núcleo Museológico da Rua do Sembrano integra um conjunto de estruturas arqueológicas que permitem, apesar de se tratar de uma área restrita no conjunto da estrutura urbana de Beja, entrever alguns momentos da história desta cidade e o modo como o espaço aqui foi evoluindo. 
"
73,"Espaço bem concebido e muito interessante na contextualização hihstórica da cidade de Beja
"
74,"Possibilidade de visitar ruínas num espaço criado para o visitante estar envolto na história. Aproveite e faça perguntas aos funcionários que parecem estar ansiosos para responder-lhe...
"
75,"Museu
"
76,"É um espaço muito bem conseguido e bem localizado. A exposição é muito boa, tem expostos vários artefactos de quase todas as épocas de ocupação humana na zona envolvente de Beja.
"
77,"Um exemplo de arquelógico
"
