,Avaliações
0,"Não passa indiferente!
"
1,"Fica ao lado da Câmara Municipal e a sua arquitetura intrigou-me pela beleza, imponência e enquadramento. Gostei muito do exterior mas não a visitei dentro.
"
2,"Artenato
"
3,"Foi uma igreja, mas infelizmente destruiram mais da metade. O que sobrou, o altar, está instalado uma loja que vende produtos locais, por sinal, bons.
"
4,"Monumento de referência
"
5,"Exterior imponente em pedra trabalhada, vale, essencialmente pelo exterior. O interior é pequeno e sem grande apontamentos históricos.
"
6,"Bonito no exterior
"
7,"Monumento com vista interessante por fora, uma vez que esta antiga igreja já foi desactivada para prática religiosa.
"
8,"
"
9,"No seu interior remedolado serve como
"
10,"Loja de artesanato.
"
11,"Esperava mais!
"
12,"Por fora parece ser mais. Depois, por dentro é pequeno e acaba por ser um sitio de venda de artesanato local. Para quem procura artesanato é o sitio ideal
"
13,"Muito bonita
"
14,"Apesar de ser muito bonito, o espaço está descaracterizado pois foi transformado numa loja que vende ""lembranças"" da região.
"
15,"Era para ser um açougue
"
16,"Este lindo monumento, era destinado a açougue imaginem! Os pórticos embora não terminem  em ferradura ainda transmitem cópias de arte muçulmana mais pelas colunas  interiores. Hoje há uma pequena exposição e venda de artesanto no seu interior, Recomendaria a aquisição de bilhas decorativas para água o um preço muito convidativo. e ímans de diversas formas algumas em cortiça muito originais e bom preço..
"
17,"Descaracterizada
"
18,"Teria sido uma igreja...hoje não passa de um espaço em que de igreja pouco ou nada tem.
"
19,"Apenas serve de venda de produtos...tipo loja.
"
20,"Aparenta ser mais interessante por fora do que por dentro.
"
21,"A visitar.
"
22,"Em bom estado de conservação.Situada a 200 metros do castelo e em pleno centro historico.A ter em atençao, que os parques de estacionameno em redor,são pagos.
"
23,"""Uma Igreja Invulgar""
"
24,"Fundada no séc.XVI noutro local, foi transferida para um edifício renascentista construído na actual Praça da república e destinado a açougue. A Igreja foi sendo aumentada e é um exemplar da transição entre o Renascimento e o Maneirismo de influência italiana. No princípio do séc.XX é profanada e serviu para as mais incríveis funções. Em meados do sé.XX é retirado o seu espólio e restituída à sua traça inicial. Dela resta a bela LOGGIA e pouco mais.
"
