,Avaliações
0,"Péssimo 
"
1,"Tudo péssimo, principalmente a zurrapa a que chamam “vinho”! Quando começarem a produzir vinho com uvas voltarei.
"
2,"Agradavel
"
3,"Estar alojado no clube de campo e não aproveirar a visita a esta adega é quase um pecado.
"
4,"
"
5,"Adega moderna  e sostificada
"
6,"Uma visita obrigatória
"
7,"Excelente adega, enquadramento paisagístico perfeito e pessoas muito agradáveis.Portugal no seu melhor.*****
"
8,"Uma visita obrigatória para quem passa em Santa Vitória, além do Hotel Clube de Campo pertencente ao Grupo Vila Galé.
"
9,"Uma visita a não perder quem passa em Santa Vitória porque se tem contacto e conhece-se com os vários vinhos e produtos regionais que são produzidos pela Casa Santa Vitória, além de podermos prová-los e comprá-los ao preço de produtor. Aconselho vivamente, procurem e vivam uma estadia inesquecível no Vila Galé Clube de Campo!
"
10,"Educativo , relaxante e “simpático “
"
11,"Simpático e educativo . São perto de 40 minutos muito bem passados com explicações sobre vinho que qualquer um pode entender . Após a visita as cisternas , laboratórios e caves temos uma pequena degustação do vinho aí produzido ...... 
"
12,"Excelente
"
13,"Espero que continuem com esta simpatia e requinte, fomos muito bem recebidos e informados acerca do que a casa Santa Vitória engloba no seu geral.
"
14,"Caves Sta. Vitória
"
15,"Durante a nossa estadia no Vila Galé Clube de Campo, decidimos visitar as caves de vinho de Santa Vitória. A guia Liliana foi muito simpática e competente, fazendo uma visita à Casa de Santa Vitória, entre o laboratório, audiovisual e caves, com toda a informação sobre as herdades, os vinhos, azeites... etc. Valeu a pena e aconselho.
"
16,"Excelente!
"
17,"Herdade fantastica e puro Alentejo! Local de beleza única, relaxante e rejuvenescedor Profissionalismo e bem receber!
"
18,"Tranquilidade e qualidade
"
19,"Excelente acolhimento nas Caves Santa Vitória, durante uma curta estadia no Clube de Campo. Visita muito bem conduzida e de grande interesse.
"
20,"Muito bom...
"
21,"Loja acolhedora, atendimento personalizado e sempre com simpatia.
"
22,"Vinhos muito bons, com óptima qualidade
"
23,"Herdade gigante, ideal para desfrutar da natureza na sua plenitude.
"
24,"Simpatia de todo o pessoal é gratificante.
"
25,"Visita obrigatória
"
26,"Visita bem organizada e estruturada. Adequada a todo o público. Questões colocadas e prontamente esclarecidas. 
"
27,"Possibilidade de aquisição de produtos a preços muito convidativos. 
"
28,"Local a visitar brevemente.
"
29,"Escapada
"
30," Bom sitio para fazer férias com crianças. Muito calmo e com boas infraestruturas para passar uns bons dias.
"
31,"Brilhante adega
"
32,"Visitei a casa de santa vitória e fiquei muito satisfeito quer pela explicação que me foi dada durante toda a visita, o empenho da equipa em funções no momento, do asseio de todas as instalações por onde passei e da prova de vinhos. 
"
33,"Almoço
"
34,"Levei um amigo para o restaurante em Santa Vitória para almoçar - pedimos o ensopado de borrego - foi terrível - era como se eles tivessem fervido o cordeiro na água e decidiram servi-lo. . . . .
"
35,"Então aqui está esperando que eles mudem seu menu
"
36,"Almoço de negócios
"
37,"Não recomendado
"
38,"Não é recomendado. Eu fiz um esforço grande para torná-lo para o último tour, eu estava a poucos minutos de atraso devido às obras rodoviárias etc quando eu cheguei eu não estava bem-vindo em tudo, a equipe bastante inútil.
"
