,Avaliações
0,"Muito bom.
"
1,"Castelo bem conservado, com torre de menagem altiva e exuberante, pena fechar a horas proibitivas. Pode-se dar a volta por fora e tirar umas fotos.
"
2,"Bonito, mas podia ser melhor
"
3,"Castelo bonito numa zona central de Beja. Não se paga para entrar nem para andar pelas muralhas. A vista é bonita e tranquila. Existe um parque de terra gratuito ao lado do castelo.
"
4,"
"
5," No entanto, apesar de existirem pessoas dedicadas, não se vende qualquer tipo de recordações.
"
6,"Também não é possível subir à torre o que foi uma desilusão. 
"
7,"A rever. 
"
8,"Bem preservado
"
9,"É central e tem uma torre bem alta!
"
10,"Serve de referência para quem circula perto de Beja.
"
11,"A partir do castelo, percorremos as ruas e parte antiga da cidade até aos pontos de interesse e restauração.
"
12,"Vista magnifica sobre a cidade
"
13,"É agradável passear pelas muralhas e usufruir da vista de 360º que dali se tem sobre a cidade. Apesar de não ser possível visitar o interior da torre (já tinha fechado) o percorrer as muralhas valeu sem duvida uma visita não só por ser uma das principais atrações da cidade mas pela sua vista.
"
14,"Castelo simpático para passeio e uma vista de 360º sobre Beja
"
15,"O Castelo, tem uns degraus ingremes mas largos o que facilitou a subida e descida (mas nao aconselhado a idosos), dando uma vista fantástica de 360º de Beja e da paisagem alentejana.
"
16,"Torre muito bonita
"
17,"Bela é uma das capitais de distrito do Alentejo, dizem que o Alentejo é terra de castelos, logo o castelo de Beja tinha de ser imponente .... Correspondeu às expectativas, sobressai a torre a fazer lembrar a torre de belém.... Está bem conservado e para passear nas muralhas não se paga! A cidade de Beja é muito pacata e limpa aconselho depois da visita ao castelo uma refeição regional na cidade!
"
18,"Castelo de Beja
"
19,"Romântico à luz do luar, majestoso durante o dia, encanta quem o visita assim como a cidade com os seus recantos e ainda o Museu/Convento da Conceição, riquíssimo! De gastronomia estamos falados, simplesmente do melhor que há em Portugal! A cidade Pax Julia de onde César queria oferecer a paz e a cidade dos amores proibidos como aquele entre a Sóror Mariana Alcoforado com o seu tenente francês! Beja, princesa da planície, vale bem a visita!
"
20,"A principal atração da cidade
"
21,"Apesar de não ser possível visitar-lo  interior da corre o castelo vale sem duvida uma visita não só por ser a principal atração da cidade mas pela vista do topo das suas muralhas.
"
22,"Relíquia 
"
23,"Que beleza.
"
24,"A Cidade é linda e muito calma gastronomia de eleição, acessos muito bons e modernos.
"
25,"Muitas herdades, adegas e hotel de expoente máximo :- Vila Galé Clube de Campo a cerca de 20 km., onde pode fazer passeios de balão. 
"
26,"Castelo Beja e sua torre menagem
"
27,"5 estrelas e a maior torre menagem da península i Érica do seu topo consevue-se vislumbrar todos os concelhos à volta do concelho de Beja.
"
28,"Paragem obrigatória 
"
29,"Paragem obrigatória em Beja e o ícone da cidade. O castelo permite uma interessante visita que termina com a magnífica vista na subida ao cimo da torre. 
"
30,"Poderia estar em melhor estado de conservação e com alguma espécie de guia Historico para os visitantes, o que nós deixa um pouco perdidos na sua visita. 
"
31,"Castelo
"
32,"Infelizmente, estava fechado por motivo de reformas, inclusive no lado de fora. Só pudemos ver o lado de fora. Mas vale a visita.
"
33,"Pequeno e charmoso
"
34,"Nada de mais, vale a pena só pela vista dos campos. Castelo muito pequenino mas incrivelmente bem conservado. 
"
35,"Muito bem conservado
"
36,"Monumento que surpreendeu pela positiva.
"
37,"Muito bem conservado e limpo e com vista impressionante da sua torre sobre Beja e arredores. 
"
38,"Sem duvida o ex libris desta cidade.
"
39,"A torre mais alta de Portugal
"
40,"Para além da vista fabulosa que do alto da torre se consegue ter da magnífica planície alentejana, em dias de boa visibilidade, é possível ver a serra algarvia. As suas muralhas percorrem grande parte da cidade, sendo possível ter uma ideia de como eram as ruas e as casas da altura. A não perder.
"
41,"Muito lindo
"
42,"Local muito bonito. Subindo na torre, a vista é maravilhosa!!! Vale a pena a visita ao Castelo, ao Museu Regional e à Igreja Nossa Senhora dos Prazeres.
"
43,"Agradavel 
"
44,"Bom sítio para se visitar em beja . 
"
45,"Fui no sabado na parte da manhã e estava aberto ate ao 12.30 
"
46,"Vista bonita sobre a cidade 
"
47,"Tem uma loja para comprar recordações 
"
48,"Staff simpático 
"
49,"Regular
"
50,"Apenas um muro de pedra com restauração recente como tantos outros existentes em toda a Europa.Torre fecha na hora do almoço, é recomendável ir ao fim da tarde e subir as escadas íngremes com muito cuidado e atenção.
"
51,"Muito bonito
"
52,"Vale a pena visitar. A loja de turismo é lá dentro. Suba à torre e tem uma vista espetacular sobre a cidade. 
"
53,"Belo castelo
"
54,"Torre de menagem imponente. Para os apaixonados deste tipo de turismo vale bem a pena. A não perder passando por estes lados. 
"
55,"Excelente vista
"
56,"Castelo em bom estado que permite ter uma excelente vista sobre Beja e região circundante. Bom local para deixar o carro e passear pela cidade.
"
57,"Torre bem conservada
"
58,"Do castelo praticamente só sobra a torre de menagem, que dá para ver que é sujeita a manutenção e já foi alvo de recuperação bem feita. Um barzinho no pátio dá para tomar uma bebida para refrescar
"
59,"O grande miradouro de Beja
"
60,"Um ponto turístico obrigatório para quem queira conhecer Beja! Situado bem no centro desta cidade alentejana, tem uma paisagem privilegiada sobre toda a cidade e arredores. O Castelo é bastante enigmático, transportando-nos para a época medieval. De uma beleza inigualável tanto de dia como de noite, vale bastante vê-lo com os seus próprios olhos e aproveitar para tirar umas boas fotografias.
"
61,"Cartão postal de Beja
"
62,"O Castelo está muito bem conservado.  É possível circular por todo entorno junto a muralha, tendo vista 360° da cidade.  A torre possui três salas intermediárias interessantes e boas para parar e tomar um fôlego pois são mais de 180 degraus nos 40 metros de altura, sendo a mais alta da Península Ibérica.  O ingresso é gratuito, infelizmente, pois este patrimônio merece um cuidado para evitar a ação de vândalos, que nem sempre se dão conta, por exemplo, que uma foto pendurada no pescoço da estátua, pode derrubar e quebrar um patrimônio de mais de 1000 anos.  
"
63,"Bom passeio
"
64,"Bom passeio para relaxar e aproveitar a vista sobre a cidade. Cuidado com o calor eheheh .  Aproveitar as vistas 
"
65,"Óptimo local para iniciar a visita cultural!
"
66,"Ao subir ao Castelo é possível ver toda a cidade e os seus arredores, vista deslumbrante e ambiente medieval.
"
67,"O castelo está muito bem conservado, tem entrada livre e acesso à torre de menagem, de onde se tem uma magnífica vista sobre toda a cidade
"
68,"Está limpo.... 
"
69,"Está limpo, conservado e tem acesso gratuito...
"
70,"A torre tem uma vista muito interessante. 
"
71,"Aparentemente, é só o que tem para oferecer. 
"
72,"Bem interessante!
"
73,"Castelo com boa conservação. Aberto ao público para visitação. Tem um banheiro. Torre de 183 degraus proporciona bonita visão. Vale a pena.
"
74,"Vista panorâmica da cidade
"
75,"O castelo encontra-se bem conservado e permite a partir da sua torre de menagem uma vista panorâmica da cidade. Embora não se pague para visitar, deveria haver um funcionário que controlasse o espaço. Dispõe de um café no seu interior e de WC, embora não exista sinalética indicativa das instalações sanitárias.
"
76,"Visita ao Castelo
"
77,"Interessante conhecer e ver a vista das muralhas do castelo, mas pode ser um passeio rápido, em 30 minutos é possível ver tudo.
"
78,"Castelo muito belo
"
79,"Top
"
80,"Entrada livre.
"
81,"Torre de menagem acessível.
"
82,"Vista espetacular de toda a cidade.
"
83,"Recomendável para quem tem interesse por monumentos históricos 
"
84,"vista deslumbrante subindo as 168 degraus
"
85,"Visitar o castelo em baixo é uma coisa mas subir os cerca de 168 degraus e de facto uma proeza que vala bem a pena pela vista deslumbrante que nos proporciona. Os degraus são fáceis de subir, e tem intervalos para descanso. Mais acima começa a estreitar e temos que esperar pelos que descem ou caso contrário os que sobem. Não podem subir e descer ao mesmo tempo em simultaneo.A vista dos 4 quadrantes é indescritível. Ir a Beja e não subir a torre é como ir a Roma e não ver o Papa.
"
86,"Um dos castelos mais lindos com certeza!
"
87,"O castelo de Beja, tem uma arquitetura muito bonita. Se mantém como um dos mais bonitos da região, seu jardim e sua estrutura interior é bastante conservada e o mirante é muito bonito.
"
88,"Vale a pena conhecer!
"
89,"Torre muito bonita!
"
90,"A torre do castelo é lindíssima!
"
91,"Poderia ter algum funcionário no local a controlar as subidas e descidas, pois existem passagem apertadas.
"
92,"A vista das planícies, um pedaço de história
"
93,"Ao visitar Beja, vale a pena ir ao Castelo. Sem limitação no acesso, permite ter uma vista agradável na torre de menagem. 
"
94,"Monumento a visitar em Beja
"
95,"Se for a Beja não deixe de visitar este monumento e de subir a torre de menagem do castelo. Se levar crianças pode ser um pouco cansativo mas proveitoso porque os miúdos divertem-se a subir e imaginar os guerreiros.
"
96,"Castelo de acesso fácil, muito bem cuidado e preservado. Páteo limpo e cheio de verde. Pode-se subir à torre, com entrada gratuíta. Pessoal muito simpático. Merece uma visita!
"
97,"Um pequeno castelo dentro da cidade
"
98,"Bem preservado e perto do centro; com melhorias recentemente implementadas. Vale a pena subir para ver a vista e sentir a atmosfera do passado
"
99,"Passeio
"
100,"Um Sitio descontraído com uma vista muito boa da cidade de Beja. Acredito que seja um local bom para tirar umas boas fotografias com amigos e familiares, recomendo.
"
101,"Lindo castelo
"
102,"Este castelo encontra-se num bom estado de conservação. Da sua Torre de Menagem, bem conservada, tem-se uma vista sobre toda a cidade.
"
103,"Inesquecível!
"
104,"Maravilhoso! O por do sol visto do Castelo é ainda mais esplendoroso! Pisar em locais históricos tão bem conservados causa muita emoção!
"
105,"Mal recuperado
"
106,"Penso que o governo deveria de fazer melhor na recuperacao dos castelos como o de Beja,
"
107,"Nem tudo è Lisboa e Porto.
"
108,"Este castelo com uma história fantástica e do mais antigos bem como o que tem a torre da menagem mais altas do pais, devia de ter uma programa de recuperação mais adequado e não serem usadas matérias fora de época que destroem toda a fachada.   
"
109,"Bonito porém pequeno
"
110,"Um pequeno castelo no centro da cidade, visitei apenas por fora, estiva de passagem pela região e entrei na cidade para ver o castelo e gostei.
"
111,"Viagem no Tempo
"
