,Avaliações
0,"Pelourinho bonito
"
1,"Este pelourinho, na Praça da República, é muito bonito e está bem conservado. Merece, sem dúvida, uma fotografia!
"
2,"Praça
"
3,"Fica quase no centro da praça da República. Merecia uma melhor apresentação e informação do monumento. Mas vale o passeio pela praça.
"
4,"O centro da praça
"
5,"Situado na praça da república é uma atração da cidade. Centrada à igreja da misericórdia foi em tempo marco de bons ventos para os recém casados que no dia da boda, deveriam dar 3 voltas de carro à praça para ter sorte no casamento, tradição que se foi perdendo no tempo por impossibilidade de trânsito.
"
6,"Bonito
"
7,"Fica no centro da praça. Muito bonito e simples. Enquanto passeia pela cidade, passe por lá. Vale a pena!
"
8,"Não é o original
"
9,"Este pelourinho manuelino está bem implantado na praç da república. Mas não é o original. Vale a pena demorar tempo em apreciar a beleza do pelourinho em estilo manuelino e contemplar o que representa. 
"
10,"De passagem
"
11,"O pelourinho de Beja fica na praça junto à Câmara Municipal e pode ver-se rapidamente quando se passa no local. É bonito, moderno mas a retratar o antigo e dá para tirar uma ou outra foto bonita.
"
12,"bem conservado e central
"
13,"no centro da cidade na área encantadora. um marco histórico. A cidade ao redor é bastante e agradável. Em geral, um lugar agradável.
"
14,"Coluna na Praça, aparentemente antigo local de um pelourinho
"
15,"Subimos a parte mais antiga da cidade de Beja para passar o tempo enquanto esperávamos que o castelo reabriasse depois do intervalo do meio-dia. Minha esposa teve um bom tempo de compras em uma loja em frente à coluna - final da Praça, com uma grande variedade de artesanato e itens de lembrança de boa qualidade, e detentores de loja amigável. Eles explicaram que a coluna na Praça da República homenageia as muitas vítimas que foram punidas por serem trancadas em um pelourinho neste local (muitas vezes injustamente pelos padrões de hoje). Passei algum tempo na praça, olhando em volta e tirando algumas fotos. Os prédios ao redor da praça eram uma mistura, o mais atraente para mim era um com colunas e arcos no nível do solo, com um nível superior com varandim muito bem decorado com azulejos de cerâmica.
"
16,"Frustrado na Praça da República
"
17,"Bela pedra 16 th C pillory no centro da praça que já foi o Fórum Romano em Pax Julia. perto do século 16 Igreja de Miseric rdia cujo pórtico, uma vez serviu como o mercado de carne da cidade.
"
18,"Vale a pena ver ele
"
19,"Um local interessante em Beja, mas as mesas do café-bar nas proximidades (atrás) perturbar um pouco sua magia.
"
