,Avaliações
0,"Passeio em família 
"
1,"Espaco verde limpo e cuidado, excelente para relaxar e passear com criancas pequenas. Fomos à procura das joaninhas;)
"
2,"
"
3,"Tem um espaco amplo dedicado a crianças. 
"
4,"Jardim simpático no centro de Beja
"
5,"Este jardim no centro de Beja, ao lado da Pousada, é bastante agradável. Nota-se que é bem cuidado. Tem bastante arvoredo, lagos com patos e um parque infantil. Soube bem descansar à sombra num dia de calor.
"
6,"Memórias de infância
"
7,"Espaço interessante onde podem ser vistas vários tipos de plantas. Tem um parque infantil cheio de atracções com ênfase na ""casinha típica"" do Alentejo que faz as delícias dos mais novos
"
8,"Jardim
"
9,"Bom jardim público para passear com crianças, bem tratado e com áreas para brincar, fazer exercício ou simplesmente passear.
"
10,"Descontração e fresco
"
11,"Jardim bem cuidado, bom para um passeio para refrescar do calor do alentejo e para descontrair. Bem tratado!
"
12,"Paraíso no Centro da Cidade
"
13,"Um espaço que nos faz esquecer o burburinho do dia a dia da cidade. Um espaço muito agradável, que convida à leitura e meditação.
"
14,"Im jardim...
"
15,"Um jardim pequeno e sem grandes atrações. Um lago, umas árvores, um jardim infantil e umas gaiolas com galos e rolas. Nada de especial.
"
16,"Muito estimado
"
17,"Agradável visita ao fim da tarde a este simpático jardim com muito boa vista. É um jardim pequeno mas muito bem cuidado. Os lagos estão limpos e  bem cuidados. Adorei o coreto.
"
18,"Jardim aprazível e bem cuidado.
"
19,"Fica bem localizado. Parqueamento  fácil 
"
20,"Um bar de apoio.
"
21,"Espaco infantil
"
22,"Tem,ainda,algus animais em espaço próprio,
"
23,"Bem cuidado
"
24,"Muito bem cuidado quanto a limpeza mas merecia mais investimentos em paisagismo . Bem localizado propicia momentos agradáveis de tranquilidade.
"
25,"A visitar
"
26,"Espaço agradável e bem cuidado. 
"
27,"Proporciona um espaço verde muito importante para a cidade.
"
28,"Algumas árvores excepcionais 
"
29,"Local lindo
"
30,"Lindo e agradável espaço para se relaxar e passear. Tranquilo onde se pode observar diversas espécies de plantas e passaros.
"
31,"O Jardim é enorme!
"
32,"O Jardim de Beja fica muito bem situado e pelo seu tamanho e pela variedade e diversidade do que nos oferece é maravilhoso.
"
33,"Jardim bonito para passear
"
34,"Um jardim na cidade onde se pode passear num ambiente muito charmoso e acolhedor, a limpesa é de facto surpreendente
"
35,"Pouco cuidado
"
36,"Jardim público perto do mercado e do centro da cidade. Espaço generoso com parque infantil e lago com patos, muito arborizado. Não sei como será no verão mas no inverno é pouco cuidado.
"
37,"òtima opção de passeio
"
38,"Um jardim belo e bem cuidado que vale pela paisagem e pelo interessante passeio a pé. Traz ainda alguns interessantes tópicos históricos a ser pesquisado e explorado.
"
39,"Um espaço pitoresco e bastante intimista
"
40,"O Jardim Gago Coutinho e Sacadura Cabral localiza-se no extremo do centro histórico de Beja, é gradeado e possui duas portas de acesso. A sua arquitectura e vegetação confere-lhe um espaço pitoresco e bastante intimista. Destacam-se o monumento alusivo à morte do Lidador, o miradouro, o coreto, o lago dos patos e o parque infantil. Perfeito para descansar e para fazer passeios românticos e/ou em família.
"
41,"Jardim magnífico e bem cuidado
"
42,"O jardim de Beja para além de me fazer recordar a minha infância continua lindo, bem cuidado, cheio de sombras, flores bonitas, estátuas e lagos.
"
43,"Lindo Jardim no centro de Beja
"
44,"Este jardim surpreende por estar tão bem cuidado e cheio de flores, sobretudo por esta região ser tão quente. É um local muito tranquilo.
"
45,"Tem parque infantil.
"
46,"Tem um coreto.
"
47,"No verão fazem alí festas e eventos.
"
48,"Frescura na planície
"
49,"Principalmente quando o calor aperta, faça uma vista a este belo jardim, no centro da cidade de Beja, cheio de verde e de canteiros coloridos.
"
50,"Se tiver crianças pequenas, tem o parque infantil com o Montinho alentejano e a Casa do Lago para os mais crescidinhos, com jogos, brinquedos e revistas. 
"
51,"Há também um pequeno quiosque onde pode tomar uma bebida. Muito agradável.
"
52,"Belo jardim no centro da cidade
"
53,"Este é um excelente local para passear quando se visita Beja, mesmo nos meses mais quentes de verão, o jardim possui várias sobras.
"
54,"Todos passam por aqui
"
55,"Jardim centenário bem no centro da cidade, oferece aos da mais tenra idade, até aos de idade avançada, espaços de convívio e lazer que vale a pena usufruir.O parque infantil, o carrinho com o burro, o lago dos patos e o mini zoo, prendem a atenção de quem o visita.Também as rochas catalogadas e a árvore pré-histórica interessam os visitantes.Nele se organizam eventos físicos e culturais em colaboração com a biblioteca José Saramago...
"
56,"Bucólico
"
57,"Um passeio muito bonito para a família. O jardim é bem bonito, possui opção de brinquedos para crianças e alamedas muito bonitas. Precisa ser melhor cuidado, mas é muito bonito.
"
58,"Jardim grande e tranquilo
"
59,"Local aprazível, bom para descansar um pouco depois de perambular pelas ruas antigas e ladeiras de Beja. Ocupa uma área relativamente grande, para o tamanho da cidade. Está bem cuidado, com equipes de manutenção dos canteiros. 
"
60,"Jardim agradável
"
61,"Jardim simpático e agradável bem no centro de Beja. Está cuidado, embora o parque infantil careça já de intervenção. As sombras são boas e a atmosfera histórica é contagiante. Na data da minha visita estava a decorrer uma exposição sobre geologia, que me parecer ser o género de iniciativa que faz todo o sentido. A não perder.
"
62,"Tranquilo e lindo
"
63,"Quando chegámos a Beja procurávamos um lugar para estacionar e encontrámos um local ao lado do jardim. Então é aqui que começamos a explorar Beja. Nós caminhamos ao redor e realmente desfrutamos os jardins de flor e árvores grandes. Foi um bom começo para a nossa visita em Beja.
"
