,Avaliações
0,"Num bairro de Beja encontra-se este restaurante com esplanada e sala mediana.
Carta com muitas sugestões de entradas, petiscos e especialidades regionais, confeccionadas com respeito pelos sabores naturais. Cozinha de parabéns!
Sobremesas regionais ao melhor nível.
Serviço regular.
Boa relação preço-qualidade.
A repetir com gosto.
"
1,"Não se deixem intimidar pelo aspecto do restaurante. Comida ao nível de uma estrela Michelin. Bem confecionada, sabor maravilhoso. Nunca tinha comido umas costoletas de borrego tão boas. Tudo maravilhoso. Que dizer das sobremesas simplesmente espectaculares, diferentes e de sabor divinal. Doses que dão para...
"
2,"duas pessoas, embora sendo individuais. 
Serviço simpático e pronto. O espaço não é condizente com a delícia da comida. Aconselho vivamente para almoçar ou jantar.
"
3,"Mais
"
4,"Cozinhar divinamente, sem dúvida é uma arte! Nível de estrela Michelin e preço normal! Só retiraria a TV da sala, mas isso faz parte da cultura portuguesa!!!
"
5,"Restaurante com um ementa vasta e recheada de produtos de qualidade, as vieiras, o biqueirão são exemplos de entradas excepcionais, o choco frito, os risotos, a vazia entre outros são sempre boas opções, as sobremesas ficam sempre ao critério do Sr Jose porque conta sempre...
"
6,"com uma agradável surpresa, nesta época tem um crunble de marmelo top
"
7,"Fomos atendidos por Marcelo, grande conhecedor dos pontos turísticos e históricos de Beja. Os pratos tem ótima apresentação e sabor. Ótima carta de vinhos. Recomendo.
"
8,"Simplesmente top.... comida excelente... funcionários muito simpáticos.... e local muito agradável para um bom momento em família ou amigos.
"
9,"Comida e quantidade excelente.
Preço adequado ao que é oferecido.
Só é pena a demora mas é compensada pelo repasto.
Recomendo
"
10,"Comida fabulosa! Gostei bastante do ambiente, do serviço, da oferta gastronómica.  A marcação da reseeva foi fácil. Os pratos demoraram um pouco e ficamos perto da cozinha tendo saidobcom odor na roupa. Vou voltar seguramente.
"
11,"Uma surpresa muito, muito boa!
Tudo 5 estrelas desde o atendimento à comida que se eleva à de um restaurante premium.
Não se deixem enganar pelo aspecto normal do restaurante porque tudo resto é excelente! 

Desde as entradas à sobremesa, os sabores apresentados são surpreendentes...
"
12,"e o preço muito acessível! 

A garrafeira também dispõe de ótimos vinhos com uma grande seleção.

Quando voltar a visitar Beja voltarei de certeza 🥰
"
