,Avaliações
0,"Belo estabelecimento! Visitei com três amigos e o dono foi impecável, desde o serviço à recomendação do vinho (Vidigueira Trincadeira). Local a repetir certamente
"
1,"Restaurante tipicamente alentejano.
Excelente experiência do início ao fim, com umas belas entradas, uma excelente recomendação do vinho e umas maravilhosas migas com presa ibérica.
Terminámos com um tarte e um pudim de requeijão que estavam divinais.
A repetir!
"
2,"Ambiente típico e acolhedor.
Refeições típicas alentejanas muito bem confeccionadas e saborosas. Doses generosas.
O serviço foi atencioso, no entanto, reparei que um colaborador (talvez o dono), foi muito indelicado para uma senhora que entrou a perguntar por uma mesa, o que nos deixou um...
"
3,"pouco desconfortáveis. Só por este motivo não dou avaliação máxima.
De resto, nada a apontar.
"
4,"Mais
"
5,"Restaurante recomendado por um amigo,quando cheguei fui perguntar  se havia mesa para 4 pessoas,foi me respondido de uma forma de muito má  educação  que não havia e já não serviam mais refeições, eram 13h35m.perguntei então onde se poderia comer ali perto e foi me respondido...
"
6,"novamente com muita má educação  e arrogância  ""não sei""!
LAMENTÁVEL 
Não provei a comida,mas tb ja risque da minha lista!
"
7,"Pela forma como fui tratado pelo dono do estabelecimento, pessoa mal educada e estupida, que inclusivamente me desafiou a chamar a polícia quando lhe pedi o livro de reclamações depois da sua attitude intragável, considero que o estabelecimento deve ser encerrado pelas autoridades competentes por...
"
8,"os proprietários não terem o mínimo das qualidades requeridas, em termos de relações sociais, para quem tem casa aberta.
"
9,"Bochechas e grelhada de porco preto maravilhosas 
Melhores migas do Alentejo 
Ambiente e decoração muito típica
"
10,"Comemos todos muito bem. A presa de porco preto com migas estava excelente. Até o bitoque de porco estava bom. A sobremesa estava divinal: encharcada, pudim de ovos com vinho do Porto e pudim de queijo.🤤
A simpatia do Sr. que nos serviu também é...
"
11,"de realçar.
Vou voltar de certeza. 
Recomendo vivamente mas façam reserva pois está sempre cheio.
"
12,"a revisitar quando voltar a beja. espaço tradicional, típico e de comida caseira. muito simpáticos no atendimento. adorei o almoço…
"
13,"Pedi bife grelhado e perguntei como acompanhava. O senhor referiu que era com batatas frita. Disse que também não tinha arroz. Perguntei se podia fazer batata cozida. Para meu espanto disse que não!!! Devia dar muito trabalho ... como com uma salada que tive que...
"
14,"pagar a parte... enfim... serviço PÉSSIMO!
"
15,"Em tempos de Covid-19, os pratos são excelentes. Pedimos para quatro pessoas e fomos muito bem servidas. Ficamos a conhecer a ""história"" da Taberna A Pipa.
Tem todas as condições para uma refeição segura nos tempos que correm.
"
16,"O gaspacho e os carapaus não tinham qualidade. Fui acabar de almoçar a casa
Não passam fatura
A conta é processada num papel a lápis ou esferográfica
"
17,"Das melhores experiências gastronómicas que se podem ter no Alentejo! Desde as migas de espargos com carne de porco frita à presa grelhada, acompanhado de um bom tinto alentejano, não se leva melhor sabor destas paragens!
"
18,"Recomendo.
Restaurante muito simpatico e acolhedor.
Tipicamente alentejano.
Destaco a simpatia dos empregados.
A comida é excelente.
O ponto fraco é o estacionamento, mas com sorte a 80/90 m na praça da igreja da misericórdia pode ser que se safe.
"
19,"Comida típica, muito bem confeccionada. 
Vitela com batata doce estava excelente.
Vinho tinto da casa é da zona e é obrigatório.
Sobremesa típica caseira.
Excelente relação qualidade/preço.
Recomendo vivamente o restaurante, mas devem de ir com tempo, sem pressa.
"
20,"Sou de Beja e nunca me tinha acontecido ser tão mal recebida num restaurante como fui aqui. Cheguei ao restaurante Pipa, que estava com a porta aberta, eram 19:25, perguntei se podíamos jantar, as mesas estavam postas, no entanto o proprietário com um ar arrogante...
"
21,"Vivemos uma situação de pandemia. Os clientes só podem entrar no restaurante quando este oferecer condições. Se o proprietário não o permitiu foi porque não estavam reunidas as condições. Quem está de fora, por vezes tem dificuldade em entender... lamento.
"
22,"Começo por anunciar que nunca fiz uma avaliação deste tipo neste site, mas não podia deixar de alertar. Chegamos às 13h25 e perguntamos se nos podíamos sentar (havia 1 mesa vaga). O senhor, extremamente mal educado e sem nunca nos dirigir a palavra, foi buscar...
"
