,Avaliações
0,"Visitei o restaurante pela primeira vez com a minha família e devo dizer que recomendo a 100%. O atendimento é excelente, a comida é melhor ainda, no meu caso que levei uma pessoa de idade que adorou o frango, todo o ambiente é casual e...
"
1,"familiar, as sobremesas são super caseiras e recomendo o cheesecake e o leite creme. É ótimo para um ambiente com amigos, de facto um restaurante para voltar.
"
2,"Mais
"
3,"Frango top, excelente molho bom ambiente. Local a visitar em beja. Boa relacao qualidafe preco. Recomendo
"
4,"Otimo atendimento!!
Comida com qualidade, ambiente muito agradável!
Com direito a miminho especial 😊 muito satisfeitos e com certeza é para voltar.
"
5,"Tive a oportunidade de visitar este local a conselho de um amigo e fiquei extremamente agradado com tudo!  A comida com variados pratos típicos, carnes e peixes de óptima qualidade e cozinhados e apresentados de maneira original é de fazer crescer água na boca. O...
"
6,"serviço é outro dos pontos fortes, tive o prazer de ser servido pelo Sr. Zé, que profissionalismo e simpatia, extraordinário! Até breve e obrigado!
Recomendo vivamente! Visitem!!!
"
7,"Simpatia, preços acessíveis e refeições bastante agradáveis.
Almoçámos na passagem por Beja e recomendamos
"
8,"Excelente atendimento e comida . Espaço extremamente agradavel com musica calma de fundo. Sem duvida um sitio a repetir em beja!
"
9,"Comida saborosa, staff simpático, espaço agradável! A voltar certamente! E para a próxima para provar o leite creme!
"
10,"Comida boa, bom ambiente e ótimo serviço!
Recomendo vivamente que visitem este espaço.
Ideal para jantar com amigos
"
11,"O atendimento é excelente desde a simpatia dos empregados até as refeições super bem servidas a condizer com uma óptima relação qualidade/preço. Recomendo vivamente.
"
12,"Excelente qualidade na comida, ótima apresentação do espaço e ambiente acolhedor. Staff muito simpático e disponível
"
13,"Nada como um bom jantar após um dia de trabalho complicado...
Staff super atencioso, comida maravilhosa....um bom sítio para jantar ou almoçar
...
Ps: uma agradecimento a tatiana por esta sobermesa personalizada 😉
"
14,"Boa tarde caro Simão,

Agradecemos desde já a sua visita e as suas palavras.

Ficamos extremamente satisfeitos por ter contribuído para ter um dia melhor.

Cumprimentos
"
15,"Estavamos de passagem e adoramos este restaurante. Comida muito boa, preços acessíveis, bom espaço e de salientar a simpatia dos empregados e muito profissionais. Voltaremos com toda a certeza.
"
16,"Boa tarde cara Marcia,

Agradecemos desde já a sua visita e as suas palavras.

Gratos pelas referências, até breve.

Cumprimentos
"
17,"Espaço muito agradável, bom atendimento e óptima comida.
Fácil acesso e muito estacionamento junto ao restaurante.
"
18,"Boa tarde caro Pedro,

Agradecemos desde já a sua visita e as suas palavras.

Gratos pelas referências.

Cumprimentos
"
19,"Excelente,bom atendimento, boa comida,restaurante a visitar para quem passa por Beja,preços acessíveis enfim tudo o que faz falta
"
20,"Boa tarde caro Nuno,

Agradecemos desde já a sua visita e as suas palavras.

Cumprimentos
"
21,"tudo excelente. óptima comida ( uma picanha tenrinha)e óptimo serviço( toda a equipa muito atenciosa). recomenda-se.
"
22,"Boa tarde cara Claudia,

Agradecemos desde já a sua visita e as suas palavras. Muito obrigado pela recomendação.

Cumprimentos
"
23,"Primeiro: o nome engana. Depois, o que interessa: excelentes entradas, um arroz à bulhão pato fantástico e umas entradas inesquecíveis. Ponto de paragem recomendado para quem sai de Lisboa para o sotavento algarvio. Vale a pena o desvio.
"
24,"Boa tarde caro João,

Agradecemos desde já a sua visita e as suas palavras.

Gratos pela recomendação.

Cumprimentos
"
25,"Comida muito boa e staff muito simpático! A repetir, sem dúvida. Éramos um grupo grande e o serviço foi impecável. Vinho 5 estrelas.
"
26,"Boa tarde cara Catarina,

Agradecemos desde já a sua visita e as suas palavras.

Cumprimentos
"
27,"Um ótimo espaço para jantar com a família ótima comida um exelente atendimento, está de parabéns o sr. José um empregado super humilde e muito atencioso que nos deu uma ótima sugestão do que comer
"
28,"Boa tarde caro(a) Arierepiur,

Agradecemos desde já a sua visita e as suas palavras.

Cumprimentos
"
29,"Excelente espaço, carta variada não ha só frango como se pensa pelo nome.
Atendimento e comida excepcional.
Recomendo vivamente
"
30,"Boa tarde caro José,

Agradecemos desde já a sua visita e as suas palavras bem como a sua recomendação.

Cumprimentos
"
31,"Muito bom!! 
Limpeza 
Simpática dos funcionários 
Estacionamento 
Boa comida 
Rapidez 
Preço- barato 
Adoreiiiiii
"
32,"Boa tarde cara Vera,

Agradecemos desde já a sua visita e as suas palavras.

Cumprimentos.
"
33,"Gastronomia de qualidade. Ótimo serviço de atendimento, profissionalismo de topo, boa localização e instalações confortáveis.
"
34,"Boa tarde caro Ricardo,

Agradecemos desde já a sua visita e as suas palavras bem como a descrição do nosso espaço e serviço.

Cumprimentos.
"
35,"Ementa muito variada(e que inclui comida típica Alentejana). Muita qualidade na comida e excelente apresentação… A simpatia de todo o Staff é de parabenizar…! Extraordinário! Sem dúvida a repetir! Ah e adoramos a decoração do espaço…muito bom gosto!
"
