,Avaliações
0,"Comida muito boa, muita variedade neste tipo de carnes vermelhas, pratos bem servidos e o staff muito atencioso e simpatico. Parabéns..
"
1,"Jantar de amigos
 solicitamos tábua de vaca com entrecote e picanha trinchada, que surpresa esta magnífico muito bom mesmo acompanha com migas de espargos,  alho e nao poderia deixar de ter batatas caseiras e puré de maça. 
Tem de marcar mesa
Recomendo
"
2,"Almoço muito bom com uma qualidade acima da média com serviço de nível superior, vale apena pedir a grelhada mista ( grelhada mista de nivel 10) aconselho a reservar mesa.
Recomendo sempre... o melhor de Beja.
"
3,"Aconcelhas a quem venha visitar a cidade de Beja este maravilhoso restaurante. Óptima comida tradicional Alentejana, boas carnes acompanhadas com deliciosas migas Alentejanas.  Muita simpatia no atendimento,
"
4,"Para os amantes da carne de vaca, entrecote da Austrália grelhado na perfeição servido numa tábua para duas pessoas, acompanhado de migas é uma salada de tomate á antiga 5 estrelas.
"
5,"Uma agradável surpresa, fui com recomendacao e com marcação antecipada para conseguir lá jantar durante os dias que ia ficar em Beja. 
Grelhadas mistas e pijaminjas maravilhosos, carne de qualidade superior. A tabua de vaca é mesmo uma maravilha, as migas de alho e espargos...
"
6,"muito boas e o puré de maçã é qualquer coisa com a carne.
Staf muito atencioso e serviço rapido.
Recomendo e vou voltar sempre que passar a Beja.
"
7,"Mais
"
8,"Almoço entre amigos uma grande experiência, bom atendimento serviço espetacular bom naco de carne. Recomendo 
Aconselho a reservar mesa
"
9,"Excelente localização, Ambiente muito agradável, cortesia dos funcionários deste a entrada até a saída, comida com sabor e qualidade. Experimente as "" Bifanas do Marinho"" é surpreendente... 
Restaurante tem uma carta de vinhos espetacular meu jantar com meu amigo foi com certeza foi uma experiência...
"
10,"fantástica. Quando vier a Beja não deixe de conhecer! Ahh não posso deixar de agradecer ao Léo pela sangria maravilhosa...
"
11,"Vale a simpatia, boa carne. As migas podiam ser melhores mas no contexto geral é muito bom. Recomendo.
Gostei da sobremesa e para entradas, prato, sobremesa e bebida não foi caro.
:)
"
12,"Nada de especial..
Carne boa mas nada por aí além
Migas essa sim boas mas com pouquíssimo sal 
Atendimento deixa um pouco a desejar
"
13,"A comida é excelente e o atendimento muito simpático.  É melhor marcar, porque é um restaurante pequeno e rapidamente enche.
"
14,"Excelente comida alentejana acompanhada por um excelente atendimento e simpatia. As migas TOP!!!
Bom vinho.
"
15,"Excelente atendimento, staff muito agradável... 
Queijinho muito bom, carninha maravilhosa ...
Migas tão boas!!! Mesmo em frente ao Castelo, muito bem localizado. Uma experiência a repetir!
"
16,"Chegamos a Beja a deriva... Vínhamos do Porto, só nós sabíamos o que iria acontecer. Salvo erro foi no dia 16 de Julho a primeira vez que entramos no Dom Dinis... Uma recepção sem sombra de dúvidas das melhores até hoje e nunca irei esquecer...
"
17,"Um sitio um acolhedor
Empregados todos muito simpático adoramos a comida
Numa semana de férias em Beja fomos lá duas vezes e foi mesmo muito bom
Vamos voltar lá
"
18,"Restaurante aconchegante, staff muito atencioso, comida excelente. Paramos para almoçar antes de chegar a Évora. Recomendo muito.
"
19,"Quando Surpreendente, é a palavra que ocorre para o classificar!
Espaço acolhedor, mas com um serviço muito acima do normal, de gente jovem, mas Esclarecida e Profissional na sua gestão e serviço.
Um cardápio simples (Grelhados de Porco Preto e Novilho) mas Eficaz e de...
"
20,"De férias pelo Alentejo resolvemos parar em Beja, foi nos recomendado o dom Dinis que sopresa boa. Recomendo sempre que passe por Beja vale apena provar o porco preto.
"
21,"Depois de viagem de lisboa propositada foi uma desilusão não ser atendido ainda dentro do horário de atendimento das 15h00. A desculpa foi de que já não havia carvão... Já não volto! Com grande pena!
"
22,"Um atendimento espetacular quer da parte do dono quer da parte dos funcionários.
Comida muito boa.
E a melhor sangria do mundo. 😅
"
23,"Carne de porco preto de elevada qualidade, bem cozinhada e com óptimo sabor.  Atendimento rápido e simpático. Recomendo!
"
24,"Boa tarde Camper,

Muito obrigado pela sua visita e pelas suas palavras. 

Até breve, e gratos pela recomendação.

Cumprimentos.
"
25,"Entrámos para jantar no restaurante e deparámo-nos com um cenário da cozinha onde não existe uma única cozinheira(o) a utilizar máscara! Óbvio que não ficámos para jantar. Em tempos de pandemia, onde várias vidas se perderam, é inadmissível este descuido.
"
26,"Boa tarde caro(a) B2264WZcarolinap,

Em primeiro lugar, agradecemos que nos tenha escolhido para desfrutar da sua refeição no entanto e perante o que refere optou por não o fazer.

Permita-nos que refira que na cozinha, e em particular no grelhador a carvão, o espaço atinge...
"
27,"Em primeiro lugar salientar o acolhimento e simpatia dos colaboradores. Inexcedíveis! 
A qualidade das carnes de porco servidas era excelente e de um sabor inigualável, bem como os respectivos acompanhamentos, migas com e sem espargos, e as batatas fritas de óptima qualidade.
As sobremesas muito,...
"
28,"Bom dia Joaquim A, 

Muito obrigado pela sua visita e pelas suas palavras, as quais nos deixam tremendamente orgulhosos. 

Até breve. 

Cumprimentos.
"
29,"Já estivemos em Beja várias vezes e escolhemos o Dom Dinis para jantar pois tem um serviço muito atencioso, quer de todos os empregados, quer do dono.

A comida é ótima, com excelentes carnes de porco que são acompanhadas por umas migas divinais.

Ao pé...
"
30,"Boa tarde PT_Tourist,

Muito obrigado pela sua visita e pelas suas palavras, as quais nos deixam tremendamente orgulhosos.

Até breve.

Cumprimentos
"
31,"Fui jantar ao D.Dinis por sugestão de um familiar de Beja. Comemos uma mista de porco preto e picanha. Achei tudo divinal. As carnes estavam óptimas, acompanhadas com batata frita caseiras, maravilhosas também. No fim comemos um doce de amendoim e uma baba de camelo,...
"
32,"Boa tarde helderantunes83,

Muito obrigado pela sua visita e pelas suas palavras. Gratos ao seu familiar pela recomendação :)
Até breve.

Cumprimentos
"
33,"Sem dúvida que é um local a voltar. Desde a simpatia dos funcionários, até à qualidade da comida, foi 5 estrelas. De salientar as migas que são fantásticas (e até então eu não gostava) e a simpatia do colaborador Leandro, sempre muito prestável.
"
34,"Boa tarde ineslv98,

Muito obrigado pela sua visita e pelas suas palavras, as quais nos deixam muito satisfeitos.

Até breve.

Cumprimentos
"
