,Avaliações
0,"Final de dia perfeito, com óptimos petiscos, uma sangria de frutos vermelhos deliciosa e uma simpatia da senhora que nos atendeu! A visitar! Excelente!
"
1,"Excelentes tapas feitas com dedicação e ao pormenor. Puro Sabor Alentejano. Ótimo para estar com amigos  e passar um belo momento gastronómico.
"
2,"Ideal para saborear um bom copo de vinho alentejano e ouvir boa música. Tem um ambiente acolhedor e o dono é muito simpático.
"
3,"Fantástica decoração onde uma variedade de peças dos anos 60 se enquadram na modernidade.
Para tomar um café, lanchar ou provar os petiscos este é um espaço agradável e acolhedor onde nem  a musica ambiente falta a compor todo o quadro.
Entra-se, conversa-se com o...
"
4,"anfitrião, com os clientes que entram e parece já uma família.
Adorámos e voltaremos
"
5,"Mais
"
6,"embora com GPS andava um pouco há deriva porquanto era a 1ª. vez que visitava a cidade de Beja para recolher mos da pequena chuva deparamos com um café de nome ""ART DECO"" - wine  bar café casa de chá onde pedimos informações sobre a...
"
7,"zona histórica da cidade o Sr. Victor pessoa que nos atendeu referindo estão no local certo , aquele guia que bem precisávamos .após tomar mos um bom café qual não foi o meu espanto o mesmo tinha cursado na Escola Agrícola  da paiã "" E.P.A.D.D."" tal como eu nos anos 60 ( 63 - 67 ) tudo isto para dizer o quão de bom é passar por este local a todos os colegas da Paiã um grande abraço
"
8,"Difícil encontrar em Beja um sítio para beber um copo de vinho. Finalmente demos com este espaço que por fora prometia um pouco mais do que ofereceu por dentro..
Gostamos do vinho,mas a variedade não era muita...para acompanhar azeitonas que podiam ser de melhor qualidade...
"
9,"e pela sugestão da simpatiquissima  dona, uma empada de pato muito boa. 
Tenho a evidenciar a falta de renovação dos assentos da casa porque ajudam a perlongar a estadia no local.
Resumindo , local que tem uma boa localização mas precisa de renovação, mas pode manter o som da musica com que nos presenteou.
"
10,"O bom gosto mora ali.
Come-se e bebe-se muito bem, ouve-se boa música e, com sorte, se apanharem uma hora mais calma, ainda vão ter direito a dois dedos de conversa bem interessante com o pessoal da casa. Eu tive. É gente bem gira!
"
11,"Tapas preparadas com cuidado e sabor requintado. Ambiente calmo, tranquilo e prezamos a simpatia do pessoal. Para continuar a frequentar certamente.
"
12,"Comida maravilhosa, ambiente calmo e muito bom gosto na decoração e escolha do serviço. Recomendo provar o jantar das quintas-feiras.
"
13,"A simpatia do espaço a par da simpatia de quem nos atende faz-nos sempre querer voltar. 
Uma e outra e ainda outra vez…
Aqui revivemos memórias da nossa infância, dos nossos antepassados.
Altamente recomendado para um pequeno almoço simpático, para uma limonada a meio da...
"
14,"manhã, para um copo de vinho de final de tarde, para provar deliciosas iguarias…
E sempre, sempre ao som de boa música.
Faça como eu e traga os amigos. Não sabe o que anda a perder…
"
15,"Uma surpresa encontrar esse Café, a decoração é um caso a parte, leva-nos para outra época, uns 100 anos atrás, com móveis e decoração de época. O lugar possui muitos vinhos para experimentar, é um ambiente para uma conversa chique informal, daquelas que vc vai...
"
16,"A polivalência deste estabelecimento é soberba: pequenos almoços, casa de chá, petiscos deliciosos de degustação e wine bar. Instalado num dos edifícios estilo Art déco mais bem conservados na cidade de Beja, a decoração cuidada, acompanha a época. Desde as mesas, às cadeiras, sofás, balcão...
"
17,"Com seu estilo retrô shabby chic, esse lugar poderia ser em Hoxton, Londres - o lugar mais descolado para comer fora na capital. Mas aqui estamos em Beja, a deliciosa proprietária é calorosa e acolhedora, a comida caseira excitante e vibrante e num dia quente...
"
18,"e poeirento os limões, menta e mel espremidos na hora salvaram vidas. Não perca esta oportunidade.
"
19,"Fiquei realmente curioso sobre este bar de vinhos. Diferente de tudo o que você encontra em Beja e com uma ótima localização.
Foi simplesmente perfeito. Lugares agradáveis fora (aproveitando o clima fresco), ótimas cervejas locais e petiscos maravilhosos. E o proprietário é ótimo, com ótimas...
"
20,"histórias sobre a região e seus vinhos.
Estará de volta com certeza! ! !
"
21,"Bom lugar em Beja para um cappuccino e alguns doces caseiros. Serviço rápido em atmosfera autêntica.
"
22,"Estávamos cansados ​​de passear por Beja e encontrámos este lugar. A música era rock clássico e o lugar tinha uma atmosfera relaxada.
Nós nos sentamos fora olhando para a torre da igreja surpreendente em frente à estrada beber uma grande garrafa de vinho local. Nós...
"
23,"assistimos as estrelas saírem e ouvimos a cidade ficar quieta.
Este é um maravilhoso local romântico em uma maravilhosa cidade antiga
"
24,"Este lugar estava deserto e quando chegamos o proprietário aumentou o volume de sua música e deu um café morno com um pouco de chocolate em uma panela. Cobrado 5 €. 50 para isso. Não é um lugar que eu voltaria.
"
