,Avaliações
0,"Os Bolos da Marisa é um estabelecimento muito aconchegante e agradável. Nota se que tudo é feito com muito carinho, boa vontade e com um enorme profissionalismo.
Os bolos e todas as restantes sobremesas são ótimos.
Também serve almoços muito variados, desde sopa, a saladas,...
"
1,"a tostas, lasanha, rolo de carne, bifes, entre outras coisas.
Um espaço que irei certamente frequentar sempre que tiver oportunidade.
"
2,"Mais
"
3,"Tanto a tosta mista como as panqueca com Nutella tinham bastante qualidade e estavam muito bem servidas. Recomendo.
"
4,"Um estabelecimento maravilhoso e aconchegante,bom atendimento e variedades.
Já comemorei os anos do meu marido no espaço, o bolo estava espetacular e os enfeites da festa impecável. 
Recomendo para amigos e familiares
"
5,"Quero dar um elogio sincero ao profissionalismo e à dedicação que você manifesta dia após dia em todas as tarefas que realiza. Sua postura é um exemplo digno de ser imitado por todos nós.

Continue demonstrando essa capacidade única que lhe tem trazido excelentes resultados....
"
6,"Com estes alimentos de magnífico sabor e qualidade com uma ambiente extremamente acolhedor e de alta performance com qualidade e higiene.
"
7,"É um ótimo lugar para começar um dia com um bom pequeno almoço. Os doces da Marisa são maravilhosos e além disso ela é muito simpática e o atendimento é excelente! A decoração do local é bem lindinha e nos faz sentir bem. Na ocasião...
"
8,"tomei um chocolate quente de menta que estava maravilhoso! As torradas e os croassaints também! Espero poder voltar lá 😊
"
9,"Os bolos da Marisa, são sem dúvida  maravilhosos! São muito caseirinhos, bons e muito bonitos. Nota se que são feitos com muito amor. Provei a primeira vez e fiquei fã, não prescindo dos seus bolinhos... E não só, as saladas, sopas e salgados para os...
"
10,"almoços, também são muito boas, e as limonadas?! Uma delícia.
"
11,"Espaço muito acolhedor, bonito e limpo. Com uns bolinhos excepcionais, e com alguma variedade. Por várias vezes visitei este local em diferentes horas do dia. Ao pequeno almoço e lanche, tem sempre bolos, croassints, sobremesas, empadas, pães de queijo entre outros... Ao almoço, uma boa...
"
12,"sopinha, saladas, quiches, tostas... Tudo com muita qualidade e a bom preço.
Recomendo...
"
13,"Já visitámos este espaço em várias ocasiões e em situações distintas. Tanto para café da manhã, como para almoço ou lanche.
É um espaço com um conceito engraçado e bastante original. Por um lado, os almoços são confeccionados com uma base saudável, e o menu...
"
14,"é do dia - com 3 pratos distintos - uma salada, uma sopa e um salgado/tosta. Por outro lado, o foco principal e fora da hora do almoço, centra-se nas sobremesas. Se bem que também tem disponíveis opções vegan e sem açúcar/gluten nas sobremesas. Para acompanhar, além do sumo de laranja natural, tem também uma limonada do dia com sabor a morango, mirtilo, abacaxi, etc.
Todas as refeições ou sobremesas que já tive o prazer de degustar neste espaço estavam frescas e saborosas, sendo visível na confecção o gosto da pessoa que está na cozinha.
De referir também a panóplia de chás disponíveis neste estabelecimento, com escolha não só em termos de sabor como o tipo de infusão. Não é em todo o lado que se consegue encontrar chá branco.
O staff é muito simpático e atencioso, somos sempre bem recebidos especialmente pela própria Marisa, embora por vezes a proprietária esteja mais ocupada do que o habitual com o trabalho, visto que também faz bolos por encomenda (aconselho vivamente a visitarem as páginas de Facebook e Instagram deste espaço!).
A decoração do espaço está simples, mas com bom gosto, com um aspecto acolhedor e à base de madeira. A música ambiente tem um estilo muito próprio e com muita classe, ideal para passar um bom bocado a ler um livro ou apenas passar o tempo, visto que a sala está muito bem climatizada.
Um espaço diferente e com uma oferta nova e bem recebida, que sem dúvida vai-se dar bem na cidade de Beja.
"
15,"Muito obrigado por esta avaliação tão detalhada!
Deixa-nos muito orgulhosos em saber que temos clientes que dão valor aos detalhes que nos dá tanto prazer em aplicar ao nosso espaço.
Tentaremos sempre fazer o melhor pelos nossos clientes e estamos receptivos a sugestões!
Espero que...
"
16,"Excelente espacio, com muito boa qualidade-preço, que permite lanchar um café com um espetacular quindim ou mesmo almoçar. Tudo caseiro. Uma atmosfera agradável, limpa, de estilo vintage, com um clima familiar e acogedor. Fez o aniversário de anos do meu marido la e consegui innovar...
"
17,"com a ajuda da Marisa. Eu di a ideia e ela adaptou se e tratou de tudo com muito mimo. Reservamos o espaço e ficou muito bem decorado. Escolhi a ementa e os convidados adoraram os quiches, os pães de queijo e o bolo que a Marisa fez com a ideia que eu propôs. Foi uma tarde mesmo bem passada, e vou repetir !! Aconselho 100%.
"
18,"Foi com enorme gosto que tratamos do catering para a sua festa! Ficamos muito felizes em saber que ficou tudo do seu agrado.
Resta-nos convidar a voltar, até já! :)
"
19,"Ambiente muito agradável,comida deliciosa.
As saladas são originais e muito frescas, os salgadinhos bem temperados e estaladiços, os doces são uma perdição.
Os funcionários são muito educados.
Voltarei com certeza.
"
20,"Obrigado pela avaliação. Deixa-nos muito felizes em saber que a sua visita foi agradável e que gostaram dos nossos produtos :)
Até já!
"
21,"Gosto muito do Espaço, com boas Saladas, frescas e saborosas, leves, perfeitas para o almoço . 
Oferta de sobremesas que varia durante a semana, confecionados com ingredientes diferentes e saudaveis. 

Um espaço que me agrada muito.
"
22,"Muito obrigado pela avaliação. Ficamos felizes em saber que gostou da sua visita.
Volte sempre! :)
"
23,"Num passeio pelo Alentejo, em passeio pelo centro da cidade, vimos uma placa de ardósia que nos levou em direção a este local. 
O que dizer de um suposto ""Salão de Chá"", denominado ""Os Bolos da Marisa"" em que o plural servia para designar menos...
"
24,"Foi absolutamente incrível, a comida e os doces foram incríveis,
Altamente recomendável para visitar
 em breve retornaremos: -)
"
