,Avaliações
0,"- A água quente demorou muito tempo a chegar à torneira da banheira (tive mesmo que interromper o banho e ir ao encontro da funcionária).- Vistas do quarto (janela dava para pátio interior)- Deveriam colocar um eletrocutor de insetos na sala do pequeno-almoço (as moscas massacram-nos).
"
1,"Gostei, sobretudo, da casa, do espaço envolvente, do local do pequeno-almoço e do próprio pequeno-almoço (muito bom).De salientar a simpatia e o profissionalismo da funcionária/ ""governanta"".
"
2,"É impossível usufruir da envolvente da piscina por causa da praga de moscas. O quarto, ao contrário do publicitado, não tem uma única cadeira, não tem secretária, não tem tomadas de eletricidade suficientes. Não havendo qualquer hipótese de usufruir de uma refeição a não ser a 15 Km, em Beja, deveria de haver em cada quarto uma mini frigorífico para se poder ter bebidas frescas. Na sala comum deveria de haver uma máquina de café nem que fosse de moedas.
"
3,"Casa muito bonita e decorada com muito bom gosto. Funcionárias muito simpáticas. Pequeno almoço espetacular e piscina muito boa desde que estejas dentro de água
"
4,"Não há nenhuma indicação da senha do Wi-Fi. Apesar de ter todas as condições para ser um excelente local para uns dias de descanso, tem um problema: as moscas. É impossível estar na piscina, a não ser dentro de água. Fora, é impossível, com tanta mosca. Suponho que isso se deva à proximidade de animais, mas é simplesmente impossível desfrutar do espaço. Não se consegue estar em repouso ou ler um livro. O outro problema, que não é culpa do alojamento, é o acesso por uma estrada de terceiro-mundo, completamente esburacada e um verdadeiro teste à suspensão e pneus do automóvel.
"
5,"Bom pequeno almoço, pessoal simpático, bom alojamento.
"
6,"Não pedem certificados de vacinação ou testes negativos no check in. Não há qualquer informação que nos espaços comuns os hospedes têm de usar mascaras.
"
7,"Lugar calmo com bons acessos.  Um bom pequeno almoço.
"
8,"Tudo aceitável
"
9,"Atendimento da Nádia e pequeno almoço muito bom
Quartos grandes e confortáveis
"
10,"Algumas moscas e vespas na beira da piscina, pelas quais o alojamento não tem qualquer culpa;
"
11,"Localização, espaço em geral, staff simpático; pequeno almoço.
"
12,"Ao chegar, pelas 20h, depois de um dia de pico de calor alentejano e com crianças, só apetecia piscina e jantar, mas o tratamento da piscina acabara de ser feito e refeição só em Beja. Foi-nos explicada a razão do tratamento ocorrer naquele horário e o jantar em Beja foi ótimo. Tudo se resolveu pelo melhor, mas talvez esta informação (check-in até às 19h e alimentação não disponível) deva ser sublinhado.
"
13,"A amabilidade e simpatia de quem nos recebeu!!! O quarto, com camas ""twin"", dá perfeitamente para 4 pessoas (2 adultos e 2 crianças). Para as crianças, o bilhar e a piscina foram um sucesso. O pequeno-almoço é ótimo, com variedade q.b. de fruta, pães e bolinhos (só faltou o chocolate em pó para as crianças, mas ficou como sugestão e havia cereais)!
"
