,Avaliações
0,"de tudo , o edifício é lindíssimo 
"
1,"Gosto que as camas tenham lençol, além do edredão
"
2,"Travesseiros um bom o outro pela hora da morte.
Pouca luz no banheiro e TV pequena e antiga.
"
3,"Amei a suntuosidade do local.
Quarto silencioso.
Cama firme e confortável.
"
4,"gostei de tudo
"
5,"localização e espaço da Pousada
"
6,"Temperatura quarto
"
7,"Globalmente bem
"
8,"Acessibilidade para a recepção e quartos
"
9,"Localização da pousada, vista do quarto para o jardim
"
10,"O quarto era arrumado demasiado tarde, por volta das cinco da tarde. O pequeno almoço era servido com lentidão.Nota-se uma evidente falta de pessoal.
"
11,"O quarto era extremamente acolhedor e limpo. Adorei, igualmente, o restaurante, onde jantei e tomei o pequeno-almoço: comida de muita qualidade e todo o espaço é lindíssimo, ou não estivesse num bonito convento com tantos séculos, tanta história.
"
12,"A rede wi-fi é fraca, a vista do quarto , a iluminação fraca dos WC
"
13,"Da amabilidade e simpatia de todo o pessoal especialmente recepção. Comida excelente. Limpeza impecável … só gostei portanto tudo dito.
"
14,"do estacionamento
"
15,"De todo o espaço
"
16,"A piscina devia ser limpa com maior regularidade. Os colchões poderiam ser mais confortáveis. Por vezes, a água do banho era impossível de regular, saindo só água quente, a ferver.
"
17,"Da simpatia e amabilidade dos funcionários. As instalações da pousada são excelentes e bem decorado. Bom pequeno-almoço.
Excelente localização! 
"
18,"de nada
"
19,"Da amabilidade dos funcionários, da tranquilidade do espaço, da piscina e espaço envolvente
"
20,"Nada a referir.
"
21,"A pousada aproveita de forma exemplar as instalações do convento de S. Francisco que são incrivelmente belas e a tornam num local  ideal para  descansar e passar um dias extremamente agradáveis e relaxantes.
"
22,"poucas espreguiçadeiras na piscina, mas são ordens da DGS
"
23,"O pequeno almoço, empregados e estadia no geral
"
24,"O colçhão era muito duro.
"
25,"Alimentação muito boa. Arquitetura, decoração e design excelentes. Simpatia e prestabilidade dos funcionários.
"
26,"o barulho da fonte da rua à noite apesar que até é relaxante.
"
27,"Bom pequeno almoço.Pessoal simpático.boas condições.
"
28,"1) água sem pressão no duche;2) falta o enquadramento histórico da pousada. Não há nada nesse sentido nas várias divisões da pousada.
"
29,"Funcionários. Simpatia, disponibilidade  e educaçao
"
30,"É difícil  o acesso à pessoas com deficiências motoras.
Deficiente iluminação no quarto.. E na casa de banho. 
"
31,"Localização.
Temperatura no quarto. 
"
32,"Localização 
"
33,"Poucas espreguiçadeiras
"
34,"Boa
"
35,"O quarto tinha um cheiro a ""antigo"" e durante a noite apresentou um contínuo barulho de fundo que não permitia o repouso completo. A cama de apoio para as crianças, fazia muito barulho quando o miúdo se movia, o que levava a que por vezes despertasse.
"
36,"Localização muito central, perto de restaurantes e zona de comércio local.Piscina excelente, permitiu descontrair e bons momentos de relaxamento.Pessoal prestável, disponível para ajudar e encontrar soluções para os problemas que lhe foram apresentados.Pequeno almoço de boa qualidade.
"
37,"Infelizmente não pudemos usufruir do espaço exterior e piscina pois as condições meteorológicas não ajudaram.
"
38,"Atendimento excelente com muita simpatia, profissionalismo e disponibilidade. O menu e qualidade das refeições foi muito boa. Localização  óptima, bem no centro de Beja.
"
39,"A zona da piscina tem poucas espreguiçadeiras para o número de quartos/ ocupantes. 
O desenho interior da piscina estranho. 
"
40,"O edifício histórico muito bonito e bem preservado. 
A localização. 
A maioria do staff é muito simpático e prestável. 
"
41,"Nada a apontar
"
42,"Adorámos o sitio, muito calmo excelente para descansar!O staff muito atencioso e simpatico , o funcionário  da Sala de Jantar , Jose Godinho, foi de extrema atenção e simpatia, nós fazíamos aniversário no mesmo dia e tiveram a amabilidade de nos felicitar com espumante e um bolinho de anos maravilhoso!Este tipo de atenção merece elogios ! O nosso muito obrigada!Um hotel a voltar !
"
