,Avaliações
0,"Localizaçao boa, fácil de chegar. Pequeno almoço normal. Instalaçoes ainda não acabadas mas otimas para a estadia.
"
1,"Camas pouco confortáveis.
"
2,"Pequeno almoço bom.
"
3,"Haver uma televisão no quarto
"
4,"òptimo
"
5,"Falta de toque pessoal na decoração da habitação. 
"
6,"Simpatia dos anfitriões
A simplicidade 
As marcas da história da família
A vista desde o quarto e da sala de refeições

"
7,"Apesar da casa de banho estar a funcionar bem, merecia ser modernizada. 
O pão é óptimo, mas a oferta do pequeno almoço poderia ser mais diversificada. 
"
8,"Da peculiaridade da casa, do conforto do colchão, da simpatia do proprietário e de conhecer a história da sua família. 
"
9,"Muito obrigada ao Sr.António pela amabilidade e simpatia - e excelente gosto musical, que com toda a generosidade partilhou connosco :) !
"
10,"Péssimos acessos para o alojamento. Estrada muito mal cuidada, zero iluminação noturna.
"
11,"Gostei de tudo o resto! 
Pequeno almoço simples mas muito muito bom! 
O dono do alojamento extremamente simpático e prestável, orgulhoso por nos mostrar cada cantinho do seu espaço! 
A melhor noite que já dormi nos últimos anos!!!!! Super silencioso, colchão excelente, cama grande, quarto espaçoso e com bom isolamento de luz 🙏🏼 
Alojamento isolado de tudo, por isso, excelente para descansar uns dias! A piscina está a ser construída por isso acredito que vá valer ainda mais a pena daqui a uns tempos!

"
12,"Zona calma e tranquilidade 
"
13,"A água não estava muito quente
"
14,"O pequeno almoço era ótimo. A cama era muito confortável. A decoração era o que esperava!
"
15,"Tv nas acomodações não havia, pouca rede telemóvel
"
16,"Cama confortável,os donos do espaço muito simpáticos,a área  envolvente onde se situa o hotel
"
17,"Não ter televisão no quarto ou sala, da casinha que ficamos.
"
18,"Ambiente familiar e muito hospitaleiros. Excelente compota de figo,  caseira. Quando entramos na casa, ficamos surpreendidos pela sua riqueza e depois de conhecer a sua história, valorizamos muito mais. Sentir que estivemos em casa de pessoas tão importantes e certamente com muitas histórias a partilhar.  Casa com potencial crescente futuramente.
"
19,"Cama
"
20,"Sossego 
"
21,"Em fase de melhoramentos, por isso não dou nota máxima, mas concerteza vai ficar :) 
"
22,"Local tranquilo, vista bonita, sossego, envolvencia, a casa, os anfitriões a comida muito caseira com produtos da terra, uma boa garrafeira, local para voltarmos vezes. 
"
23,"Falta-lhe o toque de personalidade dos donos e algum carinho 
"
24,"Uma casa com tradição e história 
"
25,"O quarto não tinha ar condicionado nem televisão. O empreendimento parece ainda estar em obras. Sem cuidados relacionados com a pandemia. Os espaços comuns não estavam convenientemente limpos. 
"
26,"A cama é confortável 
"
27,"Não tenho qualquer pormenor negativo
"
28,"Amabilidade dos proprietários 
Quartos.
Restaurante
Futuramente ,dentro mais ou menos 15 dias piscina com um bonito design.
"
29,"Reservámos dois quartos. Aparentemente, parecia que não estavam à nossa espera e chegámos pelas 20h30. Avisámos previamente pelo portal do Booking mas não obtivemos resposta. À chegada, não existiam à vista quaisquer medidas de higiene/desinfeção relacionadas com o COVID-19 (ex: álcool-gel). Inclusivamente, a funcionária que nos recebeu insistia em se apresentar com a máscara fora do rosto (nariz e boca descobertas). O segundo quarto alugado estava com problemas de canalização (segundo a versão do alojamento, pois não nos mostraram) e, à chegada, disseram que nos iam dar outro quarto, mas estavam a limpá-lo. Isto às 20h30, ou seja, ainda nada tinham feito. Esperámos pacientemente, e só pelas 22h00, após reclamarmos é que nos deram o segundo quarto. Contudo, verificámos que era o quarto da funcionária que nos recebeu, o qual tinha os armários com roupas pessoais dela. Recusámos esse quarto e as nossas filhas acabaram por dormir no nosso quarto. Contudo, cobraram os dois quartos. Quanto ao quarto que nos deram, este era em frente à cozinha e ao lado do restaurante. O cheiro a comida entrava pelo quarto e ouvíamos o barulho do restaurante até depois das 24h00 e pela manhã novamente.  Para esquecer. Para além disso os armários não tinha local para pendurar cabides, tivemos de pedir caixotes de lixo, as duas camas individuais estavam juntas e só tinham um edredon sem lençol de cima e o teto tinha teias de aranha. Por baixo dos armários e por baixo da cama havia sujidade. Sinceramente, acho que nem sabiam que vínhamos, mas não se esqueceram de cobrar dois quartos quando só utilizámos um. Péssima experiência, falta de simpatia da funcionária, uma noite para esquecer.
"
30,"Sinceramente, não gostámos de nada. Correu mesmo muito mal esta estadia.
"
31,"Todo o espaço é mágico. A comida feita estava fantástica, autêntica e saborosa.  A hospitalidade da senhora Clara e do senhor António é maravilhosa, mostrando um orgulho enorme pelo local e uma tranquilidade no atendimento das pessoas. Foi sem dúvida a melhor experiência de alojamento que já tive na vida. Muitíssimo obrigado por tudo.
"
32,"Simpatia e hospitalidade excelente.
Lugar tranquilo e prazeroso.
Como estar em casa.
Muitas histórias para contar.
"
33,"Não tenho nada a falar.
"
34,"Do ótimo atendimento e gentileza do casal clara e Antônio. E o jantar  maravilhoso servido pelo casal. Eu
"
35,"Não tinha cabides, cortinados, TV, ar condicionado, cama de casal, tapetes de banho, janelas, tapetes de quarto. 
"
36,"Quase nada. 
"
