,Avaliações
0,"Simpatia dos funcionários.
"
1,"Limpeza excelente, instalações muito boas, simpatia dos funcionários. Definitivamente um bom hotel com qualidade/preço acima da média. Fala-se muito do barulho dos carros nos comentários mas eu não considerei que fosse algo incomodativo e praticamente não se ouvia nada da rua. A repetir, caso volte a Beja. 
"
2,"não tinha frigobar no quarto e a cama de casal eram duas camas de solteiro na verdade
"
3,"hotel é acessível para pessoas com mobilidade reduzida e possui boa estrutura e localização! café da manhã muito bom 
"
4,"Os quartos não são insonorizados. Ouve-se tudo do quarto ao lado - tive de mandar calar os hóspedes do quarto ao lado porque estavam a fazer muito barulho à 1h da manhã e eu queria dormir - e para quem é sensível ao ruídos dos carros, apesar do quarto que me foi atribuído ser virado para as traseiras, ouve-se cada carro a passar na estrada. A persiana e os vidros não ajudam à insonorização e portanto ao conforto no quarto. É pena. Porque o hotel tem qualidades mas esta desfavorece muito a experiência geral.
"
5,"A limpeza, o pequeno-almoço e a simpatia dos funcionários
"
6,"confortável 
"
7,"Localização do quarto mesmo junto à entrada do hotel e a uma rua com muito trânsito. Insonorização.
"
8,"Cama muito confortável. Bom pequeno almoço. Garagem gratuita.
"
9,"Wc’s necessitam de um update.
"
10,"Instalações comuns e pequeno almoço 
"
11,"Nada a apontar.
"
12,"Quartos limpos, sem grandes barulhos (depende muito de quem está, também)Atendimento cordial por parte dos empregados.Pequeno-almoço bastante completo.Preço em conta e localização rápida de encontrar.
"
13,"Pequeno almoço e o serviço deste deveria ser melhor mesmo em clima de pandemia!
"
14,"Nesta época de restrições pandémicas a sala de pequeno-almoço é muito pequena para a quantidade de pessoas que aguardam a bandeja do pequeno-almoço. Muitíssimo mal organizado o serviço de pequeno-almoço
"
15,"Simpatia e amabilidade dos rececionistas
"
16,"Área do pequeno almoço pequena e pequeno almoço pouco variado.
"
17,"Do tamanho do quarto e do conforto, simpatia do funcionário da receção.

"
18,"O pequeno almoço correspondeu às expectativas. Os funcionários foram muito atenciosos. Contudo, deveria estar um funcionário a controlar as entradas dos hóspedes na sala dos pequenos almoços.
"
19,"De tudo em geral,mas ainda mais por termos acesso a garagem grátis.
"
20,"Quarto cuidado e limpo.Cama confortável.
"
21,"Talvez por ter ficado numa suite, no canto do edifício, o sinal Wi-Fi era fraco e falhava muito. 
"
22,"A limpeza e simpatia de todo o staff que encontrámos. 
"
23,"Boa localização. Bom pequeno-almoço. Limpeza excelente.
"
24,"Localização junto há estrada, demasiado barulho durante a noite.
"
25,"Simpatia dos funcionários, disponibilização de garagem coberta, espaço do quarto e comodidades gerais do hotel.
"
26,"Wi-Fi com problemas e o facto de não ter uma piscina exterior 
"
27,"Do conforto e comodidades 
"
28,"O facto de não ter piscina exterior 
"
29,"Staff muito atencioso. Limpeza e higiene. Boas comodidades e boa localização. 
"
30,"Nada a apontar.
Obrigado. 
"
31,"De tudo. 
"
32,"Pequeno almoço pouco variado, não obstante de ser servido alimentos de boa qualidade.
As tomadas elétricas estão mal coladas no quarto, sendo que tive de ter cuidados adicionais ao ligar equipamentos na tomada (pois ouvia-se faíscas e interferência com a iluminação). 
"
33,"Os croissants são fantásticos. A minha suite era enorme e muito limpa. Tinha um bom terraço e boas acomodações no geral. 
A TV tem alem dos canais generalistas, vários outros oferecido pelas operadoras em Portugal.
A garagem privativa gratuita é muito bem destacada no meu comentário pelo facto de se tratar de uma localização cujos lugares são escassos para as viaturas na via publica. Assim a garagem é essencial (bem como é gratis!!).
O hotel dispõe de um bar de elevada qualidade.
"
34,"A insonorização podia ser melhor
"
35,"Mais variedade
"
36,"Estava de acordo com o esperado.
"
37,"Insonorização dos quartos muito má. Ouvia-se tudo, mesmo sem as pessoas estarem a falar alto.
"
38,"Limpeza
"
