,Avaliações
0,"Uma experiência única.
Atendimento excelente.
Sr. Jorge, anfitrião muito cordial.

"
1,"Para o meu gosto achei o colchão duro 
"
2,"Limpeza impecável,simpatia, excelente pequeno almoço
"
3,"Ambiente e decoraçãoPequeno almoço muito bomLocalização
"
4,"O alojamento  fica perto da praça da republica, onde encontramos facilmente estacionamento. A casa está super limpa, cheirosa e a decoração está muito gira. A net funciona na perfeição, não se ouve barulho dos outros quartos, tudo perfeito. Pequeno almoço também muito bom. com muitas variedades de pão e queijos e sumos. Adoramos!!! Vamos voltar mais vezes
"
5,"A prova viva de que não é preciso pagar fortunas para ficar hospedado num local fantástico. Excelente trabalho feito pelo proprietário para tornar o espaço único não só na zona de Beja mas quiçá no país. Muitíssimo bem decorado, localização central e limpeza no ponto. Uma experiência a repetir.
"
6,"Não houve nada que não gostasse.
"
7,"Simplesmente tudo!
Enquanto arqueóloga foi um prazer estar envolvida no mundo romano. 
O sr.Jorge é extremamente simpático e impecável. 
O sítio é bastante acolhedor, limpo, higienizado, calmo e tem um excelente pequeno almoço. 
Recomendo a todos.

"
8,"A única particularidade menos positiva refere-se à questão de as casas de banho privativas ficarem fora dos quartos, numa zona à qual o acesso obriga a atravessar a sala de estar e a cozinha. No nosso caso, como estávamos sozinhos na casa, esta questão não colocou desconforto, mas se estivessem mais hóspedes teria sido muito desconfortável ter de cruzar com outras pessoas a caminho de um duche, ou mesmo a proximidade dos wc relativamente à cozinha pode tornar-se um pouco intimidante e desconfortável.
"
9,"O espaço é de facto sui generis na sua proposta temática. É evidente o cuidado em promover uma estadia inspirada pelos motivos que identificamos com o Império Romano. A simpatia do sr. Jorge dá um toque de acolhimento e familiaridade que promove uma empatia com o espaço.
"
10,"O Jorge e a Eunice são muito antenciosos e prestáveis. Sentimos-nos em casa. 
A experiência é única com o conceito que criaram. Cada peça tem uma história o que torna este alojamento diferente de qualquer outro.
Estamos no centro histórico de Beja, o alojamento não poderia estar melhor localizado.
Adoramos a estadia e ficou a promessa de voltarmos com os nossos filhos. 
"
11,"O alojamento é único em Portugal, uma verdadeira homenagem à história romana que não só mostra uma cuidadosa atenção ao detalhe mas também um gosto imenso pela cultura! O alojamento está muitíssimo bem decorado, numa localização muito previligiada em Beja.
Destaque ainda para a amabilidade de Jorge e Eunice, que se mostraram anfitriões muito prestáveis, simpáticos e ágeis na solução de problemas!
Merece sem dúvida uma segunda visita!
"
12,"Limpeza e bom pequeno almoço 
"
13,"Infelizmente fomos numa altura em que as ruas circundantes estavam em obras e foi difícil chegar com o carro, mas o dono do espaço prontificou se a ajudar de imediato
"
14,"A hospitalidade excepcional, e a rápida proposta de resolução de problemas 
"
15,"Nada.
"
16,"Tudo. O Jorge é um anfitrião fantástico. A guestuouse é super familiar e muito peculiar pela decoração, mas que torna este sitio ainda mais único. Voltarei sempre que vier à bela cidade de Beja.
"
17,"Excelente
"
18,"Donos super simpáticos, afáveis e prestáveis. Amam o seu trabalho.Pequeno almoço soberbo. Parabéns!
"
19,"Simpatia dos funcionários, pequeno almoço,  localização, decoração da casa, etc... voltaremos.
"
20,"De nada
"
21,"Boa localizacaoBom pequeno almoco Muito simpatico
"
22,"Localização excelente. Um pequeno almoco completo.Entramos neste espaco sentindo que entramos na era romana. Tudo esta a perfeito e numa combinacao unica. Cama confortável. Higiene excelente.
"
23,"O anfitrião foi uma pessoa excepcional como poucos. Simpático, disponível, amável.
"
24,"Simpatia estrema, muito bom
"
25,"Sendo no centro histórico, ruas sentido único e a falta de espaço para estacionar. Mas estando de mota, ficou me mais facilitado.
"
26,"Gostamos da recepção dos anfitriões, super simpáticos, a decoração criativa, fazem com gosto. Pequeno almoço bom. A repetir sem dúvida.
"
27,"funcionário extramente simpático e altamente profissionalpequeno almoco excelentecama confortavel e quarto impecavel
"
28,"Somente a cama poderia ser um pouco melhor e ou maior. 
"
29,"Uma decoração própria muito interessante, o atendimento é realmente primoroso, maravilhoso, de uma simpatia única, assim como o pequeno almoço com produtos de qualidade e toda a atenção.
A limpeza realmente é exemplar. 
"
30,"O estacionamento é complicado no local.
"
31,"Uma bela casa antiga, bem no centro de Beja, toda bem decorada, inspirada nos Romanos, um povo que muito marcou esta bela cidade. O ambiente interior é confortável, ao qual se junta o calor de quem nos recebeu, o Sr.Jorge, que para além de nos ajudar a subir para o quarto, nos mostrou toda a casa e ajudou noutras escolhas locais. De manhã, proporciou-nos um agradável peqeuno almoço, com produtos locais e frescos.
"
32,"Muito sossegado..o pequeno almoço delicioso .
"
